date,Total Housing Completions Period Chg,Single-Family Completions Period Chg,5+ Unit Completions Period Chg
1980-12-01,4.95,7.13,-1.39
1981-01-01,-7.84,-0.44,-24.86
1981-02-01,9.84,7.02,12.78
1981-03-01,-1.29,-7.6,18.0
1981-04-01,6.68,5.29,18.08
1981-05-01,-15.18,-5.99,-37.56
1981-06-01,8.35,-1.71,41.0
1981-07-01,-0.96,-1.5,-1.9
1981-08-01,-8.6,-5.88,-3.88
1981-09-01,-0.08,-0.75,-10.37
1981-10-01,-1.23,-10.44,24.12
1981-11-01,-10.95,-5.62,-20.98
1981-12-01,5.12,1.49,9.84
1982-01-01,-6.82,-5.87,-1.49
1982-02-01,-11.12,-13.55,-7.27
1982-03-01,3.21,6.85,-6.54
1982-04-01,1.45,2.19,1.4
1982-05-01,8.27,12.71,2.76
1982-06-01,-12.26,-16.11,-2.01
1982-07-01,8.17,17.1,-11.99
1982-08-01,-2.09,-6.71,7.39
1982-09-01,-3.86,-5.11,-8.7
1982-10-01,11.83,13.3,19.84
1982-11-01,1.89,2.23,1.32
1982-12-01,-2.97,-4.51,3.59
1983-01-01,13.37,18.11,-1.58
1983-02-01,-4.38,-7.99,9.29
1983-03-01,2.91,10.36,-13.49
1983-04-01,2.48,3.68,1.69
1983-05-01,8.6,4.77,14.0
1983-06-01,3.38,7.83,-7.31
1983-07-01,4.91,5.2,9.46
1983-08-01,21.35,6.39,70.03
1983-09-01,-12.74,-4.65,-30.17
1983-10-01,6.23,6.5,6.31
1983-11-01,-7.82,-4.39,-17.81
1983-12-01,3.21,0.5,16.11
1984-01-01,5.7,0.6,17.7
1984-02-01,-2.07,2.17,-12.2
1984-03-01,2.43,-0.39,11.81
1984-04-01,5.19,-4.26,17.18
1984-05-01,2.91,8.3,-6.71
1984-06-01,-1.04,-2.71,6.44
1984-07-01,-1.28,2.21,-9.96
1984-08-01,-0.41,-2.26,0.2
1984-09-01,-2.55,-0.87,-0.2
1984-10-01,-0.55,-5.24,7.31
1984-11-01,-1.35,3.89,-10.31
1984-12-01,1.12,-2.76,9.03
1985-01-01,1.04,8.41,-13.56
1985-02-01,7.65,1.96,22.66
1985-03-01,-3.22,-5.04,0.18
1985-04-01,-4.96,4.05,-19.68
1985-05-01,2.15,-3.8,21.19
1985-06-01,7.57,3.66,11.48
1985-07-01,-5.47,-2.51,-10.46
1985-08-01,-0.47,-1.62,3.28
1985-09-01,7.18,7.86,4.95
1985-10-01,-13.34,-3.51,-30.98
1985-11-01,11.76,1.96,39.27
1985-12-01,-0.97,2.38,-8.76
1986-01-01,-0.52,-6.7,10.56
1986-02-01,1.74,2.11,-0.17
1986-03-01,0.17,5.72,-9.04
1986-04-01,-4.04,0.89,-13.38
1986-05-01,8.78,0.62,35.98
1986-06-01,-8.78,-6.55,-15.42
1986-07-01,2.99,0.0,9.4
1986-08-01,2.38,5.7,-0.88
1986-09-01,-1.76,-1.59,-3.72
1986-10-01,2.89,5.12,-1.47
1986-11-01,0.62,-1.45,2.05
1986-12-01,2.62,0.95,7.31
1987-01-01,1.2,0.09,4.94
1987-02-01,-4.89,-1.8,-10.71
1987-03-01,-4.35,0.26,-8.36
1987-04-01,2.42,0.87,0.99
1987-05-01,-1.27,0.69,-5.7
1987-06-01,-4.55,-4.55,-11.25
1987-07-01,3.06,1.35,14.55
1987-08-01,-3.62,-4.7,-1.43
1987-09-01,-2.28,3.26,-15.18
1987-10-01,-0.63,0.81,-7.6
1987-11-01,0.06,-2.95,12.2
1987-12-01,3.42,2.4,8.04
1988-01-01,-4.78,-1.62,-12.91
1988-02-01,-6.69,-6.5,-5.53
1988-03-01,10.34,7.44,14.89
1988-04-01,0.94,-5.01,15.74
1988-05-01,-8.17,4.41,-33.0
1988-06-01,1.96,1.19,8.36
1988-07-01,0.99,-1.81,8.82
1988-08-01,1.57,0.09,3.54
1988-09-01,-1.29,2.59,-10.27
1988-10-01,-0.13,-1.35,2.72
1988-11-01,-7.98,-6.93,-9.02
1988-12-01,9.95,9.31,8.75
1989-01-01,0.9,3.77,-5.09
1989-02-01,2.31,0.52,9.04
1989-03-01,-9.71,-10.75,-7.25
1989-04-01,6.93,6.55,5.03
1989-05-01,-6.03,-5.79,-14.36
1989-06-01,-7.11,-7.01,1.86
1989-07-01,2.97,0.52,6.4
1989-08-01,3.1,6.98,-9.46
1989-09-01,-6.37,-8.83,10.13
1989-10-01,-0.37,4.53,-19.54
1989-11-01,10.65,8.16,21.07
1989-12-01,-11.59,-13.97,-7.08
1990-01-01,15.64,15.91,17.78
1990-02-01,-10.34,-3.27,-23.99
1990-03-01,-0.52,-2.8,4.96
1990-04-01,-0.97,-4.27,5.07
1990-05-01,1.43,2.59,1.29
1990-06-01,-6.51,-4.25,-11.75
1990-07-01,2.53,3.27,-4.68
1990-08-01,0.93,-1.94,12.83
1990-09-01,0.38,-0.1,6.35
1990-10-01,-2.29,-3.34,-0.31
1990-11-01,-2.65,-0.32,-12.3
1990-12-01,-6.01,-3.58,-10.07
1991-01-01,-2.05,-3.93,6.0
1991-02-01,-5.13,-3.74,-12.08
1991-03-01,7.89,4.98,15.45
1991-04-01,-7.06,-4.98,-11.15
1991-05-01,-2.1,-2.56,1.26
1991-06-01,2.15,2.0,-1.24
1991-07-01,-1.56,0.86,-10.88
1991-08-01,-2.42,-0.36,-6.57
1991-09-01,15.81,7.93,34.17
1991-10-01,-11.51,-0.9,-39.33
1991-11-01,-5.86,-5.7,-5.56
1991-12-01,-1.09,0.97,-11.11
1992-01-01,5.89,2.28,20.59
1992-02-01,3.49,5.62,-11.59
1992-03-01,2.73,7.1,-2.07
1992-04-01,-3.99,-7.35,9.86
1992-05-01,9.6,11.17,-3.21
1992-06-01,0.17,-0.3,5.3
1992-07-01,5.21,4.33,11.95
1992-08-01,-8.87,-7.63,-14.04
1992-09-01,-1.49,-1.57,-1.96
1992-10-01,1.42,3.08,-4.67
1992-11-01,7.46,3.51,27.97
1992-12-01,-2.04,-1.29,-8.74
1993-01-01,-5.34,-1.61,-17.37
1993-02-01,8.9,6.97,25.36
1993-03-01,-10.6,-5.75,-41.62
1993-04-01,10.05,8.55,25.74
1993-05-01,-8.63,-8.81,-7.09
1993-06-01,7.38,4.52,25.42
1993-07-01,-8.63,-6.0,-29.05
1993-08-01,15.96,13.39,42.86
1993-09-01,-7.28,-3.41,-34.0
1993-10-01,6.31,2.96,28.28
1993-11-01,-0.88,2.23,-16.54
1993-12-01,4.37,2.45,28.3
1994-01-01,-4.73,-4.07,-16.18
1994-02-01,10.18,10.62,8.77
1994-03-01,-7.1,-8.93,0.0
1994-04-01,9.31,10.82,5.65
1994-05-01,4.08,2.73,12.98
1994-06-01,-6.57,-7.49,6.08
1994-07-01,-4.12,1.83,-42.68
1994-08-01,5.23,-1.79,91.11
1994-09-01,4.9,0.78,27.33
1994-10-01,-2.55,1.04,-18.26
1994-11-01,-0.94,-2.65,11.17
1994-12-01,1.54,2.9,-10.55
1995-01-01,2.67,1.96,2.81
1995-02-01,-9.07,-9.71,-4.37
1995-03-01,9.2,10.75,5.14
1995-04-01,-5.02,-8.12,11.96
1995-05-01,-1.19,-3.28,11.17
1995-06-01,-6.33,-2.26,-25.76
1995-07-01,8.86,1.54,47.65
1995-08-01,-6.43,-2.47,-16.33
1995-09-01,1.11,-2.24,17.62
1995-10-01,4.38,4.38,4.45
1995-11-01,1.87,2.0,-3.49
1995-12-01,-11.76,-6.54,-30.52
1996-01-01,16.83,11.3,51.45
1996-02-01,-6.06,-6.02,-6.87
1996-03-01,3.95,5.45,-2.05
1996-04-01,-3.07,-4.44,3.77
1996-05-01,7.23,8.82,1.21
1996-06-01,0.98,-1.39,11.55
1996-07-01,1.11,1.24,-2.14
1996-08-01,1.03,2.36,-8.03
1996-09-01,-6.06,-4.78,-11.11
1996-10-01,0.94,2.69,-1.34
1996-11-01,1.51,-2.44,9.5
1996-12-01,5.24,5.55,8.68
1997-01-01,-7.4,-4.41,-12.55
1997-02-01,12.2,10.55,10.43
1997-03-01,-6.47,-7.78,1.18
1997-04-01,-0.48,-1.48,-0.78
1997-05-01,-2.64,-1.59,-2.75
1997-06-01,-6.07,-1.7,-24.6
1997-07-01,-0.15,-3.65,16.58
1997-08-01,1.45,0.57,7.8
1997-09-01,8.26,8.1,6.81
1997-10-01,-3.19,-6.45,13.55
1997-11-01,1.72,5.31,-7.72
1997-12-01,0.56,-3.09,10.27
1998-01-01,-7.84,-7.12,-6.55
1998-02-01,9.5,10.71,0.74
1998-03-01,2.5,0.35,8.42
1998-04-01,1.42,4.86,-8.45
1998-05-01,-2.2,-5.9,10.7
1998-06-01,0.14,4.21,-12.0
1998-07-01,5.79,5.16,11.74
1998-08-01,-2.0,-3.6,1.36
1998-09-01,-4.54,0.59,-23.08
1998-10-01,0.0,-1.52,3.48
1998-11-01,10.47,7.45,28.99
1998-12-01,-10.66,-9.08,-18.57
1999-01-01,11.58,8.59,19.6
1999-02-01,-8.76,-3.23,-25.08
1999-03-01,14.67,10.01,33.93
1999-04-01,-5.56,-3.64,-6.33
1999-05-01,2.72,2.44,6.76
1999-06-01,1.54,0.69,-1.0
1999-07-01,-3.09,-6.33,8.42
1999-08-01,-2.13,-0.24,-2.17
1999-09-01,5.12,5.47,2.22
1999-10-01,-3.04,-3.25,-2.48
1999-11-01,0.19,3.12,-11.78
1999-12-01,3.95,1.55,14.8
2000-01-01,-5.12,-3.59,-8.18
2000-02-01,6.54,5.07,9.93
2000-03-01,1.61,-1.06,13.08
2000-04-01,-5.52,-0.38,-24.79
2000-05-01,4.47,2.07,17.58
2000-06-01,-9.04,-10.79,-3.12
2000-07-01,-2.29,-0.25,-7.4
2000-08-01,5.22,3.71,10.42
2000-09-01,-2.86,-4.55,2.52
2000-10-01,-0.98,0.09,-8.28
2000-11-01,1.72,4.34,-8.03
2000-12-01,-1.17,0.0,0.36
2001-01-01,-4.27,-8.56,13.41
2001-02-01,5.49,6.77,-0.32
2001-03-01,-4.3,-0.42,-22.12
2001-04-01,7.07,4.11,24.69
2001-05-01,-4.89,-1.45,-26.4
2001-06-01,10.49,4.82,45.74
2001-07-01,-4.35,-0.78,-15.08
2001-08-01,2.09,0.63,10.51
2001-09-01,-3.96,-1.48,-15.74
2001-10-01,3.09,5.71,-7.39
2001-11-01,-2.75,-6.9,17.65
2001-12-01,8.87,8.78,7.14
2002-01-01,-3.6,-2.0,-9.0
2002-02-01,2.39,3.47,0.37
2002-03-01,-6.7,-3.36,-20.07
2002-04-01,4.23,-4.98,48.86
2002-05-01,4.92,8.03,-13.8
2002-06-01,-6.8,-5.74,-2.14
2002-07-01,1.64,-0.47,12.0
2002-08-01,6.63,5.02,9.09
2002-09-01,-4.7,-0.6,-16.96
2002-10-01,-2.44,-3.38,3.23
2002-11-01,7.31,8.94,0.0
2002-12-01,-2.74,-3.71,1.04
2003-01-01,-1.02,-2.37,-1.37
2003-02-01,2.06,1.9,11.85
2003-03-01,-2.96,-2.76,-11.21
2003-04-01,1.47,3.45,-4.21
2003-05-01,4.27,2.96,14.65
2003-06-01,-5.31,-2.59,-15.97
2003-07-01,2.38,5.17,-13.69
2003-08-01,-6.55,-6.67,-2.2
2003-09-01,9.49,6.32,18.02
2003-10-01,0.52,4.67,-12.98
2003-11-01,-2.08,-2.7,0.88
2003-12-01,1.42,-0.35,7.83
2004-01-01,-0.41,0.0,5.65
2004-02-01,0.53,0.91,-8.4
2004-03-01,4.42,3.04,17.5
2004-04-01,8.03,10.33,-3.9
2004-05-01,-2.32,-8.51,35.42
2004-06-01,-1.9,1.06,-14.99
2004-07-01,1.29,1.64,-2.88
2004-08-01,1.59,0.52,11.88
2004-09-01,-6.02,-1.35,-28.32
2004-10-01,2.39,0.39,11.52
2004-11-01,-4.4,-4.87,0.37
2004-12-01,9.27,13.05,-12.5
2005-01-01,-1.51,-3.99,8.4
2005-02-01,0.85,1.2,-3.88
2005-03-01,-6.34,-5.22,-5.65
2005-04-01,7.83,6.69,16.67
2005-05-01,9.13,7.63,11.72
2005-06-01,-6.56,-4.06,-17.05
2005-07-01,-4.02,-2.38,-17.79
2005-08-01,3.5,0.61,22.6
2005-09-01,-1.54,-1.09,1.18
2005-10-01,2.08,-0.8,22.87
2005-11-01,-2.8,0.93,-21.45
2005-12-01,1.78,1.78,-4.42
2006-01-01,4.89,0.06,38.24
2006-02-01,0.59,4.75,-28.27
2006-03-01,9.62,9.7,21.19
2006-04-01,-7.75,-9.11,5.24
2006-05-01,-8.4,-7.37,-15.61
2006-06-01,8.07,8.27,9.84
2006-07-01,-5.66,-5.05,-8.24
2006-08-01,-2.95,-2.42,-7.42
2006-09-01,7.14,3.78,27.43
2006-10-01,-4.62,-6.93,4.97
2006-11-01,-1.3,-2.18,-4.73
2006-12-01,-0.26,-1.05,7.95
2007-01-01,-3.5,-0.53,-11.04
2007-02-01,-9.99,-12.19,-2.07
2007-03-01,-1.04,-0.46,-4.23
2007-04-01,-5.18,-2.74,-17.65
2007-05-01,-0.19,0.16,-4.46
2007-06-01,-3.58,-4.54,7.01
2007-07-01,3.58,-0.98,28.38
2007-08-01,-1.43,2.73,-15.65
2007-09-01,-10.32,-12.57,-2.82
2007-10-01,3.61,4.88,-0.83
2007-11-01,-1.07,-0.88,-2.93
2007-12-01,-4.46,-8.6,21.12
2008-01-01,0.23,-2.62,1.78
2008-02-01,-4.28,-7.37,9.79
2008-03-01,-6.2,-2.8,-11.78
2008-04-01,-14.48,-12.06,-29.96
2008-05-01,11.74,10.57,26.29
2008-06-01,0.0,-3.3,10.61
2008-07-01,-4.82,-2.24,-14.02
2008-08-01,-6.44,-14.32,23.18
2008-09-01,14.06,15.17,6.27
2008-10-01,-9.05,-8.66,-3.93
2008-11-01,1.99,0.67,2.73
2008-12-01,-5.11,-9.02,4.32
