date,Total Housing Completions Period Chg,Single-Family Completions Period Chg,5+ Unit Completions Period Chg
2024-07-01,-5.55,1.21,-14.94
2024-08-01,7.34,-5.15,30.31
2024-09-01,-4.79,-1.74,-8.51
2024-10-01,-2.09,-2.47,-2.02
2024-11-01,-1.1,2.83,-7.75
2024-12-01,-5.62,-8.75,-1.54
2025-01-01,8.12,8.08,9.76
2025-02-01,-5.21,1.89,-15.87
2025-03-01,0.06,2.54,-6.23
2025-04-01,-5.81,-8.02,0.6
2025-05-01,4.54,9.54,-6.4
2025-06-01,-10.18,-12.88,-5.56
2025-07-01,5.05,9.35,0.0
2025-08-01,6.94,5.77,7.01
2025-09-01,-11.83,-11.28,-12.68
2025-10-01,4.23,8.9,-5.81
2025-11-01,2.31,-1.46,11.83
2025-12-01,-0.41,-3.26,5.29
2026-01-01,4.8,-1.02,16.16
