date,Active Listing Count (Realtor.com) Period Chg,New Listing Count (Realtor.com) Period Chg,Pending Listing Count (Realtor.com) Period Chg,Price Reduced Count (Realtor.com) Period Chg,Median Listing Price (Realtor.com) Period Chg,Average Listing Price (Realtor.com) Period Chg,Median Listing Price per Sq Ft (Realtor.com) Period Chg,Median Days on Market (Realtor.com) Period Chg,Median Home Size Sq Ft (Realtor.com) Period Chg
2021-11-01,-9.45,-12.79,-3.18,-21.0,-0.23,0.62,-0.51,6.98,-0.39
2021-12-01,-13.07,-23.74,-11.41,-34.3,-1.33,0.22,-0.51,15.22,-0.67
2022-01-01,-15.35,13.18,-12.46,-22.19,0.2,3.76,1.03,11.32,-0.62
2022-02-01,-8.08,13.76,10.6,-6.9,3.95,5.66,4.06,-30.51,0.28
2022-03-01,2.17,18.1,6.42,16.05,3.89,2.16,3.9,-17.07,0.79
2022-04-01,7.33,13.91,6.5,23.02,5.02,0.8,2.82,-11.76,0.95
2022-05-01,26.18,6.19,1.01,74.56,4.28,0.39,2.74,0.0,2.21
2022-06-01,19.64,1.35,-3.17,51.65,2.64,-1.97,0.89,3.33,1.35
2022-07-01,20.57,-11.53,-7.54,31.96,-1.14,-3.43,-0.44,9.68,0.16
2022-08-01,5.08,-11.33,-2.97,-2.98,-2.55,-2.31,-1.77,20.59,-0.16
2022-09-01,0.65,-5.88,-4.6,1.56,-1.12,-1.12,-0.9,14.63,-0.21
2022-10-01,2.9,-8.53,-11.22,3.01,-0.64,0.02,-0.91,6.38,0.11
2022-11-01,-0.34,-18.12,-11.03,-13.39,-2.12,-0.47,-1.38,10.0,-0.48
2022-12-01,-9.23,-26.8,-13.03,-39.95,-2.64,-0.21,-0.93,18.18,-0.75
2023-01-01,-9.41,32.97,-5.83,11.85,-0.32,1.72,0.47,10.77,-0.11
2023-02-01,-6.1,6.18,22.74,-13.63,2.64,4.06,1.4,-9.72,0.05
2023-03-01,-2.9,12.3,7.14,0.25,2.32,3.07,1.38,-20.0,0.76
2023-04-01,0.09,12.46,8.52,0.67,1.42,2.18,0.91,-11.54,1.07
2023-05-01,3.46,5.64,6.97,9.64,2.56,1.85,1.35,-6.52,0.9
2023-06-01,5.47,-2.61,-1.43,12.94,0.91,-0.59,0.0,2.33,0.74
2023-07-01,5.34,-5.57,-3.0,10.59,-1.12,-1.41,-0.44,2.27,-0.1
2023-08-01,3.5,3.51,-1.73,5.36,-1.02,-1.99,-0.45,2.22,-0.42
2023-09-01,4.88,-7.53,-5.35,9.54,-1.38,-1.48,-0.45,4.35,-0.79
2023-10-01,5.07,-2.62,-6.52,5.12,-1.05,-0.43,-0.45,4.17,-0.85
2023-11-01,2.36,-9.05,-7.19,-7.42,-1.18,-0.4,0.0,4.0,-0.96
2023-12-01,-5.47,-25.72,-9.23,-37.39,-2.38,-0.88,-0.9,17.31,-1.08
2024-01-01,-6.81,25.3,-4.05,13.94,-0.12,0.82,0.91,13.11,-0.76
2024-02-01,-0.13,14.97,18.78,10.11,1.47,1.47,1.36,-11.59,-0.27
2024-03-01,4.53,16.55,14.67,9.34,2.26,1.46,1.79,-18.03,0.39
2024-04-01,5.68,9.23,8.63,13.93,1.19,0.73,0.88,-6.0,0.77
2024-05-01,7.27,0.43,3.29,12.97,2.22,1.25,1.3,-4.26,0.87
2024-06-01,6.63,-1.8,-1.56,13.2,0.09,-1.68,-0.43,6.67,0.27
2024-07-01,5.23,-4.86,-3.71,5.94,-0.6,-1.75,-0.86,6.25,0.0
2024-08-01,2.83,-5.39,-3.44,-2.79,-1.66,-2.13,-0.87,3.92,-0.43
2024-09-01,3.12,1.65,-2.7,-2.06,-1.16,-0.7,-0.44,5.66,-0.54
2024-10-01,1.81,-6.2,-0.65,-0.25,-0.59,-1.2,-0.44,3.57,-0.43
2024-11-01,-0.19,-11.57,-3.01,-12.65,-1.39,-1.04,-0.88,5.17,-0.76
2024-12-01,-8.49,-26.48,-14.61,-33.62,-3.39,-0.7,-0.89,14.75,-1.1
2025-01-01,-4.84,37.54,-9.12,24.64,-0.5,0.23,0.9,4.29,-0.44
2025-02-01,2.22,8.15,18.18,12.43,2.87,2.47,1.34,-9.59,-0.06
2025-03-01,5.28,23.27,11.93,15.22,3.13,2.14,1.76,-19.7,0.5
2025-04-01,7.47,8.22,12.36,11.15,1.49,0.91,0.87,-5.66,1.11
2025-05-01,8.01,-1.42,3.8,11.01,2.03,0.14,0.43,2.0,1.1
2025-06-01,4.48,-2.73,-0.58,11.75,0.22,-0.78,-0.43,3.92,0.65
2025-07-01,1.87,-3.89,-4.5,-0.77,-0.34,-1.6,-0.86,9.43,0.0
2025-08-01,-0.37,-7.49,-1.73,-3.99,-2.15,-1.69,-1.3,3.45,-0.43
2025-09-01,0.16,-1.84,-3.1,-2.96,-1.16,-0.99,-0.88,3.33,-0.22
2025-10-01,-0.05,-2.39,-3.23,0.93,-0.19,-0.58,-0.44,1.61,-0.38
2025-11-01,-2.51,-14.15,-3.18,-15.74,-2.17,-0.91,-1.33,1.59,-0.71
2025-12-01,-8.9,-29.46,-16.09,-38.77,-3.63,-0.94,-0.9,14.06,-1.1
2026-01-01,-6.57,41.04,-9.37,11.07,-0.01,0.22,0.0,6.85,-0.67
2026-02-01,0.33,10.88,22.82,15.91,0.89,2.02,1.36,-10.26,0.11
2026-03-01,3.51,20.24,12.52,13.84,3.11,4.65,0.9,-18.57,0.56
2026-04-01,5.81,8.7,8.23,11.33,2.16,-0.34,0.89,-8.77,1.0
