date,CPI All Urban Consumers Period Chg,CPI Less Food & Energy (Core) Period Chg,CPI Food & Beverages Period Chg,CPI Energy Period Chg,CPI Shelter Period Chg,CPI Medical Care Period Chg,CPI Transportation Period Chg,CPI Apparel Period Chg,CPI Education & Communication Period Chg
1954-08-01,-0.04,,,,0.0,0.56,-0.38,-0.23,
1954-09-01,-0.15,,,,0.44,0.0,0.0,-0.23,
1954-10-01,-0.34,,,,0.0,0.0,-1.93,0.0,
1954-11-01,0.22,,,,0.0,0.56,1.57,0.0,
1954-12-01,-0.04,,,,0.44,0.0,0.0,0.0,
1955-01-01,0.0,,,,0.0,0.0,0.39,-0.23,
1955-02-01,0.19,,,,0.0,0.56,0.0,0.0,
1955-03-01,-0.11,,,,0.0,0.0,0.0,-0.23,
1955-04-01,0.0,,,,0.0,0.0,-1.16,0.23,
1955-05-01,-0.07,,,,0.0,0.55,0.39,0.0,
1955-06-01,-0.22,,,,0.0,0.0,0.39,0.0,
1955-07-01,0.19,,,,0.0,0.0,-0.39,0.0,
1955-08-01,-0.15,,,,0.44,0.55,-0.39,0.23,
1955-09-01,0.49,,,,0.0,0.0,0.39,0.23,
1955-10-01,-0.11,,,,0.44,0.55,0.39,0.0,
1955-11-01,0.22,,,,0.0,0.54,0.78,0.0,
1955-12-01,-0.04,,,,0.0,0.54,-0.77,0.23,
1956-01-01,-0.15,,,,0.0,0.0,0.0,0.23,
1956-02-01,0.11,,,,0.0,0.54,0.0,0.69,
1956-03-01,0.11,,,,0.0,0.0,0.0,0.0,
1956-04-01,0.15,,,,0.0,0.53,0.0,0.23,
1956-05-01,0.37,,,,0.0,0.0,0.78,0.0,
1956-06-01,0.44,,,,0.87,0.0,0.0,0.0,
1956-07-01,0.52,,,,0.43,0.53,0.77,0.46,
1956-08-01,0.07,,,,0.43,0.53,0.38,0.23,
1956-09-01,0.15,,,,0.0,0.53,0.38,0.23,
1956-10-01,0.59,,,,0.0,0.0,2.27,0.0,
1956-11-01,0.0,,,,0.0,0.0,-0.37,0.23,
1956-12-01,0.44,,,,0.86,0.52,0.37,0.45,
1957-01-01,0.14,,,,0.0,0.52,0.74,0.0,
1957-02-01,0.47,0.35,,0.47,0.85,0.0,0.74,0.0,
1957-03-01,0.22,0.35,,0.47,0.42,0.52,0.36,0.45,
1957-04-01,0.25,0.35,,0.47,0.42,0.52,0.73,-0.22,
1957-05-01,0.25,0.0,,0.0,0.0,0.51,-0.36,0.23,
1957-06-01,0.39,0.35,,0.0,0.0,0.51,0.36,0.0,
1957-07-01,0.28,0.35,,-0.46,0.42,0.0,0.36,0.0,
1957-08-01,0.32,0.0,,-0.47,0.0,0.51,0.0,0.22,
1957-09-01,0.14,0.34,,0.0,0.42,0.0,0.36,-0.22,
1957-10-01,0.0,0.34,,0.0,0.41,0.51,-1.43,0.22,
1957-11-01,0.32,0.34,,0.47,0.0,0.5,2.91,0.22,
1957-12-01,0.21,0.0,,0.0,0.41,0.5,-0.71,-0.22,
1958-01-01,0.6,0.0,,0.47,0.0,0.5,0.0,0.45,
1958-02-01,0.21,0.34,,-1.39,0.41,0.0,0.36,-0.22,
1958-03-01,0.59,0.34,,0.47,0.0,0.5,0.35,0.0,
1958-04-01,0.24,0.0,,0.0,0.41,0.49,0.0,0.0,
1958-05-01,0.0,0.0,,0.47,0.41,0.49,0.35,0.0,
1958-06-01,-0.1,0.34,,0.0,-0.41,0.49,0.0,0.22,
1958-07-01,-0.07,0.0,,0.47,0.0,0.49,1.06,-0.22,
1958-08-01,0.17,0.0,,0.46,0.0,0.0,0.35,0.0,
1958-09-01,-0.1,0.34,,0.0,0.0,0.97,0.35,-0.45,
1958-10-01,0.0,0.0,,0.0,-0.41,0.48,0.0,0.0,
1958-11-01,0.14,0.34,,-1.38,0.41,0.0,0.69,0.45,
1958-12-01,0.07,0.34,,0.0,0.0,0.48,0.34,0.0,
1959-01-01,0.14,0.0,,0.0,0.0,0.0,0.34,0.22,
1959-02-01,-0.03,0.0,,0.93,0.0,0.47,0.34,-0.22,
1959-03-01,-0.1,0.33,,0.46,0.41,0.47,0.68,0.0,
1959-04-01,0.03,0.0,,0.46,0.0,0.0,0.34,0.22,
1959-05-01,0.21,0.33,,0.0,0.41,0.47,0.0,0.22,
1959-06-01,0.24,0.33,,0.46,0.0,0.47,0.34,0.22,
1959-07-01,0.14,0.0,,-0.46,0.0,0.0,0.34,0.22,
1959-08-01,0.1,0.0,,0.46,0.4,0.47,0.0,0.22,
1959-09-01,0.24,0.33,,0.0,0.0,0.46,0.33,0.22,
1959-10-01,0.34,0.33,,1.37,0.4,0.0,0.33,0.0,
1959-11-01,0.0,0.0,,0.0,0.4,0.46,0.0,0.0,
1959-12-01,0.2,0.33,,0.45,0.0,0.0,0.0,0.0,
1960-01-01,-0.14,0.0,,0.0,0.0,0.46,-0.33,0.0,
1960-02-01,0.14,0.33,,-0.45,0.4,0.46,0.0,0.44,
1960-03-01,0.0,0.0,,0.45,0.0,0.45,-0.33,0.0,
1960-04-01,0.44,0.0,,0.45,0.4,0.45,0.0,0.22,
1960-05-01,0.1,0.0,,-0.45,0.0,0.0,-0.33,0.22,
1960-06-01,0.14,0.33,,0.45,0.0,0.0,0.0,0.0,
1960-07-01,-0.2,-0.33,,0.45,0.0,0.45,0.0,0.22,
1960-08-01,0.2,0.0,,0.0,0.4,0.0,0.0,0.0,
1960-09-01,0.0,0.0,,0.44,0.0,0.45,-0.67,0.22,
1960-10-01,0.47,0.65,,-0.44,0.4,0.0,0.0,0.22,
1960-11-01,0.1,0.0,,0.89,0.0,0.45,0.0,-0.22,
1960-12-01,0.1,-0.32,,-0.44,0.0,0.44,0.34,0.0,
1961-01-01,0.1,0.33,,0.44,0.0,0.0,0.0,0.22,
1961-02-01,0.0,0.0,,-0.44,0.0,0.44,0.34,0.0,
1961-03-01,0.0,0.32,,0.0,0.0,0.0,0.0,0.0,
1961-04-01,-0.1,0.0,,-1.77,0.0,0.44,0.0,-0.22,
1961-05-01,0.1,0.0,,0.9,0.0,0.0,0.67,0.22,
1961-06-01,0.0,0.32,,0.45,0.0,0.44,0.33,0.0,
1961-07-01,0.27,0.0,,0.0,0.39,0.0,0.66,0.22,
1961-08-01,0.07,0.32,,0.0,-0.39,0.44,0.33,0.0,
1961-09-01,0.13,0.0,,0.44,0.39,0.43,0.33,0.22,
1961-10-01,0.0,0.0,,-0.88,0.0,0.0,0.0,0.0,
1961-11-01,0.0,0.32,,0.45,0.39,0.0,-0.33,-0.22,
1961-12-01,0.1,0.0,,-0.44,0.0,0.43,-0.33,0.0,
1962-01-01,0.1,0.0,,0.0,0.0,0.0,0.33,-0.22,
1962-02-01,0.23,0.0,,0.89,0.0,0.43,0.33,0.22,
1962-03-01,0.2,0.32,,-0.88,0.0,0.43,0.0,0.22,
1962-04-01,0.13,0.0,,1.34,0.0,0.0,1.31,0.0,
1962-05-01,0.1,0.32,,0.0,0.39,0.43,0.0,0.0,
1962-06-01,-0.1,0.0,,-0.88,0.39,0.0,0.0,0.22,
1962-07-01,0.03,0.0,,-0.89,0.0,0.43,-0.97,0.22,
1962-08-01,0.2,0.32,,0.45,0.0,0.0,0.65,-0.43,
1962-09-01,0.46,0.0,,1.79,0.0,0.0,0.65,0.87,
1962-10-01,-0.13,0.0,,-0.44,0.0,0.42,-0.32,0.21,
1962-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,-0.43,
1962-12-01,0.0,0.32,,0.44,0.0,0.42,0.0,-0.22,
1963-01-01,0.2,-0.32,,0.0,0.39,0.42,-0.97,0.43,
1963-02-01,0.13,0.32,,-0.44,0.0,0.0,0.33,0.21,
1963-03-01,0.1,0.32,,0.0,0.39,0.0,0.33,0.0,
1963-04-01,-0.1,0.0,,-0.44,0.0,0.0,0.0,0.21,
1963-05-01,0.1,0.0,,0.0,0.0,0.42,0.32,-0.21,
1963-06-01,0.33,0.32,,-0.44,0.0,0.42,0.0,0.21,
1963-07-01,0.26,0.0,,0.89,0.38,0.0,0.0,0.21,
1963-08-01,0.2,0.31,,-0.44,0.0,0.41,0.32,0.21,
1963-09-01,-0.1,0.0,,-0.44,0.0,0.0,0.0,0.0,
1963-10-01,0.1,0.31,,0.89,0.38,0.0,0.65,0.21,
1963-11-01,0.1,0.0,,-0.44,0.0,0.41,-0.32,0.21,
1963-12-01,0.32,0.31,,0.0,0.38,0.0,0.32,0.0,
1964-01-01,0.19,0.31,,0.88,0.0,0.41,0.64,0.0,
1964-02-01,-0.1,0.0,,-2.63,0.38,0.0,-0.32,0.0,
1964-03-01,0.1,0.0,,1.8,0.0,0.0,0.32,0.0,
1964-04-01,0.03,0.0,,-0.44,0.0,0.41,-0.32,0.21,
1964-05-01,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,
1964-06-01,0.1,0.31,,0.44,0.0,0.41,0.32,0.0,
1964-07-01,0.03,0.0,,-0.44,0.38,0.0,-0.32,0.21,
1964-08-01,0.1,0.0,,0.44,0.0,0.41,0.32,0.0,
1964-09-01,0.1,0.0,,-0.44,0.38,0.0,-0.32,-0.42,
1964-10-01,0.13,0.31,,0.0,0.0,0.0,0.0,0.0,
1964-11-01,0.29,0.31,,0.0,0.38,0.4,0.32,0.21,
1964-12-01,0.13,0.0,,0.44,0.0,0.0,0.96,0.21,
1965-01-01,0.1,0.31,,0.88,0.37,0.0,0.63,0.21,
1965-02-01,0.0,0.0,,-0.44,0.37,0.4,-0.31,0.0,
1965-03-01,0.1,0.0,,-0.44,0.0,0.4,0.0,0.0,
