date,New Single-Family Homes Sold (SAAR) Period Chg,Median Sales Price - New Homes Period Chg,Average Sales Price - New Homes Period Chg,Months Supply of New Houses Period Chg,New Houses For Sale (SAAR) Period Chg
2003-08-01,3.25,0.16,-2.98,-2.78,1.17
2003-09-01,-6.22,0.79,5.6,8.57,1.16
2003-10-01,1.15,1.09,-4.6,0.0,3.14
2003-11-01,-4.46,6.7,10.5,7.89,1.39
2003-12-01,3.29,-5.36,-5.37,-2.44,1.09
2004-01-01,3.19,6.89,3.23,-5.0,1.08
2004-02-01,-0.52,4.82,0.76,-2.63,-0.53
2004-03-01,10.09,-4.55,-1.17,-2.7,2.42
2004-04-01,-7.05,6.06,3.18,11.11,0.52
2004-05-01,4.64,-4.77,-3.3,-5.0,0.0
2004-06-01,-4.92,1.89,1.08,2.63,0.0
2004-07-01,-7.8,-1.53,6.08,15.38,4.44
2004-08-01,8.0,2.68,-2.51,-4.44,1.25
2004-09-01,3.32,-2.98,-1.1,-4.65,1.23
2004-10-01,7.5,8.32,7.58,-4.88,0.73
2004-11-01,-9.66,-2.05,-2.21,10.26,1.21
2004-12-01,5.34,2.27,0.39,-4.65,0.96
2005-01-01,-3.14,-2.83,-0.46,7.32,4.5
2005-02-01,9.64,6.36,2.16,-2.27,1.13
2005-03-01,0.68,-3.37,0.17,-4.65,-0.22
2005-04-01,-5.12,3.05,-0.17,4.88,0.0
2005-05-01,2.06,-3.39,-0.59,-2.33,1.12
2005-06-01,-0.93,-0.96,-2.71,2.38,1.11
2005-07-01,9.03,1.37,3.47,-2.33,1.98
2005-08-01,-9.65,4.76,1.97,7.14,2.59
2005-09-01,-0.88,0.12,1.56,4.44,2.31
2005-10-01,7.4,1.46,-2.0,-4.26,0.62
2005-11-01,-9.13,-2.46,0.27,11.11,2.45
2005-12-01,2.06,0.29,-1.43,-2.0,1.79
2006-01-01,-5.25,2.64,3.72,8.16,2.35
2006-02-01,-9.63,2.41,2.29,15.09,3.06
2006-03-01,5.18,-4.78,-2.96,-3.28,2.41
2006-04-01,0.63,7.62,3.85,6.78,2.36
2006-05-01,-3.29,-7.32,-5.29,-1.59,0.0
2006-06-01,-1.1,2.1,3.78,1.61,0.18
2006-07-01,-10.15,-2.1,2.07,15.87,1.06
2006-08-01,7.25,2.44,1.93,-8.22,-1.05
2006-09-01,-1.84,-7.05,-6.65,0.0,-1.24
2006-10-01,-7.38,10.45,3.58,8.96,-0.89
2006-11-01,6.59,-4.11,-4.89,-9.59,-1.99
2006-12-01,-0.5,1.92,3.46,-1.52,-1.29
2007-01-01,-10.72,3.96,4.21,10.77,0.37
2007-02-01,-7.07,-1.42,2.19,9.72,1.12
2007-03-01,0.6,4.7,2.46,0.0,0.18
2007-04-01,6.48,-7.65,-5.37,-6.33,0.55
2007-05-01,-5.07,1.03,-0.64,5.41,-0.55
2007-06-01,-5.82,-3.88,-1.03,5.13,-0.55
2007-07-01,-1.89,4.54,0.2,1.22,-0.92
2007-08-01,-10.15,-3.94,-1.89,10.84,-0.74
2007-09-01,-1.86,1.61,-3.02,0.0,-1.13
2007-10-01,5.98,-2.5,6.13,-7.61,-2.47
2007-11-01,-11.83,6.32,2.16,10.59,-2.14
2007-12-01,-3.43,-8.59,-10.23,2.13,-1.19
2008-01-01,1.29,2.06,0.07,-3.12,-2.01
2008-02-01,-5.42,5.55,5.83,4.3,-2.05
2008-03-01,-9.78,-6.52,-4.52,8.25,-1.47
2008-04-01,0.19,7.46,9.28,-1.9,-2.55
2008-05-01,-5.97,-6.94,-5.12,3.88,-1.53
2008-06-01,-3.37,2.18,0.4,0.0,-3.55
2008-07-01,-2.05,1.28,0.84,-1.87,-3.68
2008-08-01,-8.81,-6.87,-12.06,7.62,-2.39
2008-09-01,-0.46,1.9,8.14,-3.54,-3.42
2008-10-01,-9.24,-5.33,-4.56,6.42,-3.54
2008-11-01,-1.02,3.94,5.88,-1.72,-2.62
2008-12-01,-3.08,3.61,-9.31,-1.75,-4.85
2009-01-01,-10.88,-9.15,-6.8,8.93,-3.4
2009-02-01,10.71,0.53,5.46,-13.93,-4.4
2009-03-01,-8.87,-2.19,0.46,4.76,-4.6
2009-04-01,-0.59,6.87,3.85,-2.73,-3.54
2009-05-01,11.57,1.41,1.78,-13.08,-3.0
2009-06-01,4.52,-3.42,0.07,-8.6,-3.78
2009-07-01,4.58,-0.23,-1.35,-7.06,-3.57
2009-08-01,1.7,-3.31,-4.91,-5.06,-3.33
2009-09-01,-7.66,4.59,12.61,4.0,-3.45
2009-10-01,2.59,-0.69,-9.13,-5.13,-3.57
2009-11-01,-5.3,1.72,4.13,2.7,-2.47
2009-12-01,-6.13,1.74,1.31,5.26,-1.27
2010-01-01,-1.99,-1.98,1.83,1.25,-0.43
2010-02-01,-2.61,1.7,0.25,2.47,-0.86
2010-03-01,13.39,1.31,-7.46,-14.46,-1.73
2010-04-01,10.76,-7.34,2.89,-12.68,-4.41
2010-05-01,-33.65,10.66,3.92,50.0,-0.46
2010-06-01,8.93,-4.77,-8.68,-10.75,-1.85
2010-07-01,-7.21,-3.37,-1.79,7.23,-1.42
2010-08-01,-0.35,6.84,6.62,-1.12,-1.44
2010-09-01,12.41,0.62,0.74,-13.64,-2.43
2010-10-01,-8.2,-10.44,-6.06,7.89,-1.0
2010-11-01,-1.37,7.54,10.73,0.0,-2.01
2010-12-01,13.59,9.84,3.55,-14.63,-2.56
2011-01-01,-5.83,-0.46,-5.49,4.29,-1.58
2011-02-01,-12.05,-8.33,-4.68,10.96,-2.14
2011-03-01,11.11,0.18,-0.76,-11.11,-2.19
2011-04-01,3.33,1.9,3.11,-6.94,-3.35
2011-05-01,-1.61,-1.2,-2.31,-1.49,-2.89
2011-06-01,-1.31,8.2,3.96,0.0,-1.19
2011-07-01,-1.66,-4.29,-1.03,1.52,0.0
2011-08-01,1.01,-4.48,-4.07,-2.99,-2.41
2011-09-01,1.67,-1.18,-1.5,-3.08,-1.23
2011-10-01,3.95,3.59,1.14,-4.76,-1.25
2011-11-01,3.8,-4.67,-3.21,-5.0,-1.9
2011-12-01,3.96,2.01,5.16,-7.02,-2.58
2012-01-01,-1.76,1.42,1.07,0.0,-1.32
2012-02-01,9.25,8.21,3.12,-9.43,-1.34
2012-03-01,-3.28,-0.04,3.5,2.08,-1.36
2012-04-01,0.0,-1.42,1.52,0.0,-0.69
2012-05-01,4.52,1.18,-2.43,-4.08,0.0
2012-06-01,-2.7,-2.76,-3.24,2.13,0.69
2012-07-01,2.5,2.06,3.86,-4.17,-2.07
2012-08-01,1.63,6.66,8.22,0.0,0.7
2012-09-01,2.67,0.55,-2.55,-2.17,0.7
2012-10-01,-7.01,-2.91,-4.13,8.89,2.08
2012-11-01,9.5,-0.89,1.86,-6.12,2.04
2012-12-01,1.79,5.43,2.92,-2.17,0.0
2013-01-01,11.78,-2.63,2.57,-11.11,-0.67
2013-02-01,0.22,5.41,1.82,2.5,2.01
2013-03-01,-0.67,-2.87,-3.94,2.44,1.97
2013-04-01,-0.68,8.47,12.26,4.76,3.87
2013-05-01,-2.95,-5.59,-6.82,4.55,1.24
2013-06-01,9.81,-1.48,-2.52,-10.87,-1.23
2013-07-01,-20.21,0.92,7.78,34.15,6.21
2013-08-01,1.6,-2.63,-5.79,0.0,2.34
2013-09-01,5.77,5.68,3.41,-1.82,4.57
2013-10-01,10.17,-2.04,4.45,-9.26,0.0
2013-11-01,0.45,4.84,-0.03,2.04,0.55
2013-12-01,-2.91,-0.58,-4.29,4.0,1.09
2014-01-01,2.31,-2.07,5.01,-1.92,1.61
2014-02-01,-5.19,-0.52,-3.38,3.92,-1.06
2014-03-01,-3.57,5.18,1.72,5.66,1.6
2014-04-01,-0.49,-2.76,-1.93,1.79,0.0
2014-05-01,11.91,4.04,-0.49,-8.77,2.11
2014-06-01,-7.32,0.49,4.51,9.62,2.58
2014-07-01,-3.83,-2.3,2.1,8.77,4.02
2014-08-01,13.43,4.03,3.19,-12.9,0.0
2014-09-01,3.07,-10.35,-10.42,0.0,1.45
2014-10-01,1.28,13.58,18.3,-1.85,-0.48
2014-11-01,-7.14,0.44,-7.58,7.55,0.96
2014-12-01,12.44,1.07,6.96,-10.53,-0.47
2015-01-01,3.62,-3.15,-6.67,-5.88,-1.43
2015-02-01,4.85,-1.85,-0.57,-6.25,-1.93
2015-03-01,-11.11,0.0,0.87,13.33,0.49
2015-04-01,4.58,2.76,-2.55,-3.92,0.98
2015-05-01,0.0,-2.38,-1.23,2.04,2.43
2015-06-01,-4.38,-0.83,-2.77,8.0,2.37
2015-07-01,5.42,2.53,4.37,-3.7,0.93
2015-08-01,2.37,0.24,0.62,-3.85,-0.46
2015-09-01,-11.97,2.22,4.05,18.0,3.23
2015-10-01,5.7,-0.5,3.28,-5.08,0.89
2015-11-01,4.56,4.9,1.17,-1.79,1.33
2015-12-01,8.33,-4.96,-5.55,-7.27,1.31
2016-01-01,-7.51,-2.93,2.47,9.8,1.72
2016-02-01,2.38,6.03,-5.4,-1.79,1.27
2016-03-01,2.9,-0.85,5.06,0.0,1.26
2016-04-01,8.27,4.98,2.87,-9.09,0.0
2016-05-01,-0.87,-7.26,-5.31,2.0,-0.41
2016-06-01,-2.45,5.42,2.32,3.92,1.24
2016-07-01,12.75,-4.43,-1.34,-15.09,-2.46
2016-08-01,-8.44,0.5,0.59,11.11,0.84
2016-09-01,-2.96,5.32,3.1,4.0,1.25
2016-10-01,3.05,-3.81,-3.8,0.0,2.47
2016-11-01,-0.7,4.03,3.18,0.0,-0.4
2016-12-01,-1.75,3.81,5.26,3.85,2.42
2017-01-01,2.14,-3.61,-6.48,0.0,1.18
2017-02-01,2.44,-5.46,3.58,-1.85,1.56
2017-03-01,7.67,7.95,3.75,-5.66,1.53
2017-04-01,-5.38,-3.29,-4.84,8.0,1.13
2017-05-01,6.19,4.02,3.44,-5.56,1.12
2017-06-01,-2.52,-2.6,-2.06,3.92,1.11
2017-07-01,-7.59,2.44,0.49,9.43,1.09
2017-08-01,-2.8,-2.69,-0.86,5.17,1.44
2017-09-01,14.57,5.51,2.74,-13.11,0.36
2017-10-01,-1.73,-3.62,3.88,3.77,1.42
2017-11-01,13.58,7.48,-1.4,-12.73,0.35
2017-12-01,-11.39,-0.03,3.71,16.67,2.09
2018-01-01,-6.35,-3.99,-6.23,7.14,0.0
2018-02-01,4.75,-0.73,-1.11,-5.0,1.02
2018-03-01,9.87,2.51,-1.18,-8.77,0.34
2018-04-01,-5.45,-6.26,4.31,7.69,1.01
2018-05-01,3.12,0.73,-3.25,-1.79,0.33
2018-06-01,-3.93,-1.96,-0.67,5.45,2.99
2018-07-01,-1.26,5.48,6.0,3.45,0.97
2018-08-01,-5.57,-1.86,-2.91,8.33,1.92
2018-09-01,0.34,2.15,1.44,1.54,1.88
2018-10-01,-6.89,0.0,2.2,9.09,1.85
2018-11-01,12.82,-6.03,-7.04,-11.11,0.91
2018-12-01,-12.64,6.87,4.0,18.75,3.59
2019-01-01,8.97,-7.37,-5.42,-7.89,0.0
2019-02-01,8.91,5.04,6.23,-10.0,-1.73
2019-03-01,10.8,-3.18,-2.84,-11.11,-0.88
2019-04-01,-2.23,9.14,3.41,1.79,-1.19
2019-05-01,-11.97,-7.76,-1.63,14.04,0.9
2019-06-01,17.96,-0.29,-4.54,-16.92,-1.49
2019-07-01,-11.11,-1.12,3.21,12.96,-0.91
2019-08-01,9.88,6.07,5.14,-9.84,-0.61
2019-09-01,0.0,-3.46,-5.25,-1.82,-0.92
2019-10-01,1.4,2.12,2.2,-1.85,-0.93
2019-11-01,-1.25,1.74,1.08,1.89,0.31
2019-12-01,-1.82,0.46,-1.74,1.85,0.0
2020-01-01,-1.57,-0.18,1.67,3.64,1.25
2020-02-01,2.61,0.88,0.57,-1.75,0.92
2020-03-01,-11.46,-1.08,-2.8,14.29,1.22
2020-04-01,-7.99,-5.7,-4.4,6.25,-2.41
2020-05-01,22.74,2.07,2.23,-22.06,-3.4
2020-06-01,27.44,3.04,3.0,-24.53,-3.83
2020-07-01,8.88,-1.57,1.75,-12.5,-3.99
2020-08-01,3.57,0.31,1.59,-2.86,-1.73
2020-09-01,-3.64,3.36,5.3,2.94,0.0
2020-10-01,5.31,0.84,-4.11,-5.71,-1.06
2020-11-01,-14.94,-0.42,0.79,18.18,2.49
2020-12-01,-0.34,1.71,-2.69,5.13,3.12
2021-01-01,2.75,4.57,6.49,0.0,2.36
2021-02-01,-13.36,-0.96,2.86,17.07,1.97
2021-03-01,11.95,-2.48,-3.68,-10.42,-0.32
2021-04-01,-4.94,6.33,4.66,6.98,2.91
2021-05-01,-12.44,2.28,0.52,19.57,3.77
2021-06-01,-4.14,-3.11,-1.65,9.09,5.45
2021-07-01,4.46,6.62,3.51,0.0,4.02
2021-08-01,-5.51,4.6,12.84,10.0,4.14
2021-09-01,6.12,-1.04,-6.12,-6.06,-0.53
2021-10-01,-6.04,4.59,3.59,9.68,2.67
2021-11-01,15.35,0.67,2.96,-13.24,1.3
2021-12-01,4.56,-2.14,1.66,-5.08,-0.77
2022-01-01,-2.18,0.73,-2.81,3.57,1.55
2022-02-01,-2.35,-2.73,1.62,3.45,0.76
2022-03-01,-8.63,4.42,-0.5,13.33,3.03
2022-04-01,-13.33,4.62,9.08,22.06,6.13
2022-05-01,3.21,-2.3,-5.41,-1.2,1.39
2022-06-01,-14.75,0.54,-1.38,18.29,1.59
2022-07-01,-5.46,2.59,7.83,9.28,3.14
2022-08-01,22.93,-2.48,-4.73,-17.92,0.65
2022-09-01,-13.48,0.53,-3.72,16.09,0.43
2022-10-01,4.89,6.01,5.96,-3.96,0.43
2022-11-01,3.11,-7.08,-3.78,-5.15,-2.14
2022-12-01,4.02,0.05,1.98,-5.43,-1.09
2023-01-01,4.67,-4.6,-5.66,-6.9,-2.88
2023-02-01,-2.15,6.15,2.51,1.23,-0.68
2023-03-01,2.36,1.29,4.11,-3.66,-1.15
2023-04-01,2.15,-4.94,-3.6,-2.53,-0.46
2023-05-01,11.13,0.96,-1.02,-10.39,-0.7
2023-06-01,-8.8,-0.85,2.42,11.59,0.94
2023-07-01,4.15,4.36,-0.04,-5.19,-0.93
2023-08-01,-8.12,1.17,4.49,9.59,0.47
2023-09-01,5.58,-3.36,-2.9,-3.75,2.1
2023-10-01,0.0,-2.02,-3.15,1.3,1.14
2023-11-01,-10.43,2.9,-1.96,12.82,1.36
2023-12-01,5.41,-2.63,0.82,-4.55,0.89
2024-01-01,5.91,2.89,7.06,-3.57,1.55
2024-02-01,-3.38,-2.21,-3.43,3.7,0.65
2024-03-01,5.17,3.68,2.51,-3.57,0.65
2024-04-01,3.9,-4.84,-4.19,-4.94,-0.22
2024-05-01,-7.51,-0.24,-0.26,10.39,1.08
2024-06-01,0.9,-0.07,-0.76,-1.18,0.43
2024-07-01,5.81,3.62,3.57,-5.95,-1.27
2024-08-01,-2.39,-5.41,-7.33,3.8,1.29
2024-09-01,3.46,3.77,6.35,-3.66,0.42
2024-10-01,-13.39,1.23,3.18,17.72,1.48
2024-11-01,8.7,-6.73,-7.45,-6.45,1.67
2024-12-01,6.37,6.39,5.36,-5.75,0.2
2025-01-01,-7.8,1.56,1.83,9.76,1.43
2025-02-01,-3.02,-3.38,-3.69,3.33,0.6
2025-03-01,2.8,-0.53,2.02,-1.08,1.0
2025-04-01,6.97,0.17,1.0,-7.61,-0.79
2025-05-01,-11.19,2.71,0.1,12.94,0.8
2025-06-01,5.58,-3.67,-1.18,-5.21,-0.4
2025-07-01,-3.47,-2.91,-5.09,2.2,-1.2
2025-08-01,10.49,5.18,8.76,-9.68,-0.81
2025-09-01,1.84,-0.26,-3.49,-3.57,-1.22
2025-10-01,-9.6,-3.02,3.28,11.11,0.62
2025-11-01,15.08,-0.42,2.77,-13.33,-0.82
2025-12-01,-2.67,6.61,0.45,0.0,-1.86
2026-01-01,-19.92,-3.78,-5.2,25.64,0.21
2026-02-01,8.92,-0.94,1.72,-7.14,1.26
2026-03-01,7.4,-5.28,-3.44,-6.59,-0.41
