date,New Single-Family Homes Sold (SAAR) Period Chg,Median Sales Price - New Homes Period Chg,Average Sales Price - New Homes Period Chg,Months Supply of New Houses Period Chg,New Houses For Sale (SAAR) Period Chg
1973-02-01,-5.63,-0.67,,4.62,0.72
1973-03-01,-1.63,5.72,,2.94,-0.48
1973-04-01,-8.83,4.46,,10.0,0.48
1973-05-01,-0.15,-2.44,,-2.6,0.0
1973-06-01,-1.52,3.44,,4.0,0.96
1973-07-01,-7.54,3.32,,11.54,1.9
1973-08-01,-5.82,-2.92,,8.05,0.7
1973-09-01,-0.88,0.0,,1.06,-0.93
1973-10-01,0.71,0.3,,-1.05,-1.17
1973-11-01,-3.19,2.1,,2.13,-1.42
1973-12-01,-5.12,5.0,,5.21,0.24
1974-01-01,0.77,-4.2,,-3.96,-0.96
1974-02-01,3.06,2.05,,-1.03,1.45
1974-03-01,6.12,3.15,,-8.33,-2.38
1974-04-01,-4.9,-0.83,,3.41,-0.73
1974-05-01,8.46,0.0,,-12.09,-1.97
1974-06-01,-9.49,-1.68,,11.25,-1.75
1974-07-01,0.0,4.84,,-1.12,-3.06
1974-08-01,-7.87,-2.99,,5.68,-1.84
1974-09-01,3.86,1.4,,-2.15,-2.95
1974-10-01,-12.33,2.76,,7.69,-1.66
1974-11-01,0.45,0.27,,-1.02,-1.69
1974-12-01,-7.33,0.27,,6.19,-1.14
1975-01-01,-0.24,-0.53,,-3.88,0.29
1975-02-01,1.44,1.88,2.78,5.05,1.15
1975-03-01,13.03,2.37,3.69,-14.42,-3.99
1975-04-01,13.84,1.03,-0.24,-19.1,-2.37
1975-05-01,6.63,0.77,2.86,-5.56,-1.82
1975-06-01,-3.8,-4.05,-1.62,5.88,-0.93
1975-07-01,2.15,1.85,-0.47,-2.78,-0.31
1975-08-01,-0.53,-1.04,-2.6,-2.86,0.0
1975-09-01,-1.77,3.93,5.34,7.35,0.0
1975-10-01,9.53,2.52,1.15,-9.59,1.57
1975-11-01,11.66,0.98,-0.46,-12.12,-2.47
1975-12-01,-1.62,2.43,5.03,0.0,-0.95
1976-01-01,-9.87,-1.19,-1.31,10.34,-0.32
1976-02-01,6.8,2.64,1.32,-7.81,-1.28
1976-03-01,-8.23,2.11,1.96,15.25,3.9
1976-04-01,3.38,-0.69,0.0,-5.88,0.62
1976-05-01,-6.71,0.69,1.5,9.37,2.8
1976-06-01,3.68,5.73,3.58,-1.43,1.21
1976-07-01,12.35,-3.25,-2.44,-7.25,0.9
1976-08-01,-2.41,-0.9,1.04,-3.13,-0.59
1976-09-01,7.41,1.13,-0.62,0.0,1.19
1976-10-01,1.72,1.34,4.56,-6.45,1.18
1976-11-01,3.81,1.1,-0.79,3.45,1.45
1976-12-01,4.35,0.22,1.2,-6.67,1.15
1977-01-01,7.56,-0.87,0.2,-5.36,0.28
1977-02-01,1.7,4.18,3.75,-3.77,0.85
1977-03-01,3.93,-2.53,-1.9,-1.96,0.56
1977-04-01,-8.37,5.41,5.81,10.0,0.84
1977-05-01,1.0,1.23,-0.37,-1.82,0.55
1977-06-01,-0.25,-1.22,-0.92,1.85,1.1
1977-07-01,-6.21,-0.21,-0.56,10.91,1.9
1977-08-01,7.02,0.82,1.31,-4.92,3.2
1977-09-01,4.21,-1.02,-0.74,1.72,0.26
1977-10-01,-2.73,5.98,6.12,3.39,2.06
1977-11-01,1.22,0.78,1.05,-1.64,1.01
1977-12-01,0.72,1.74,-0.35,0.0,0.5
1978-01-01,-4.79,-0.76,1.56,-1.67,0.5
1978-02-01,-0.5,1.72,1.03,6.78,0.0
1978-03-01,2.91,0.0,1.35,-3.17,0.0
1978-04-01,6.14,0.19,-1.0,-4.92,1.24
1978-05-01,-0.81,4.5,5.06,1.72,0.98
1978-06-01,-2.68,1.8,1.44,5.08,1.45
1978-07-01,-5.4,-3.35,-0.47,6.45,0.0
1978-08-01,-4.18,2.37,0.16,0.0,-0.24
1978-09-01,7.41,2.14,2.22,-10.61,-0.48
1978-10-01,7.39,1.75,2.02,-3.39,-2.16
1978-11-01,-8.49,0.69,0.91,14.04,1.72
1978-12-01,0.88,2.04,1.66,-6.15,0.0
1979-01-01,-6.34,0.67,0.45,8.2,-0.72
1979-02-01,-4.11,1.49,1.48,3.03,-0.73
1979-03-01,9.68,-1.31,-0.29,-2.94,3.19
1979-04-01,-5.67,3.64,3.65,3.03,0.0
1979-05-01,-2.81,0.32,1.13,4.41,1.66
1979-06-01,-3.71,2.23,3.48,4.23,-1.87
1979-07-01,2.14,-0.62,-3.23,-4.05,0.0
1979-08-01,1.96,0.31,2.92,-2.82,-0.24
1979-09-01,-0.27,3.12,3.78,7.25,-1.43
1979-10-01,-7.84,-5.61,-6.9,0.0,-1.21
1979-11-01,-10.9,2.57,3.78,12.16,-1.96
1979-12-01,-6.37,-3.76,-2.16,3.61,-0.75
1980-01-01,5.9,2.28,-0.28,-8.14,-1.26
1980-02-01,-8.61,3.18,5.8,8.86,-3.06
1980-03-01,-12.38,-3.54,-6.53,13.95,-1.05
1980-04-01,-21.94,0.8,4.19,18.37,-3.72
1980-05-01,26.76,0.0,-2.41,-20.69,-3.31
1980-06-01,17.7,2.85,3.85,-17.39,-2.0
1980-07-01,15.22,-1.39,1.46,-14.47,-1.75
1980-08-01,3.62,-0.94,-0.91,-7.69,-1.48
1980-09-01,-9.56,7.73,5.39,21.67,1.2
1980-10-01,-5.87,-3.95,-3.25,0.0,0.0
1980-11-01,0.18,1.68,5.55,1.37,0.89
1980-12-01,-5.34,0.45,-0.49,2.7,-0.59
1981-01-01,-3.95,0.9,-0.86,5.26,-0.89
1981-02-01,-0.2,-2.07,-0.87,1.25,0.6
1981-03-01,0.78,0.76,2.0,-4.94,-2.38
1981-04-01,-8.56,3.0,3.8,11.69,0.3
1981-05-01,-0.64,3.06,-1.3,-2.33,-1.22
1981-06-01,-11.13,-2.82,1.32,9.52,-2.46
1981-07-01,3.86,1.02,-2.48,-2.17,-1.58
1981-08-01,-12.3,4.46,5.33,8.89,-1.28
1981-09-01,-10.58,-9.37,-6.55,15.31,-1.3
1981-10-01,5.33,5.78,1.48,-8.85,-3.62
1981-11-01,7.3,2.3,3.39,-11.65,-3.75
1981-12-01,19.63,-3.93,-2.93,-21.98,-2.48
1982-01-01,-19.47,-3.22,-5.8,25.35,0.36
1982-02-01,-0.82,-0.76,3.46,3.37,-1.09
1982-03-01,2.47,2.28,3.72,-5.43,-1.83
1982-04-01,-9.36,4.46,1.55,8.05,-1.49
1982-05-01,13.27,-1.28,1.76,-11.7,-2.27
1982-06-01,-3.65,0.0,-1.85,0.0,-2.33
1982-07-01,1.35,2.31,1.88,-1.2,-1.19
1982-08-01,8.53,-1.13,0.0,-13.41,-0.8
1982-09-01,18.18,-3.28,-7.98,-5.63,0.0
1982-10-01,-0.21,2.8,0.38,-7.46,-0.4
1982-11-01,15.42,5.45,9.89,-12.9,0.41
1982-12-01,-5.96,-2.45,-1.25,7.41,2.43
1983-01-01,11.71,2.51,0.58,-6.9,2.37
1983-02-01,-3.44,0.41,-0.46,3.7,0.77
1983-03-01,6.05,-1.76,-0.69,-3.57,0.38
1983-04-01,7.05,3.03,1.62,-5.56,1.15
1983-05-01,4.08,-0.27,1.37,-3.92,3.02
1983-06-01,-1.96,1.74,2.36,8.16,3.3
1983-07-01,-6.91,-0.79,-1.87,9.43,2.13
1983-08-01,-5.61,2.13,2.35,6.9,2.43
1983-09-01,6.29,5.47,7.12,0.0,1.36
1983-10-01,3.95,-6.3,-8.49,-9.68,0.33
1983-11-01,1.9,0.0,2.12,3.57,2.33
1983-12-01,20.03,0.0,0.33,-18.97,-1.95
1984-01-01,-10.61,0.4,0.55,12.77,0.33
1984-02-01,0.72,3.94,2.39,-3.77,-0.33
1984-03-01,-7.9,-1.01,3.5,19.61,6.64
1984-04-01,-0.31,1.53,-1.54,-1.64,1.87
1984-05-01,-3.76,2.26,5.93,11.67,2.14
1984-06-01,2.44,-1.11,-3.04,-1.49,1.5
1984-07-01,-1.75,0.25,-1.72,1.52,0.29
1984-08-01,-8.4,1.61,-0.21,11.94,1.18
1984-09-01,16.75,-0.85,4.54,-13.33,-0.58
1984-10-01,3.78,-1.48,-5.53,-7.69,0.88
1984-11-01,-13.1,3.0,5.96,20.0,1.45
1984-12-01,0.0,-5.09,-5.03,1.39,0.86
1985-01-01,8.04,5.36,2.08,-8.22,0.57
1985-02-01,5.74,-0.61,-2.14,-2.99,0.85
1985-03-01,-1.61,2.68,4.89,-1.54,-0.56
1985-04-01,-7.6,1.66,3.77,7.81,0.28
1985-05-01,9.35,-6.43,-6.3,-7.25,0.28
1985-06-01,6.49,7.74,1.53,-6.25,-1.12
1985-07-01,6.09,-4.87,-0.2,-6.67,-0.85
1985-08-01,-5.22,1.46,-0.2,3.57,-0.85
1985-09-01,-6.61,1.68,3.43,8.62,0.29
1985-10-01,-3.39,0.83,0.1,1.59,1.15
1985-11-01,11.91,2.11,1.36,-7.81,0.0
1985-12-01,-1.64,0.8,1.92,-1.69,-1.98
1986-01-01,1.66,-1.48,-1.89,-1.72,1.73
1986-02-01,-0.68,3.58,2.4,5.26,-0.28
1986-03-01,20.88,-1.11,1.31,-21.67,-4.27
1986-04-01,-2.61,4.28,2.13,0.0,0.0
1986-05-01,-7.93,-0.43,3.9,10.64,0.3
1986-06-01,-7.73,-0.98,-3.23,9.62,0.89
1986-07-01,-4.12,3.18,5.32,7.02,2.65
1986-08-01,-11.03,-2.76,-3.08,14.75,0.29
1986-09-01,22.87,3.83,0.71,-17.14,1.14
1986-10-01,-12.32,1.47,0.79,12.07,0.85
1986-11-01,5.68,-2.49,-1.13,-6.15,-0.84
1986-12-01,10.89,1.06,4.67,-9.84,0.85
1987-01-01,-9.57,3.68,2.69,9.09,-0.28
1987-02-01,3.24,-3.35,-0.66,3.33,0.28
1987-03-01,-2.6,3.36,-1.48,-3.23,0.28
1987-04-01,3.09,-1.93,-1.17,0.0,0.0
1987-05-01,-11.43,8.7,7.2,11.67,-1.4
1987-06-01,-2.15,3.91,7.27,2.99,1.42
1987-07-01,3.3,-3.67,-5.3,-2.9,0.56
1987-08-01,-0.15,1.71,-0.08,1.49,0.56
1987-09-01,1.37,-0.28,3.89,0.0,0.0
1987-10-01,-2.4,0.0,-5.77,0.0,-0.28
1987-11-01,-3.85,9.86,10.65,2.94,0.55
1987-12-01,-4.8,-4.44,-2.16,8.57,0.83
1988-01-01,-1.68,6.44,6.02,-1.32,0.27
1988-02-01,13.33,-6.81,-4.71,-12.0,-2.72
1988-03-01,0.9,-1.8,-3.2,0.0,4.2
1988-04-01,4.48,1.93,1.35,-3.03,-1.88
1988-05-01,-2.15,-0.9,-1.11,3.12,0.55
1988-06-01,4.82,1.36,2.25,-6.06,-0.54
1988-07-01,-5.3,5.83,3.52,6.45,0.0
1988-08-01,1.33,-6.78,-0.5,0.0,0.0
1988-09-01,2.18,6.0,1.49,-1.52,-0.55
1988-10-01,2.13,-3.17,-3.78,-7.69,-2.2
1988-11-01,-12.53,-2.21,0.0,20.0,3.1
1988-12-01,4.78,9.6,7.57,-5.56,0.55
1989-01-01,9.27,-6.61,-6.16,-8.82,0.27
1989-02-01,-13.49,4.42,4.83,20.97,1.08
1989-03-01,-8.84,4.24,2.55,9.33,0.54
1989-04-01,7.23,-5.12,-2.89,-9.76,0.27
1989-05-01,7.89,1.97,0.28,-4.05,0.27
1989-06-01,-2.13,3.19,5.86,1.41,-0.53
1989-07-01,13.86,-5.54,-8.66,-15.28,-1.6
1989-08-01,-4.65,5.95,13.04,4.92,-1.36
1989-09-01,-8.32,-2.36,-4.73,10.94,0.55
1989-10-01,0.94,2.5,-2.18,-2.82,-0.27
1989-11-01,6.05,1.63,2.44,-4.35,0.0
1989-12-01,-7.89,0.16,1.92,6.06,0.0
1990-01-01,-1.59,-0.16,-1.69,0.0,0.0
1990-02-01,-4.68,1.52,-0.53,8.57,0.0
1990-03-01,-2.88,-5.91,-4.17,2.63,-0.82
1990-04-01,-5.57,8.88,6.09,6.41,0.0
1990-05-01,-1.48,-3.85,-1.83,-1.2,-1.1
1990-06-01,2.06,0.0,-0.13,-3.66,-1.4
1990-07-01,-0.55,-5.04,-0.4,-1.27,-0.85
1990-08-01,-2.58,-0.25,-3.4,5.13,-1.71
1990-09-01,-6.06,-4.56,-1.8,2.44,-1.45
1990-10-01,-6.25,6.19,7.67,3.57,-1.18
1990-11-01,6.02,-0.92,-6.34,-5.75,-2.09
1990-12-01,-5.88,6.81,7.05,3.66,-2.13
1991-01-01,-13.58,-7.17,-3.13,10.59,-1.87
1991-02-01,20.2,1.7,-0.54,-15.96,-0.32
1991-03-01,5.19,2.17,5.82,-7.59,-1.91
1991-04-01,0.2,-1.22,-3.58,0.0,-1.95
1991-05-01,1.77,-4.13,-3.58,-4.11,-1.32
1991-06-01,-0.19,2.59,0.34,0.0,-1.01
1991-07-01,-0.97,0.84,1.58,1.43,-0.34
1991-08-01,2.94,0.67,-4.32,-4.23,-1.02
1991-09-01,-7.41,-0.66,3.88,8.82,0.0
1991-10-01,7.6,2.17,0.07,-9.46,-0.69
1991-11-01,9.73,-3.34,-3.87,-7.46,-0.69
1991-12-01,-2.96,2.95,0.92,0.0,-1.05
1992-01-01,21.15,-1.64,0.84,-16.13,-1.06
1992-02-01,-5.47,-2.33,0.42,-5.77,-4.27
1992-03-01,-13.46,2.39,0.0,24.49,3.72
1992-04-01,-1.27,0.0,0.14,0.0,-1.79
1992-05-01,1.47,-5.83,0.69,-1.64,-0.36
1992-06-01,7.58,10.18,0.41,-6.67,0.0
1992-07-01,5.2,-5.22,-6.07,-5.36,-0.73
1992-08-01,1.44,4.66,5.52,-1.89,-0.74
1992-09-01,2.2,-3.24,-2.13,-3.85,-1.49
1992-10-01,-4.46,4.6,4.36,2.0,-0.38
1992-11-01,-1.13,3.12,-0.81,5.88,-0.76
1992-12-01,5.86,-2.25,-0.68,-7.41,1.15
1993-01-01,-8.31,-6.35,-4.99,8.0,0.38
1993-02-01,1.34,9.66,7.56,-1.85,0.38
1993-03-01,-0.33,-3.4,-1.87,1.89,1.12
1993-04-01,16.45,1.6,1.23,-12.96,0.74
1993-05-01,-10.7,2.28,2.63,12.77,1.1
1993-06-01,4.31,-4.16,-4.33,-1.89,0.0
1993-07-01,0.31,-0.48,-1.58,1.92,1.09
1993-08-01,-1.53,2.18,5.02,3.77,2.88
1993-09-01,12.56,2.21,-0.33,-10.91,0.35
1993-10-01,-3.03,-3.4,-2.13,2.04,1.05
1993-11-01,9.23,4.0,3.81,-4.0,1.03
1993-12-01,5.59,-3.85,-4.0,-6.25,0.0
1994-01-01,-23.77,0.8,4.78,31.11,0.34
1994-02-01,10.82,3.1,-1.76,-15.25,0.34
1994-03-01,8.89,1.85,1.39,-4.0,1.02
1994-04-01,-7.36,-2.49,0.07,8.33,-0.34
1994-05-01,-0.14,0.7,-0.72,1.92,1.68
1994-06-01,-10.13,2.77,4.35,16.98,4.3
1994-07-01,1.13,-6.82,-8.84,1.61,1.27
1994-08-01,4.46,7.15,7.27,-3.17,1.25
1994-09-01,3.2,-2.7,1.48,-1.64,2.48
1994-10-01,5.61,1.77,-2.67,-6.67,-0.3
1994-11-01,-9.65,-1.59,1.57,12.5,0.91
1994-12-01,-2.63,3.93,2.7,4.76,0.9
1995-01-01,-0.48,-5.26,-7.64,3.03,1.49
1995-02-01,-10.7,5.55,8.68,7.35,1.47
1995-03-01,10.2,-3.7,-4.31,-6.85,0.0
1995-04-01,0.81,3.08,2.94,-1.47,0.58
1995-05-01,8.53,-0.07,0.13,-5.97,0.29
1995-06-01,7.57,-0.15,1.39,-7.94,-0.29
1995-07-01,5.52,-2.02,-3.75,-3.45,-1.15
1995-08-01,-8.37,2.98,5.06,8.93,1.74
1995-09-01,-3.28,-3.63,-3.95,3.28,0.86
1995-10-01,2.65,4.0,0.39,0.0,1.7
1995-11-01,-4.6,1.33,2.88,7.94,1.95
1995-12-01,6.78,1.17,3.05,-5.88,1.09
1996-01-01,0.71,-4.83,-6.22,0.0,-0.27
1996-02-01,7.7,5.69,5.41,-17.19,-3.79
1996-03-01,-6.24,-1.72,-0.98,16.98,3.66
1996-04-01,2.08,2.19,4.87,-3.23,0.0
1996-05-01,1.36,-2.5,-3.94,-1.67,-1.9
1996-06-01,-3.35,2.56,1.96,1.69,-1.66
1996-07-01,6.8,3.0,1.14,-5.0,-1.41
1996-08-01,7.27,-4.99,-5.17,-12.28,-2.29
1996-09-01,-6.78,1.46,4.82,4.0,-3.51
1996-10-01,-6.49,3.45,0.6,7.69,-0.61
1996-11-01,7.08,-0.21,2.14,-7.14,0.61
1996-12-01,4.41,0.98,-0.12,-3.85,-2.42
1997-01-01,3.11,0.07,0.06,-6.0,-4.35
1997-02-01,-3.49,-1.38,-0.47,-4.26,-2.27
1997-03-01,3.75,3.5,0.94,-8.89,-4.32
1997-04-01,-10.47,1.35,3.94,14.63,0.69
1997-05-01,2.15,-6.0,-4.9,-2.13,-1.03
1997-06-01,4.34,2.84,5.1,-4.35,0.35
1997-07-01,1.51,0.62,-2.17,0.0,0.35
1997-08-01,1.24,-1.3,-2.74,-2.27,-0.69
1997-09-01,3.07,1.6,3.98,-2.33,-1.05
1997-10-01,-4.76,-3.28,-2.59,2.38,0.0
1997-11-01,8.0,2.47,1.45,-9.3,-1.06
1997-12-01,-8.22,0.62,0.23,12.82,0.0
1998-01-01,9.96,1.44,1.59,-9.09,0.36
1998-02-01,-0.69,5.41,1.68,-2.5,-0.35
1998-03-01,-3.46,-2.12,-1.71,5.13,1.07
1998-04-01,3.59,-3.08,-1.01,-2.44,1.06
1998-05-01,2.42,3.51,3.85,-2.5,0.0
1998-06-01,4.06,-3.39,-4.14,-2.56,-0.35
1998-07-01,-5.09,1.28,2.22,5.26,-0.35
1998-08-01,-3.42,3.34,3.73,2.5,0.35
1998-09-01,2.13,0.06,-2.04,0.0,1.05
1998-10-01,3.36,-0.32,0.05,-2.44,1.38
1998-11-01,11.42,-2.27,-2.3,-12.5,-0.34
1998-12-01,-4.62,0.99,2.63,8.57,0.68
1999-01-01,-7.8,0.39,-0.22,2.63,-3.4
1999-02-01,-3.09,4.51,4.65,2.56,0.35
1999-03-01,1.77,-1.69,-1.1,2.5,1.4
1999-04-01,6.37,1.65,1.53,-4.88,0.35
1999-05-01,-3.27,-3.44,-2.24,2.56,1.72
1999-06-01,3.94,3.17,3.19,-2.5,0.0
1999-07-01,-2.49,-0.69,-2.48,2.56,0.68
1999-08-01,-0.78,-2.15,2.12,0.0,0.34
1999-09-01,-7.5,5.43,0.88,12.5,1.01
1999-10-01,5.57,-1.29,2.77,-6.67,0.66
1999-11-01,-1.03,6.77,5.64,2.38,0.66
1999-12-01,1.16,-4.19,-4.44,0.0,0.98
2000-01-01,0.0,-0.79,-0.89,0.0,0.97
2000-02-01,-1.95,-0.67,-0.55,0.0,-3.86
2000-03-01,5.14,1.66,2.86,0.0,4.68
2000-04-01,-6.56,-1.51,1.17,2.33,-2.56
2000-05-01,1.9,1.29,-3.52,0.0,0.0
2000-06-01,-7.47,-2.79,-1.15,9.09,0.33
2000-07-01,11.85,5.56,2.28,-14.58,-0.98
2000-08-01,-4.4,-1.42,-0.99,7.32,-0.33
2000-09-01,7.55,2.94,4.05,-9.09,-0.66
2000-10-01,2.3,2.8,3.26,0.0,0.33
2000-11-01,-5.68,-0.91,-2.05,5.0,1.33
2000-12-01,11.7,-7.27,-1.23,-14.29,-2.3
2001-01-01,-4.78,5.74,0.43,5.56,-0.67
2001-02-01,2.88,-1.28,0.96,-2.63,0.0
2001-03-01,-2.49,-1.66,-0.38,2.7,-1.35
2001-04-01,-3.19,5.35,-2.24,2.63,0.68
2001-05-01,-2.64,0.06,2.87,2.56,0.34
2001-06-01,-0.34,2.34,0.14,5.0,2.03
2001-07-01,-0.23,-2.45,-1.13,0.0,1.33
2001-08-01,-1.59,-0.74,-0.86,4.76,0.98
2001-09-01,-1.5,-4.2,-2.02,0.0,0.65
2001-10-01,2.11,2.94,1.87,-2.27,-0.65
2001-11-01,6.08,-1.87,-0.1,-4.65,0.0
2001-12-01,5.95,7.2,10.54,-7.32,0.0
2002-01-01,-10.11,3.83,-0.79,10.53,0.65
2002-02-01,7.73,2.14,-0.18,-4.76,0.97
2002-03-01,-2.64,-4.03,0.26,2.5,0.96
2002-04-01,1.41,2.02,0.44,4.88,2.53
2002-05-01,4.49,-3.26,-0.7,-6.98,0.93
2002-06-01,-2.15,5.3,-0.57,5.0,0.31
2002-07-01,-0.1,-7.87,-3.29,0.0,1.52
2002-08-01,6.07,1.88,1.61,-4.76,0.3
