date,"Payrolls - San Francisco Bay Area, 9-county (000s) Period Chg"
1990-02-01,-0.16
1990-03-01,0.03
1990-04-01,0.33
1990-05-01,0.04
1990-06-01,0.2
1990-07-01,0.38
1990-08-01,-0.29
1990-09-01,0.15
1990-10-01,0.27
1990-11-01,-0.15
1990-12-01,0.05
1991-01-01,0.59
1991-02-01,-0.34
1991-03-01,-0.37
1991-04-01,-0.02
1991-05-01,-0.24
1991-06-01,-0.26
1991-07-01,-0.04
1991-08-01,-0.03
1991-09-01,-0.12
1991-10-01,0.08
1991-11-01,-0.27
1991-12-01,-0.21
1992-01-01,-0.32
1992-02-01,-0.49
1992-03-01,0.21
1992-04-01,-0.04
1992-05-01,-0.12
1992-06-01,-0.09
1992-07-01,0.08
1992-08-01,-0.11
1992-09-01,-0.05
1992-10-01,-0.07
1992-11-01,0.0
1992-12-01,-0.31
1993-01-01,0.86
1993-02-01,-0.1
1993-03-01,-0.2
1993-04-01,-0.12
1993-05-01,0.09
1993-06-01,0.05
1993-07-01,-0.07
1993-08-01,-0.08
1993-09-01,0.01
1993-10-01,0.02
1993-11-01,0.0
1993-12-01,0.22
1994-01-01,-0.29
1994-02-01,-0.08
1994-03-01,0.16
1994-04-01,0.04
1994-05-01,0.03
1994-06-01,-0.06
1994-07-01,-0.05
1994-08-01,0.12
1994-09-01,0.15
1994-10-01,0.25
1994-11-01,0.17
1994-12-01,0.33
1995-01-01,0.09
1995-02-01,0.46
1995-03-01,0.12
1995-04-01,0.15
1995-05-01,0.19
1995-06-01,0.41
1995-07-01,0.29
1995-08-01,0.58
1995-09-01,0.35
1995-10-01,-0.1
1995-11-01,0.41
1995-12-01,0.29
1996-01-01,0.7
1996-02-01,0.24
1996-03-01,0.17
1996-04-01,0.1
1996-05-01,0.39
1996-06-01,0.26
1996-07-01,0.38
1996-08-01,0.16
1996-09-01,0.24
1996-10-01,0.33
1996-11-01,0.51
1996-12-01,0.25
1997-01-01,0.33
1997-02-01,0.56
1997-03-01,0.46
1997-04-01,0.52
1997-05-01,0.29
1997-06-01,0.28
1997-07-01,0.18
1997-08-01,0.12
1997-09-01,0.59
1997-10-01,0.25
1997-11-01,0.22
1997-12-01,0.6
1998-01-01,0.13
1998-02-01,0.03
1998-03-01,0.18
1998-04-01,0.34
1998-05-01,0.31
1998-06-01,0.26
1998-07-01,0.21
1998-08-01,0.17
1998-09-01,0.31
1998-10-01,0.08
1998-11-01,0.28
1998-12-01,0.1
1999-01-01,0.22
1999-02-01,0.23
1999-03-01,0.1
1999-04-01,0.07
1999-05-01,0.34
1999-06-01,0.07
1999-07-01,0.43
1999-08-01,0.26
1999-09-01,0.21
1999-10-01,0.36
1999-11-01,0.19
1999-12-01,0.41
2000-01-01,0.46
2000-02-01,0.34
2000-03-01,0.4
2000-04-01,0.47
2000-05-01,0.43
2000-06-01,0.63
2000-07-01,0.52
2000-08-01,0.33
2000-09-01,0.19
2000-10-01,-0.06
2000-11-01,0.43
2000-12-01,0.29
2001-01-01,-0.07
2001-02-01,-0.09
2001-03-01,-0.03
2001-04-01,-0.9
2001-05-01,-0.61
2001-06-01,-0.5
2001-07-01,-0.71
2001-08-01,-0.57
2001-09-01,-0.75
2001-10-01,-0.88
2001-11-01,-0.78
2001-12-01,-0.34
2002-01-01,-0.53
2002-02-01,-0.24
2002-03-01,-0.02
2002-04-01,-0.29
2002-05-01,-0.22
2002-06-01,-0.33
2002-07-01,-0.27
2002-08-01,-0.23
2002-09-01,-0.18
2002-10-01,-0.1
2002-11-01,-0.22
2002-12-01,-0.45
2003-01-01,-0.34
2003-02-01,-0.13
2003-03-01,-0.38
2003-04-01,0.04
2003-05-01,-0.38
2003-06-01,-0.16
2003-07-01,-0.36
2003-08-01,-0.16
2003-09-01,0.02
2003-10-01,-0.13
2003-11-01,0.02
2003-12-01,-0.04
2004-01-01,-0.05
2004-02-01,0.08
2004-03-01,0.07
2004-04-01,0.11
2004-05-01,0.15
2004-06-01,0.05
2004-07-01,-0.02
2004-08-01,0.0
2004-09-01,-0.09
2004-10-01,0.33
2004-11-01,0.07
2004-12-01,0.15
2005-01-01,0.05
2005-02-01,-0.03
2005-03-01,0.04
2005-04-01,0.21
2005-05-01,-0.03
2005-06-01,0.09
2005-07-01,0.27
2005-08-01,0.17
2005-09-01,0.14
2005-10-01,0.13
2005-11-01,0.17
2005-12-01,0.21
2006-01-01,0.26
2006-02-01,0.29
2006-03-01,0.03
2006-04-01,0.05
2006-05-01,0.39
2006-06-01,0.2
2006-07-01,0.01
2006-08-01,0.26
2006-09-01,0.03
2006-10-01,-0.04
2006-11-01,0.09
2006-12-01,-0.01
2007-01-01,0.28
2007-02-01,0.3
2007-03-01,0.32
2007-04-01,-0.41
2007-05-01,0.32
2007-06-01,0.2
2007-07-01,0.33
2007-08-01,-0.09
2007-09-01,0.13
2007-10-01,-0.14
2007-11-01,0.29
2007-12-01,0.07
2008-01-01,0.09
2008-02-01,0.13
2008-03-01,-0.05
2008-04-01,-0.26
2008-05-01,-0.12
2008-06-01,-0.09
2008-07-01,-0.1
2008-08-01,-0.02
2008-09-01,-0.13
2008-10-01,-0.68
2008-11-01,-0.62
2008-12-01,-0.47
2009-01-01,-0.81
2009-02-01,-0.92
2009-03-01,-0.67
2009-04-01,-0.77
2009-05-01,-0.55
2009-06-01,-0.43
2009-07-01,-0.85
2009-08-01,-0.47
2009-09-01,0.07
2009-10-01,0.23
2009-11-01,-0.03
2009-12-01,-0.21
2010-01-01,-0.1
2010-02-01,-0.16
2010-03-01,0.15
2010-04-01,0.3
2010-05-01,0.32
2010-06-01,-0.14
2010-07-01,-0.23
