date,New Single-Family Homes Sold (SAAR) YoY Chg,Median Sales Price - New Homes YoY Chg,Average Sales Price - New Homes YoY Chg,Months Supply of New Houses YoY Chg,New Houses For Sale (SAAR) YoY Chg
2008-07-01,-38.69,-3.61,-1.69,26.51,-21.97
2008-08-01,-37.77,-6.55,-11.88,22.83,-23.26
2008-09-01,-36.88,-6.28,-1.75,18.48,-25.05
2008-10-01,-45.94,-9.01,-11.64,36.47,-25.88
2008-11-01,-39.31,-11.04,-8.43,21.28,-26.24
2008-12-01,-39.1,0.83,-7.49,16.67,-28.97
2009-01-01,-46.41,-10.24,-13.84,31.18,-29.98
2009-02-01,-37.27,-14.51,-14.14,8.25,-31.66
2009-03-01,-36.64,-10.55,-9.67,4.76,-33.83
2009-04-01,-37.13,-11.04,-14.16,3.88,-34.5
2009-05-01,-25.4,-3.05,-7.91,-13.08,-35.48
2009-06-01,-19.3,-8.37,-8.22,-20.56,-35.63
2009-07-01,-13.84,-9.73,-10.2,-24.76,-35.56
2009-08-01,-3.91,-6.29,-2.9,-33.63,-36.19
2009-09-01,-10.85,-3.82,1.11,-28.44,-36.2
2009-10-01,0.76,0.89,-3.72,-36.21,-36.22
2009-11-01,-3.6,-1.26,-5.31,-33.33,-36.12
2009-12-01,-6.63,-3.05,5.78,-28.57,-33.71
2010-01-01,2.68,4.6,15.58,-33.61,-31.67
2010-02-01,-9.68,5.82,9.86,-20.95,-29.14
2010-03-01,12.39,9.61,1.19,-35.45,-27.01
2010-04-01,25.22,-4.97,0.26,-42.06,-27.67
2010-05-01,-25.53,3.69,2.37,0.0,-25.77
2010-06-01,-22.39,2.24,-6.59,-2.35,-24.29
2010-07-01,-31.14,-0.98,-7.01,12.66,-22.59
2010-08-01,-32.54,9.42,4.27,17.33,-21.07
2010-09-01,-17.88,5.26,-6.72,-2.56,-20.24
2010-10-01,-26.52,-5.07,-3.56,10.81,-18.11
2010-11-01,-23.47,0.37,2.55,7.89,-17.72
2010-12-01,-7.39,8.36,4.81,-12.5,-18.8
2011-01-01,-11.01,10.04,-2.72,-9.88,-19.74
2011-02-01,-19.64,-0.81,-7.5,-2.41,-20.78
2011-03-01,-21.26,-1.91,-0.8,1.41,-21.15
2011-04-01,-26.54,7.87,-0.59,8.06,-20.28
2011-05-01,8.93,-3.69,-6.55,-29.03,-22.22
2011-06-01,-1.31,9.43,6.39,-20.48,-21.7
2011-07-01,4.59,8.39,7.22,-24.72,-20.57
2011-08-01,6.03,-3.09,-3.53,-26.14,-21.36
2011-09-01,-4.1,-4.82,-5.69,-17.11,-20.4
2011-10-01,8.59,10.09,1.53,-26.83,-20.6
2011-11-01,14.29,-2.41,-11.25,-30.49,-20.51
2011-12-01,4.6,-9.37,-9.87,-24.29,-20.53
2012-01-01,9.12,-7.66,-3.63,-27.4,-20.32
2012-02-01,35.56,9.0,4.26,-40.74,-19.67
2012-03-01,18.0,8.75,8.74,-31.94,-18.99
2012-04-01,14.19,5.21,7.07,-26.87,-16.76
2012-05-01,21.31,7.75,6.93,-28.79,-14.29
2012-06-01,19.6,-3.16,-0.48,-27.27,-12.65
2012-07-01,24.66,3.26,4.44,-31.34,-14.46
2012-08-01,25.42,15.3,17.82,-29.23,-11.73
2012-09-01,26.64,17.33,16.56,-28.57,-10.0
2012-10-01,13.29,9.96,10.49,-18.33,-6.96
2012-11-01,19.51,14.33,16.28,-19.3,-3.23
2012-12-01,17.01,18.16,13.81,-15.09,-0.66
2013-01-01,33.13,13.44,15.51,-24.53,0.0
2013-02-01,22.13,10.5,14.05,-14.58,3.4
2013-03-01,25.42,7.38,5.85,-14.29,6.9
2013-04-01,24.58,18.15,17.05,-10.2,11.81
2013-05-01,15.68,10.24,11.78,-2.13,13.19
2013-06-01,30.56,11.69,12.62,-14.58,11.03
2013-07-01,1.63,10.45,16.86,19.57,20.42
2013-08-01,1.6,0.83,1.73,19.57,22.38
2013-09-01,4.68,5.97,7.96,20.0,27.08
2013-10-01,24.02,6.92,17.62,0.0,24.49
2013-11-01,13.78,13.1,15.45,8.7,22.67
2013-12-01,8.52,6.66,7.35,15.56,24.0
2014-01-01,-0.67,7.28,9.91,27.5,26.85
2014-02-01,-6.04,1.24,4.29,29.27,23.03
2014-03-01,-8.78,9.63,10.43,33.33,22.58
2014-04-01,-8.62,-1.72,-3.53,29.55,18.01
2014-05-01,5.37,8.3,3.03,13.04,19.02
2014-06-01,-11.06,10.47,10.45,39.02,23.6
2014-07-01,7.2,6.94,4.64,12.73,21.05
2014-08-01,19.69,14.26,14.61,-1.82,18.29
2014-09-01,16.63,-3.08,-0.72,0.0,14.75
2014-10-01,7.21,12.37,12.45,8.16,14.21
2014-11-01,-0.9,7.65,3.96,14.0,14.67
2014-12-01,14.78,9.44,16.19,-1.92,12.9
2015-01-01,16.25,8.23,3.26,-5.88,9.52
2015-02-01,28.57,6.78,6.26,-15.09,8.56
2015-03-01,18.52,1.52,5.37,-8.93,7.37
2015-04-01,24.57,7.29,4.71,-14.04,8.42
2015-05-01,11.31,0.67,3.93,-3.85,8.76
2015-06-01,14.83,-0.66,-3.31,-5.26,8.54
2015-07-01,25.87,4.24,-1.16,-16.13,5.31
2015-08-01,13.6,0.45,-3.62,-7.41,4.83
2015-09-01,-2.98,14.53,11.94,9.26,6.67
2015-10-01,1.26,0.34,-2.28,5.66,8.13
2015-11-01,14.03,4.79,6.96,-3.51,8.53
2015-12-01,9.86,-1.46,-5.55,0.0,10.48
2016-01-01,-1.94,-1.23,3.7,16.67,14.01
2016-02-01,-4.26,6.7,-1.33,22.22,17.73
2016-03-01,10.83,5.79,2.78,7.84,18.63
2016-04-01,14.74,8.08,8.49,2.04,17.48
2016-05-01,13.75,2.68,4.02,2.0,14.22
2016-06-01,16.04,9.15,9.45,-1.85,12.96
2016-07-01,24.11,1.74,3.46,-13.46,9.17
2016-08-01,11.0,2.01,3.44,0.0,10.6
2016-09-01,22.37,5.11,2.49,-11.86,8.48
2016-10-01,19.29,1.61,-4.53,-7.14,10.18
2016-11-01,13.29,0.77,-2.63,-5.45,8.3
2016-12-01,2.75,10.06,8.51,5.88,9.48
2017-01-01,13.47,9.29,-0.97,-3.57,8.9
2017-02-01,13.54,-2.55,8.43,-3.64,9.21
2017-03-01,18.8,6.1,7.08,-9.09,9.5
2017-04-01,3.82,-2.26,-0.95,8.0,10.74
2017-05-01,11.21,9.62,8.21,0.0,12.45
2017-06-01,11.13,1.29,3.58,0.0,12.3
2017-07-01,-8.92,8.57,5.5,28.89,16.39
2017-08-01,-3.3,5.12,3.97,22.0,17.08
2017-09-01,14.16,5.3,3.61,1.92,16.05
2017-10-01,8.87,5.52,11.87,5.77,14.86
2017-11-01,24.52,9.02,6.91,-7.69,15.73
2017-12-01,12.3,4.98,5.33,3.7,15.35
2018-01-01,2.97,4.57,5.62,11.11,14.01
2018-02-01,5.28,9.8,0.84,7.55,13.41
2018-03-01,7.44,4.26,-3.95,4.0,12.08
2018-04-01,7.36,1.06,5.28,3.7,11.94
2018-05-01,4.25,-2.13,-1.53,7.84,11.07
2018-06-01,2.75,-1.49,-0.13,9.43,13.14
2018-07-01,9.79,1.42,5.34,3.45,13.0
2018-08-01,6.65,2.29,3.17,6.56,13.52
2018-09-01,-6.59,-0.97,1.87,24.53,15.25
2018-10-01,-11.5,2.75,0.23,30.91,15.73
2018-11-01,-12.1,-10.16,-5.51,33.33,16.38
2018-12-01,-13.33,-3.96,-5.24,35.71,18.09
2019-01-01,0.85,-7.34,-4.42,16.67,18.09
2019-02-01,4.85,-1.96,2.68,10.53,14.86
2019-03-01,5.74,-7.39,0.95,7.69,13.47
2019-04-01,9.35,7.82,0.08,1.79,11.0
2019-05-01,-6.65,-1.26,1.74,18.18,11.63
2019-06-01,14.62,0.42,-2.22,-6.9,6.77
2019-07-01,3.18,-5.86,-4.79,1.67,4.79
2019-08-01,20.07,1.74,3.1,-15.38,2.19
2019-09-01,19.66,-3.84,-3.7,-18.18,-0.62
2019-10-01,30.32,-1.8,-3.7,-26.39,-3.32
2019-11-01,14.08,6.32,4.71,-15.62,-3.89
2019-12-01,28.21,-0.06,-1.07,-27.63,-7.23
2020-01-01,15.8,7.69,6.34,-18.57,-6.07
2020-02-01,9.1,3.43,0.68,-11.11,-3.53
2020-03-01,-12.81,5.67,0.72,14.29,-1.48
2020-04-01,-17.95,-8.7,-6.88,19.3,-2.7
2020-05-01,14.4,1.02,-3.22,-18.46,-6.85
2020-06-01,23.59,4.39,4.42,-25.93,-9.06
2020-07-01,51.39,3.92,2.95,-42.62,-11.89
2020-08-01,42.7,-1.71,-0.53,-38.18,-12.88
2020-09-01,37.5,5.23,10.53,-35.19,-12.07
2020-10-01,42.8,3.91,3.71,-37.74,-12.19
2020-11-01,23.0,1.71,3.41,-27.78,-10.28
2020-12-01,24.86,2.97,2.41,-25.45,-7.48
2021-01-01,30.33,7.87,7.27,-28.07,-6.46
2021-02-01,10.04,5.91,9.71,-14.29,-5.49
2021-03-01,39.14,4.42,8.71,-32.81,-6.93
2021-04-01,43.75,17.74,19.0,-32.35,-1.85
2021-05-01,2.55,17.98,17.01,3.77,5.43
2021-06-01,-22.86,10.94,11.72,50.0,15.61
2021-07-01,-25.99,20.16,13.65,71.43,25.26
2021-08-01,-32.48,25.3,26.24,94.12,32.75
2021-09-01,-25.64,19.96,12.55,77.14,32.04
2021-10-01,-33.66,24.42,21.58,106.06,37.01
2021-11-01,-10.03,25.78,24.2,51.28,35.42
2021-12-01,-5.61,21.01,29.76,36.59,30.3
2022-01-01,-10.13,16.57,18.43,41.46,29.28
2022-02-01,1.29,14.48,16.99,25.0,27.74
2022-03-01,-17.34,22.59,20.85,58.14,32.04
2022-04-01,-24.64,20.61,25.97,80.43,36.16
2022-05-01,-11.17,15.21,18.54,49.09,33.03
2022-06-01,-21.01,19.55,18.88,61.67,28.16
2022-07-01,-28.51,15.04,23.84,76.67,27.07
2022-08-01,-7.0,7.25,4.56,31.82,22.81
2022-09-01,-24.18,8.96,7.24,62.9,24.0
2022-10-01,-15.35,10.44,9.7,42.65,21.3
2022-11-01,-24.33,1.93,2.51,55.93,17.18
2022-12-01,-24.73,4.21,2.83,55.36,16.8
2023-01-01,-19.45,-1.31,-0.18,39.66,11.7
2023-02-01,-19.29,7.71,0.69,36.67,10.1
2023-03-01,-9.58,4.48,5.35,16.18,5.64
2023-04-01,6.57,-5.07,-6.9,-7.23,-0.92
2023-05-01,14.75,-1.91,-2.57,-15.85,-2.96
2023-06-01,22.77,-3.27,1.18,-20.62,-3.59
2023-07-01,35.26,-1.6,-6.21,-31.13,-7.39
2023-08-01,1.1,2.08,2.87,-8.05,-7.56
2023-09-01,23.37,-1.87,3.75,-23.76,-6.02
2023-10-01,17.62,-9.3,-5.17,-19.59,-5.35
2023-11-01,2.18,0.44,-3.38,-4.35,-1.97
2023-12-01,3.54,-2.24,-4.48,-3.45,0.0
2024-01-01,4.77,5.44,8.4,0.0,4.56
2024-02-01,3.46,-2.86,2.12,2.44,5.96
2024-03-01,6.3,-0.57,0.56,2.53,7.89
2024-04-01,8.12,-0.46,-0.06,0.0,8.16
2024-05-01,-10.01,-1.64,0.71,23.19,10.09
2024-06-01,-0.45,-0.86,-2.42,9.09,9.53
2024-07-01,1.14,-1.56,1.1,8.22,9.15
2024-08-01,7.44,-7.96,-10.33,2.5,10.05
2024-09-01,5.29,-1.17,-1.79,2.6,8.24
2024-10-01,-8.81,2.11,4.63,19.23,8.6
2024-11-01,10.66,-7.45,-1.23,-1.14,8.93
2024-12-01,11.66,1.12,3.23,-2.38,8.19
2025-01-01,-2.79,-0.19,-1.82,11.11,8.06
2025-02-01,-2.43,-1.38,-2.08,10.71,8.01
2025-03-01,-4.62,-5.38,-2.55,13.58,8.39
2025-04-01,-1.81,-0.41,2.74,10.39,7.76
2025-05-01,-5.71,2.53,3.1,12.94,7.46
2025-06-01,-1.34,-1.16,2.66,8.33,6.58
2025-07-01,-10.0,-7.39,-5.92,17.72,6.67
2025-08-01,1.88,2.98,10.41,2.44,4.46
2025-09-01,0.28,-1.02,0.2,2.53,2.75
2025-10-01,4.67,-5.18,0.29,-3.23,1.88
2025-11-01,13.19,1.76,10.81,-12.64,-0.82
2025-12-01,-0.84,-0.9,4.32,-2.44,-3.07
2026-01-01,-11.33,-6.77,-3.61,7.78,-4.03
