date,PPI Final Demand (Headline) YoY Chg,PPI Final Demand Less Food & Energy (Core) YoY Chg,"PPI Final Demand Less Food, Energy & Trade Services YoY Chg",PPI Final Demand Goods YoY Chg,PPI Final Demand Services YoY Chg,PPI Final Demand Finished Consumer Foods YoY Chg,PPI Final Demand Finished Consumer Energy Goods YoY Chg,PPI Processed Goods for Intermediate Demand YoY Chg,PPI Unprocessed Goods for Intermediate Demand YoY Chg,PPI Final Demand - Finished Goods YoY Chg,PPI Final Demand - Less Food & Energy YoY Chg
2005-06-01,,,,,,0.26,13.53,6.26,2.48,3.71,2.23
2005-07-01,,,,,,1.38,14.8,6.58,8.12,4.59,2.82
2005-08-01,,,,,,1.18,19.14,6.09,12.24,5.18,2.62
2005-09-01,,,,,,2.17,27.55,8.56,30.06,6.72,2.55
2005-10-01,,,,,,0.71,26.58,10.71,32.11,6.15,2.02
2005-11-01,,,,,,1.03,16.48,8.38,21.54,4.34,1.75
2005-12-01,,,,,,1.68,23.13,8.46,20.81,5.42,1.49
2006-01-01,,,,,,1.81,25.13,9.36,23.75,5.66,1.35
2006-02-01,,,,,,-1.03,17.01,8.09,14.55,3.93,1.74
2006-03-01,,,,,,-1.28,15.76,7.17,5.34,3.64,1.8
2006-04-01,,,,,,-0.96,18.5,7.73,4.51,4.15,1.6
2006-05-01,,,,,,-1.53,20.68,9.16,9.05,4.35,1.6
2006-06-01,,,,,,0.45,20.32,9.33,7.85,4.87,1.79
2006-07-01,,,,,,1.3,16.37,8.67,3.5,3.87,0.83
2006-08-01,,,,,,2.86,12.81,8.68,3.03,3.71,1.15
2006-09-01,,,,,,2.12,-1.39,4.77,-8.79,0.88,1.34
2006-10-01,,,,,,1.73,-9.74,0.43,-20.73,-1.12,1.08
2006-11-01,,,,,,1.09,-2.72,2.18,-9.77,0.82,1.98
2006-12-01,,,,,,1.52,-2.73,2.81,-3.27,0.94,2.04
2007-01-01,,,,,,2.54,-6.04,1.05,-9.01,0.25,1.71
2007-02-01,,,,,,6.55,0.56,2.29,8.04,2.52,1.84
2007-03-01,,,,,,7.5,2.64,3.22,13.36,3.01,1.58
2007-04-01,,,,,,7.73,2.36,3.25,11.54,2.93,1.58
2007-05-01,,,,,,7.86,4.3,3.22,11.06,3.36,1.57
2007-06-01,,,,,,6.35,3.12,3.15,15.35,2.91,1.7
2007-07-01,,,,,,6.6,5.18,3.81,12.85,3.85,2.53
2007-08-01,,,,,,5.25,0.07,2.16,6.2,2.41,2.27
2007-09-01,,,,,,5.85,11.34,4.07,11.22,4.62,1.95
2007-10-01,,,,,,7.5,17.8,5.95,27.16,6.68,2.78
2007-11-01,,,,,,7.71,24.71,7.88,21.17,7.75,2.19
2007-12-01,,,,,,7.75,18.75,7.41,20.57,6.58,2.13
2008-01-01,,,,,,8.36,23.16,9.2,31.58,7.71,2.43
2008-02-01,,,,,,6.21,21.16,9.38,25.64,6.88,2.42
2008-03-01,,,,,,6.08,20.09,10.74,29.76,6.89,2.61
2008-04-01,,,,,,5.5,17.03,10.75,33.73,6.41,2.98
2008-05-01,,,,,,7.1,20.23,12.61,40.28,7.47,3.04
2008-06-01,,,,,,8.5,26.89,14.61,42.88,9.09,3.03
2008-07-01,,,,,,8.95,28.33,16.76,48.94,9.69,3.27
2008-08-01,,,,,,9.25,27.48,16.46,36.1,9.64,3.57
2008-09-01,,,,,,7.85,23.97,15.52,25.59,9.01,4.07
2008-10-01,,,,,,6.45,5.7,9.67,0.7,5.32,4.67
2008-11-01,,,,,,6.1,-15.45,1.7,-18.39,0.29,4.28
2008-12-01,,,,,,3.48,-20.99,-2.6,-25.0,-1.16,4.53
2009-01-01,,,,,,1.43,-18.98,-3.79,-28.85,-1.44,4.08
2009-02-01,,,,,,0.4,-19.14,-5.48,-35.49,-1.9,3.7
2009-03-01,,,,,,-1.42,-24.68,-8.83,-39.4,-3.59,3.69
2009-04-01,,,,,,-0.11,-23.82,-9.66,-40.47,-3.35,3.32
2009-05-01,,,,,,-2.08,-25.56,-11.36,-41.7,-4.54,2.95
2009-06-01,,,,,,-2.33,-23.83,-12.08,-40.52,-4.25,3.12
2009-07-01,,,,,,-4.14,-29.11,-14.71,-44.63,-6.49,2.39
2009-08-01,,,,,,-4.35,-21.14,-12.27,-34.85,-4.45,2.2
2009-09-01,,,,,,-4.24,-22.3,-11.97,-31.78,-5.04,1.6
2009-10-01,,,,,,-3.14,-9.72,-7.6,-13.43,-2.24,0.59
2009-11-01,,,,,,-2.21,9.71,-1.56,4.27,2.14,1.0
2009-12-01,,,,,,0.45,21.03,3.19,13.64,4.36,0.76
2010-01-01,,,,,,1.47,20.2,4.87,23.57,4.74,1.0
2010-02-01,,,,,,3.48,15.4,5.56,27.72,4.16,0.99
2010-03-01,,,,,,6.79,21.69,7.72,32.48,5.8,0.99
2010-04-01,,,,,,4.54,20.35,8.49,29.68,5.24,0.93
2010-05-01,,,,,,5.63,16.85,8.26,23.1,5.05,1.29
2010-06-01,,,,,,1.94,8.74,6.17,15.14,2.77,1.05
2010-07-01,,,,,,3.97,12.62,6.31,23.27,4.08,1.34
2010-08-01,,,,,,3.51,8.61,5.18,20.05,3.22,1.22
2010-09-01,,,,,,4.49,9.65,5.28,20.45,3.8,1.57
2010-10-01,2.3,,,3.58,1.5,3.7,12.07,6.11,16.1,4.19,1.63
2010-11-01,2.59,,,4.18,1.6,4.07,8.24,5.88,12.44,3.28,1.28
2010-12-01,2.79,,,4.76,1.7,3.63,10.82,6.47,14.44,3.9,1.45
2011-01-01,2.47,,,4.61,1.29,4.0,8.58,6.19,10.99,3.63,1.62
2011-02-01,3.27,,,6.51,1.39,7.01,13.9,7.98,16.63,5.46,1.8
2011-03-01,3.86,2.1,,6.56,2.29,4.26,16.47,8.99,16.83,5.53,1.91
2011-04-01,4.04,2.4,,7.43,2.18,4.94,19.55,9.58,23.6,6.48,2.26
2011-05-01,4.13,2.3,,7.92,1.97,4.08,23.29,10.14,22.74,7.04,2.08
2011-06-01,4.44,2.6,,8.15,2.27,7.37,19.88,10.92,25.96,7.01,2.3
2011-07-01,4.43,2.59,,8.43,2.17,7.19,20.5,11.65,22.89,7.34,2.59
2011-08-01,4.42,2.99,,7.5,2.67,8.44,15.32,10.28,18.59,6.46,2.65
2011-09-01,4.51,2.99,,7.86,2.56,8.21,17.72,10.41,19.89,7.05,2.7
2011-10-01,3.71,2.58,,6.34,2.17,7.35,12.57,8.08,12.63,5.95,2.93
2011-11-01,3.7,2.68,,6.02,2.46,7.28,11.44,7.26,14.39,5.76,3.04
2011-12-01,3.3,2.58,,4.82,2.26,5.87,8.04,5.76,6.57,4.73,3.09
2012-01-01,3.09,2.57,,4.22,2.35,5.4,6.53,4.38,3.96,4.31,3.08
2012-02-01,2.78,2.56,,3.33,2.54,1.65,6.18,3.23,0.82,3.47,3.02
2012-03-01,2.29,2.25,,2.85,2.14,2.27,2.9,2.94,-0.32,2.81,2.89
2012-04-01,2.09,2.25,,1.73,2.13,2.17,-0.36,1.05,-7.91,1.84,2.71
2012-05-01,1.7,2.24,,0.54,2.23,3.13,-5.6,-0.74,-8.18,0.73,2.71
2012-06-01,1.32,1.95,,0.09,1.93,2.96,-5.48,-1.83,-11.35,0.68,2.53
2012-07-01,1.04,1.65,,-0.09,1.74,2.32,-6.23,-2.66,-8.64,0.42,2.64
2012-08-01,1.13,1.16,,1.36,1.06,2.25,-0.26,-0.94,-3.03,1.88,2.63
2012-09-01,1.41,1.26,,1.53,1.34,1.93,0.92,-0.44,-2.11,1.92,2.35
2012-10-01,1.88,1.65,,1.99,1.83,2.5,2.21,0.7,0.12,2.23,2.17
2012-11-01,1.69,1.93,,1.17,2.02,2.63,-1.28,-0.15,-1.87,1.45,2.28
2012-12-01,1.78,2.03,,1.17,2.31,2.54,-1.39,0.25,1.39,1.35,2.06
2013-01-01,1.68,1.73,,1.35,1.82,3.55,-0.46,0.6,0.65,1.55,1.77
2013-02-01,1.59,1.44,,1.61,1.53,2.79,1.58,1.24,0.94,1.91,1.77
2013-03-01,1.4,1.44,,0.8,1.62,3.28,-1.38,-0.88,0.12,1.24,1.71
2013-04-01,0.93,1.34,,0.18,1.42,2.28,-3.14,-0.89,3.21,0.67,1.65
2013-05-01,0.93,0.86,,1.17,0.85,2.73,0.9,-0.15,7.62,1.66,1.65
2013-06-01,1.58,1.34,,1.81,1.42,2.22,3.25,0.81,10.58,2.13,1.59
2013-07-01,1.87,1.72,,1.63,1.9,2.27,3.38,1.26,8.09,1.87,1.26
2013-08-01,1.67,1.82,,0.72,2.19,2.05,0.42,0.4,1.65,1.18,1.15
2013-09-01,1.02,1.62,,-0.35,1.8,1.35,-3.83,-0.64,0.16,0.0,1.2
2013-10-01,1.11,1.72,,-0.35,1.99,1.74,-3.67,-0.94,-0.53,0.1,1.25
2013-11-01,1.2,1.42,,0.36,1.51,0.94,0.0,-0.25,-3.25,0.92,1.2
2013-12-01,1.29,1.33,,0.98,1.32,1.44,1.47,0.15,-2.17,1.54,1.63
2014-01-01,1.29,1.42,,1.06,1.41,0.83,1.81,0.45,-0.44,1.73,1.96
2014-02-01,1.29,1.61,,0.71,1.6,2.17,-0.8,-0.2,4.93,1.32,1.9
2014-03-01,1.65,1.7,,1.51,1.78,2.45,2.91,0.94,5.5,2.19,1.79
2014-04-01,1.93,1.51,,2.68,1.59,5.69,5.15,1.7,6.59,3.28,1.79
2014-05-01,2.21,2.08,,2.05,2.25,4.39,2.78,1.45,4.08,2.5,1.84
2014-06-01,1.74,1.7,,2.05,1.68,4.99,2.99,1.35,3.58,2.7,1.89
2014-07-01,1.92,1.88,1.5,1.96,1.86,5.77,2.37,1.4,0.8,2.81,1.89
2014-08-01,1.83,1.88,1.8,1.69,1.86,5.01,0.68,1.3,-0.53,2.23,2.0
2014-09-01,1.65,1.69,1.7,1.6,1.58,5.47,-0.16,1.1,0.32,2.19,2.05
2014-10-01,1.64,1.87,1.6,0.98,1.86,5.78,-3.24,0.2,-1.85,1.68,2.21
2014-11-01,1.28,1.68,1.49,0.35,1.76,5.38,-5.2,-0.55,-1.3,1.01,2.04
2014-12-01,0.91,1.87,1.29,-1.41,2.13,5.57,-11.98,-2.74,-8.6,-0.76,1.66
2015-01-01,0.0,1.68,0.99,-3.78,2.04,4.17,-20.89,-5.83,-18.8,-3.25,1.71
2015-02-01,-0.63,1.12,0.89,-4.29,1.3,2.17,-20.22,-6.5,-25.32,-3.35,1.86
2015-03-01,-0.81,0.93,0.69,-4.37,0.92,0.29,-18.85,-6.73,-26.33,-3.29,1.97
2015-04-01,-1.08,0.93,0.69,-5.39,1.11,-2.39,-21.06,-7.6,-26.66,-4.36,1.92
2015-05-01,-0.9,0.74,0.79,-4.1,0.83,-0.94,-16.54,-6.65,-23.4,-2.94,1.91
2015-06-01,-0.54,1.02,0.89,-3.66,1.1,-0.94,-15.94,-6.16,-22.2,-2.63,2.23
2015-07-01,-0.72,0.74,0.79,-3.67,0.82,-2.57,-15.19,-6.45,-23.25,-2.73,2.28
2015-08-01,-0.9,0.74,0.59,-4.19,0.82,-1.73,-16.79,-7.14,-23.39,-3.03,2.12
2015-09-01,-1.08,0.74,0.49,-4.99,1.01,-2.01,-20.47,-8.19,-25.43,-3.93,2.11
2015-10-01,-1.53,0.18,0.2,-4.84,0.18,-3.7,-18.52,-7.68,-23.86,-3.9,1.79
2015-11-01,-1.26,0.28,0.29,-4.51,0.36,-3.29,-17.0,-7.34,-26.34,-3.46,1.85
2015-12-01,-1.08,0.28,0.29,-3.85,0.27,-4.21,-13.96,-6.75,-25.14,-2.79,1.9
2016-01-01,-0.09,0.83,0.79,-2.55,1.09,-2.8,-8.68,-5.45,-17.73,-1.29,1.68
2016-02-01,0.09,1.2,0.88,-2.93,1.64,-1.37,-13.47,-5.84,-16.49,-2.12,1.52
2016-03-01,-0.09,1.01,0.98,-2.83,1.37,-2.05,-13.08,-5.48,-14.46,-2.27,1.52
2016-04-01,0.27,1.2,0.98,-1.93,1.37,-1.73,-9.28,-4.35,-12.82,-1.3,1.62
2016-05-01,0.09,1.1,0.88,-2.37,1.28,-2.57,-11.68,-4.38,-12.64,-2.05,1.56
2016-06-01,0.27,1.19,0.88,-2.08,1.45,-2.95,-10.36,-4.05,-10.97,-1.94,1.4
2016-07-01,0.0,0.92,1.08,-2.09,1.09,-1.96,-10.26,-3.58,-7.87,-1.84,1.24
2016-08-01,0.0,0.92,1.07,-1.82,1.0,-3.66,-8.94,-2.97,-6.11,-1.79,1.35
2016-09-01,0.64,1.19,1.27,-0.37,1.27,-2.58,-2.18,-1.24,-4.66,-0.16,1.35
2016-10-01,1.19,1.47,1.57,0.37,1.64,-2.6,1.26,-0.54,-4.34,0.68,1.55
2016-11-01,1.28,1.65,1.66,0.37,1.72,-3.26,0.07,0.0,0.81,0.36,1.6
2016-12-01,1.64,1.56,1.76,1.86,1.63,-1.74,6.41,1.76,12.58,1.93,1.71
2017-01-01,1.73,1.37,1.66,3.18,1.08,-2.35,13.16,4.1,17.25,3.04,1.7
2017-02-01,2.01,1.28,1.75,4.24,0.9,-1.73,18.8,5.65,19.19,4.12,1.7
2017-03-01,2.19,1.55,1.75,4.04,1.26,0.63,13.9,5.35,13.56,3.85,1.85
2017-04-01,2.46,1.82,2.04,4.12,1.62,2.34,12.34,5.49,12.87,4.04,2.0
2017-05-01,2.18,2.09,2.14,2.8,1.98,1.27,6.37,4.52,8.55,2.62,1.9
2017-06-01,1.81,1.81,2.13,2.04,1.7,1.66,3.24,3.78,5.94,1.98,1.74
2017-07-01,1.99,2.0,2.03,2.22,1.88,1.46,3.45,3.5,6.03,2.03,1.79
2017-08-01,2.54,2.18,2.03,3.06,2.24,2.17,7.23,4.1,6.79,2.92,1.79
2017-09-01,2.62,2.08,2.12,3.42,2.06,1.37,10.46,4.46,7.91,3.32,1.63
2017-10-01,2.71,2.44,2.31,3.41,2.42,2.57,6.81,4.78,8.68,3.05,1.99
2017-11-01,2.88,2.35,2.41,4.15,2.32,3.22,11.16,5.31,11.1,4.14,2.14
2017-12-01,2.69,2.25,2.31,3.66,2.14,2.31,9.03,5.12,4.7,3.49,1.98
2018-01-01,2.59,2.25,2.49,3.18,2.31,1.91,6.34,4.69,2.84,2.85,1.93
2018-02-01,2.86,2.52,2.68,3.16,2.67,0.49,7.6,4.81,4.66,2.84,2.03
2018-03-01,2.85,2.69,2.96,3.16,2.76,1.4,6.6,4.76,4.82,2.89,2.02
2018-04-01,2.58,2.32,2.57,2.88,2.39,-1.53,7.53,4.79,3.63,2.37,1.91
2018-05-01,3.02,2.32,2.66,4.17,2.29,0.14,13.22,6.02,7.19,3.93,2.07
2018-06-01,3.29,2.67,2.75,4.35,2.64,-1.3,15.05,6.44,6.4,3.98,2.11
2018-07-01,3.28,2.76,3.03,4.35,2.73,-0.67,14.32,6.65,6.95,4.13,2.36
2018-08-01,3.01,2.58,3.03,3.96,2.46,-0.97,11.82,6.4,3.87,3.65,2.51
2018-09-01,2.82,2.57,3.12,3.49,2.46,-0.97,8.55,5.99,4.43,3.17,2.71
2018-10-01,3.16,2.83,3.11,3.83,2.71,-0.53,10.78,6.06,8.09,3.66,2.55
2018-11-01,2.71,2.82,3.01,2.66,2.7,0.62,1.6,4.58,1.91,1.94,2.54
2018-12-01,2.62,2.91,2.91,1.68,3.05,2.88,-3.82,2.92,3.88,1.29,2.59
2019-01-01,1.92,2.55,2.62,0.44,2.52,1.49,-8.3,1.07,-3.16,0.15,2.84
2019-02-01,1.82,2.54,2.42,0.53,2.43,1.94,-7.81,0.5,-6.97,0.35,2.78
2019-03-01,1.99,2.27,2.23,1.05,2.34,0.52,-2.42,1.06,-3.83,1.13,2.67
2019-04-01,2.34,2.62,2.41,1.57,2.77,1.6,0.88,0.75,-3.14,1.97,2.52
2019-05-01,2.07,2.53,2.41,0.78,2.76,1.3,-1.96,-0.65,-8.04,1.28,2.47
2019-06-01,1.63,2.08,2.12,0.09,2.32,2.63,-5.57,-2.13,-9.79,0.69,2.32
2019-07-01,1.8,2.16,1.93,0.35,2.4,2.28,-4.35,-2.23,-9.35,0.78,2.16
2019-08-01,1.8,2.34,1.93,-0.09,2.74,2.44,-5.69,-2.91,-7.7,0.39,1.91
2019-09-01,1.37,1.99,1.65,-0.43,2.31,2.73,-7.2,-3.44,-8.63,0.05,1.81
2019-10-01,1.11,1.55,1.37,-0.6,1.87,2.95,-7.25,-3.81,-11.25,-0.1,1.66
2019-11-01,1.02,1.2,1.28,0.17,1.36,3.29,-2.69,-2.95,-5.76,1.02,1.56
2019-12-01,1.36,1.29,1.46,1.13,1.35,1.07,4.52,-1.54,-7.47,2.01,1.46
2020-01-01,1.88,1.63,1.55,2.01,1.78,2.04,8.42,-0.76,-3.47,2.72,1.06
2020-02-01,1.19,1.11,1.36,0.7,1.27,1.38,2.18,-2.01,-7.71,1.43,1.21
2020-03-01,0.34,1.11,1.0,-1.73,1.27,0.71,-11.61,-4.05,-15.46,-1.61,1.06
2020-04-01,-1.35,0.34,-0.09,-5.0,0.34,1.19,-28.65,-7.62,-28.59,-5.13,1.25
2020-05-01,-0.93,0.17,-0.18,-3.37,0.17,6.62,-23.58,-7.06,-20.06,-2.96,1.06
2020-06-01,-0.59,0.34,0.0,-2.43,0.25,1.52,-14.7,-5.02,-13.5,-2.14,1.01
2020-07-01,-0.25,0.59,0.18,-2.08,0.59,0.81,-12.86,-3.69,-13.47,-1.89,1.06
2020-08-01,-0.17,0.51,0.36,-1.56,0.42,0.86,-11.39,-2.29,-8.84,-1.46,1.2
2020-09-01,0.42,1.02,0.81,-0.95,0.92,1.19,-9.82,-1.48,-4.2,-1.07,1.2
2020-10-01,0.51,1.27,0.99,-1.12,1.34,1.27,-11.15,-0.91,-2.81,-1.35,1.1
2020-11-01,0.76,1.44,1.08,-0.95,1.59,-1.02,-9.86,-0.2,0.38,-1.45,1.29
2020-12-01,0.84,1.44,1.26,0.0,1.34,-1.53,-6.49,1.42,1.33,-0.91,1.39
2021-01-01,1.68,1.94,1.88,1.29,1.83,-0.37,-2.47,3.35,8.22,0.43,1.68
2021-02-01,2.87,2.62,2.33,3.46,2.68,2.4,4.7,6.92,29.44,2.47,1.67
2021-03-01,4.07,3.04,3.15,6.79,2.84,2.73,21.14,12.45,34.95,5.75,2.05
2021-04-01,6.35,4.5,4.81,10.61,4.44,4.1,43.47,18.61,59.24,9.38,2.33
2021-05-01,6.91,5.34,5.25,10.81,5.11,0.71,37.61,22.26,57.11,8.24,3.0
2021-06-01,7.4,5.76,5.61,11.74,5.52,7.16,30.79,22.99,52.1,9.4,3.72
2021-07-01,7.86,6.37,6.09,11.8,6.06,6.83,29.48,23.04,55.73,9.5,4.19
2021-08-01,8.62,7.12,6.25,12.56,6.79,9.28,30.21,23.05,52.35,10.38,4.54
2021-09-01,8.78,7.04,6.07,13.5,6.66,10.9,34.16,23.75,48.21,11.89,5.17
2021-10-01,8.92,6.98,6.26,14.46,6.17,9.31,39.3,25.6,55.51,12.85,5.72
2021-11-01,10.02,8.1,6.99,15.17,7.47,10.97,41.59,26.6,49.43,13.82,6.0
2021-12-01,10.22,8.65,7.03,13.96,8.33,12.32,32.38,24.61,39.72,13.0,6.52
2022-01-01,10.17,8.62,6.85,13.91,8.25,13.21,29.88,24.88,36.41,13.05,7.09
2022-02-01,10.47,8.91,6.74,14.39,8.39,13.53,30.23,23.28,33.64,13.74,7.79
2022-03-01,11.59,9.68,7.03,15.69,9.43,15.42,33.67,22.06,43.48,15.15,8.09
2022-04-01,11.11,8.99,6.74,16.19,8.33,15.77,33.1,21.91,49.88,15.35,8.63
2022-05-01,10.94,8.62,6.72,16.49,7.96,14.73,39.28,21.54,46.85,16.67,8.91
2022-06-01,11.15,8.32,6.46,17.53,7.68,12.72,47.48,21.87,50.71,18.17,8.92
2022-07-01,9.69,7.61,5.81,14.47,6.93,15.89,30.69,17.09,32.41,15.11,8.79
2022-08-01,8.67,7.22,5.66,12.17,6.54,13.37,21.68,14.35,36.69,12.64,8.84
2022-09-01,8.49,7.19,5.65,11.27,6.71,12.1,18.76,12.82,28.79,11.56,8.44
2022-10-01,8.18,6.93,5.44,10.49,6.69,13.19,16.88,9.99,9.28,11.24,8.17
2022-11-01,7.37,6.27,4.92,9.41,6.01,15.09,11.7,7.59,3.48,10.34,8.02
2022-12-01,6.38,5.7,4.66,7.81,5.32,14.86,5.9,4.86,10.75,8.72,7.66
2023-01-01,5.75,5.02,4.41,7.75,4.5,12.24,9.2,3.95,3.01,8.9,7.44
2023-02-01,4.72,4.67,4.51,5.17,4.21,7.27,3.5,2.07,-10.63,6.1,6.78
2023-03-01,2.7,3.38,3.71,1.94,2.76,5.95,-6.52,-1.0,-16.77,3.06,6.42
2023-04-01,2.29,3.15,3.37,0.7,2.89,4.08,-5.05,-3.39,-20.48,2.55,5.44
2023-05-01,1.15,2.79,2.88,-2.16,2.62,2.1,-14.25,-7.09,-28.5,-0.65,4.91
2023-06-01,0.3,2.52,2.86,-4.22,2.46,2.54,-20.47,-9.33,-32.55,-2.92,4.23
2023-07-01,1.18,2.72,2.88,-2.37,2.94,0.14,-11.79,-7.57,-24.25,-0.88,3.91
2023-08-01,1.9,2.49,2.87,0.32,2.68,0.63,-0.42,-4.45,-26.01,1.97,3.55
2023-09-01,1.81,2.32,2.9,0.74,2.38,-0.28,1.88,-3.76,-21.47,2.29,3.42
2023-10-01,1.11,2.16,2.79,-0.96,2.23,-0.83,-7.12,-4.45,-14.57,-0.25,3.15
2023-11-01,0.83,1.95,2.53,-1.39,1.99,-3.04,-6.95,-4.52,-13.72,-0.79,2.89
2023-12-01,1.05,1.77,2.72,-0.39,1.77,-3.16,-2.15,-2.77,-18.6,0.24,2.66
2024-01-01,0.97,2.0,2.72,-1.57,2.25,-1.68,-7.52,-3.8,-13.62,-0.97,2.33
2024-02-01,1.57,2.1,2.75,0.1,2.37,2.64,-3.84,-2.07,-9.18,0.9,2.35
2024-03-01,1.98,2.27,2.88,0.83,2.64,2.05,0.85,-1.77,-6.14,1.87,2.24
2024-04-01,2.32,2.55,3.21,1.19,2.96,2.07,0.78,-0.59,-4.7,1.89,2.29
2024-05-01,2.57,2.7,3.39,1.65,3.13,2.49,2.35,-0.59,0.2,2.32,2.24
2024-06-01,2.96,3.29,3.37,1.38,3.83,2.96,-0.91,-0.16,1.97,1.71,2.32
2024-07-01,2.43,2.6,3.53,1.73,2.79,3.36,-0.16,0.77,1.4,1.92,2.23
2024-08-01,2.11,2.84,3.5,0.02,3.1,4.46,-7.51,-1.31,-3.98,0.42,2.36
2024-09-01,2.14,3.31,3.39,-1.25,3.75,4.71,-12.77,-2.7,-8.35,-0.88,2.43
2024-10-01,2.84,3.6,3.58,0.21,4.11,4.03,-5.53,-1.32,-4.33,0.9,2.45
2024-11-01,2.89,3.37,3.58,1.03,3.79,6.42,-3.8,-0.59,-2.09,1.87,2.47
2024-12-01,3.44,3.73,3.57,1.76,4.27,6.29,-0.76,0.1,4.78,2.63,2.61
2025-01-01,3.79,3.91,3.52,2.36,4.5,6.65,1.15,0.97,8.64,3.02,2.35
2025-02-01,3.4,3.72,3.56,1.67,4.24,6.6,-2.78,0.29,9.36,2.08,2.32
2025-03-01,3.16,3.78,3.44,0.85,4.25,4.29,-5.83,0.69,6.53,0.86,2.32
2025-04-01,2.4,3.06,2.74,0.47,3.31,3.17,-7.21,0.5,0.28,0.38,2.5
2025-05-01,2.72,3.19,2.67,1.17,3.47,3.7,-4.12,1.82,-1.13,1.28,2.56
2025-06-01,2.43,2.69,2.59,1.74,2.79,3.25,-1.34,1.82,0.58,1.91,2.7
2025-07-01,3.23,3.56,2.89,1.94,3.89,4.57,-2.44,2.11,-0.02,2.03,2.84
2025-08-01,2.69,2.91,2.99,2.19,2.99,3.1,-1.29,2.58,1.45,2.03,2.94
2025-09-01,3.05,2.99,3.02,3.17,3.08,3.39,3.17,3.68,3.44,3.08,2.91
2025-10-01,2.83,2.97,3.45,2.71,2.89,3.74,-0.71,3.1,-0.64,2.48,3.25
2025-11-01,3.15,3.23,3.59,3.03,3.21,1.11,3.14,3.61,1.89,2.74,3.26
2025-12-01,3.09,3.43,3.41,2.47,3.38,0.76,-0.3,3.45,1.02,1.97,3.39
2026-01-01,3.04,3.71,3.49,1.77,3.6,-1.46,-3.46,2.78,-0.18,0.94,3.75
2026-02-01,3.35,3.83,3.53,2.52,3.74,-0.8,-0.94,3.95,5.34,1.62,3.69
2026-03-01,4.28,3.94,3.64,5.35,3.87,0.48,10.75,6.91,9.34,4.46,3.7
2026-04-01,5.7,4.93,4.36,7.42,5.06,2.14,17.86,9.47,15.28,6.39,3.75
2026-05-01,5.83,4.44,5.04,9.68,4.27,2.42,27.48,12.42,20.77,8.54,3.78
2026-06-01,5.54,4.73,5.0,7.76,4.66,1.96,18.91,11.26,10.62,6.56,3.68
2026-07-01,4.66,4.16,4.65,6.35,3.92,-0.73,16.41,9.87,7.26,5.37,3.64
