date,Total Existing Home Sales YoY Chg,Existing Home Sales - Northeast YoY Chg,Existing Home Sales - Midwest YoY Chg,Existing Home Sales - South YoY Chg,Existing Home Sales - West YoY Chg,Median Sales Price - National YoY Chg,Median Sales Price - Northeast YoY Chg,Median Sales Price - Midwest YoY Chg,Median Sales Price - South YoY Chg,Median Sales Price - West YoY Chg,Housing Inventory YoY Chg,Months Supply of Inventory YoY Chg
2021-10-01,-5.34,,,,,12.68,,,,,,
2021-11-01,-0.62,,,,,14.03,,,,,,
2021-12-01,-4.61,,,,,14.68,,,,,,
2022-01-01,-2.58,,,,,15.38,,,,,,
2022-02-01,-3.92,,,,,15.0,,,,,,
2022-03-01,-5.85,,,,,15.02,,,,,,
2022-04-01,-6.9,,,,,14.86,,,,,,
2022-05-01,-9.01,,,,,16.32,,,,,,
2022-06-01,-14.86,,,,,14.66,,,,,,
2022-07-01,-19.6,,,,,12.32,,,,,,
2022-08-01,-20.7,,,,,8.89,,,,,,
2022-09-01,-23.82,,,,,9.2,,,,,,
2022-10-01,-27.7,,,,,7.4,,,,,,
2022-11-01,-34.84,,,,,4.6,,,,,,
2022-12-01,-33.66,,,,,3.36,,,,,,
2023-01-01,-36.7,,,,,3.11,,,,,,
2023-02-01,-24.28,,,,,1.76,,,,,,
2023-03-01,-22.74,,,,,0.0,,,,,,
2023-04-01,-23.69,,,,,-1.38,,,,,,
2023-05-01,-20.93,,,,,-2.72,,,,,,
2023-06-01,-19.41,,,,,-1.42,,,,,,
2023-07-01,-17.01,,,,,0.45,,,,,,
2023-08-01,-15.16,,,,,3.77,,,,,,
2023-09-01,-15.32,,,,,2.4,,,,,,
2023-10-01,-14.25,,,,,3.38,,,,,,
2023-11-01,-6.68,,,,,4.61,,,,,,
2023-12-01,-5.83,,,,,4.07,,,,,,
2024-01-01,-1.72,,,,,4.82,,,,,,
2024-02-01,-3.36,,,,,5.56,,,,,,
2024-03-01,-2.99,,,,,4.69,,,,,,
2024-04-01,-1.9,,,,,5.39,,,,,,
2024-05-01,-2.84,,,,,5.22,,,,,,
2024-06-01,-4.38,,,,,4.1,,,,,,
2024-07-01,-1.73,,,,,3.9,,,,,,
2024-08-01,-2.48,,,,,2.47,,,,,,
2024-09-01,-2.01,,,,,3.57,,,,,,
2024-10-01,4.68,,,,,3.88,,,,,,
2024-11-01,6.65,,,,,4.28,,,,,,
2024-12-01,10.57,,,,,5.85,,,,,,
2025-01-01,2.25,,,,,3.91,,,,,,
2025-02-01,-0.93,,,,,3.39,,,,,,
2025-03-01,-4.74,,,,,2.6,,,,,,
2025-04-01,-3.38,,,,,1.82,,,,,,
2025-05-01,-1.7,,,,,1.56,,,,,,
2025-06-01,0.0,,,,,1.36,,,,,,
2025-07-01,0.75,,,,,1.02,,,,,,
2025-08-01,1.78,,,,,1.98,,,,,,
2025-09-01,3.85,,,,,1.38,,,,,,
2025-10-01,1.99,,,,,1.99,,,,,,
2025-11-01,-1.92,,,,,1.38,,,,,,
2025-12-01,-0.47,,,,,0.35,,,,,,
2026-01-01,-1.71,2.04,-5.1,-1.06,-8.75,0.41,8.53,0.95,-1.43,-4.72,2.44,5.56
2026-02-01,-3.28,-4.08,-2.04,2.13,-2.5,0.3,2.93,2.91,0.17,-2.83,7.32,5.56
2026-03-01,-1.0,-12.24,-3.16,2.2,1.32,1.41,5.66,4.85,0.78,-1.26,2.26,2.5
