date,U-1 Unemployed 15+ Weeks as % of Labor Force YoY Chg,U-2 Job Losers as % of Labor Force YoY Chg,U-4 + Discouraged Workers YoY Chg,U-5 + Other Marginally Attached YoY Chg,Unemployed Less Than 5 Weeks (000s) YoY Chg,Unemployed 5-14 Weeks (000s) YoY Chg,Unemployed 15-26 Weeks (000s) YoY Chg,Total Unemployed (000s) YoY Chg,Average Duration of Unemployment (Weeks) YoY Chg,Civilian Labor Force Level (000s) YoY Chg,Labor Force Participation Rate YoY Chg,Employment-Population Ratio YoY Chg,Average Weekly Hours - All Employees YoY Chg,Average Hourly Earnings - Production Workers YoY Chg,Hires: Total Nonfarm YoY Chg,Total Separations: Total Nonfarm YoY Chg,Quits: Total Nonfarm YoY Chg,Layoffs and Discharges: Total Nonfarm YoY Chg,Job Openings Rate YoY Chg,Total Separations Rate YoY Chg,Layoffs and Discharges Rate YoY Chg,Multiple Jobholders (000s) YoY Chg,Multiple Jobholders as % of Employed YoY Chg,Part-Time for Economic Reasons (000s) YoY Chg,Aggregate Weekly Payrolls Index YoY Chg,Temp Help Services Employment (000s) YoY Chg,Continuing Claims YoY Chg,Continuing Claims - 4 Week Average YoY Chg,Insured Unemployment Rate YoY Chg
1948-12-01,0.0,,,,20.54,37.28,12.57,19.42,-8.99,1.79,0.5,0.2,,,,,,,,,,,,,,,,,
1949-01-01,0.0,,,,27.1,41.03,15.3,27.63,-7.87,1.12,0.1,-0.4,,,,,,,,,,,,,,,,,
1949-02-01,0.1,,,,16.41,31.31,50.62,22.38,-1.19,0.88,0.1,-0.5,,,,,,,,,,,,,,,,,
1949-03-01,0.2,,,,27.52,23.49,63.74,26.3,-4.6,1.67,0.4,-0.1,,,,,,,,,,,,,,,,,
1949-04-01,0.3,,,,13.07,68.73,51.16,36.63,3.53,0.54,-0.2,-1.0,,,,,,,,,,,,,,,,,
1949-05-01,0.5,,,,64.4,85.84,86.36,75.02,0.0,2.15,0.7,-0.8,,,,,,,,,,,,,,,,,
1949-06-01,0.7,,,,34.34,129.95,123.04,70.55,13.64,-0.01,-0.6,-2.0,,,,,,,,,,,,,,,,,
1949-07-01,0.9,,,,47.1,119.28,186.7,85.77,25.58,0.2,-0.4,-2.1,,,,,,,,,,,,,,,,,
1949-08-01,1.0,,,,24.02,149.07,183.33,78.43,25.0,1.29,0.3,-1.5,,,,,,,,,,,,,,,,,
1949-09-01,1.1,,,,32.61,98.42,261.4,75.89,37.65,1.35,0.2,-1.3,,,,,,,,,,,,,,,,,
1949-10-01,1.1,,,,92.73,111.45,236.17,117.62,14.74,2.54,0.9,-1.6,,,,,,,,,,,,,,,,,
1949-11-01,1.2,,,,39.65,82.11,234.76,74.88,48.72,2.15,0.7,-0.9,,,,,,,,,,,,,,,,,
1949-12-01,1.1,,,,22.07,101.15,167.96,67.27,45.68,1.21,0.1,-1.5,,,,,,,,,,,,,,,,,
1950-01-01,1.0,,,,17.88,75.66,160.19,55.08,37.8,1.46,0.2,-1.1,,,,,,,,,,,,,,,,,
1950-02-01,0.9,,,,-0.19,49.94,121.72,38.15,42.17,1.03,-0.1,-1.1,,,,,,,,,,,,,,,,,
1950-03-01,0.8,,,,-7.85,29.66,64.43,27.92,49.4,0.87,-0.1,-0.9,,,,,,,,,,,,,,,,,
1950-04-01,0.7,,,,-10.9,-3.84,38.46,9.66,43.18,1.89,0.4,0.1,,,,,,,,,,,,,,,,,
1950-05-01,0.4,,,,-22.29,-18.93,15.85,-7.36,39.56,1.35,0.1,0.4,,,,,,,,,,,,,,,,,
1950-06-01,0.2,,,,-15.1,-22.42,-2.2,-10.83,31.0,2.41,0.8,1.2,,,,,,,,,,,,,,,,,
1950-07-01,-0.2,,,,-23.81,-32.27,-20.04,-24.11,15.74,1.34,0.2,1.1,,,,,,,,,,,,,,,,,
1950-08-01,-0.5,,,,-33.24,-35.26,-42.04,-33.25,10.91,1.63,0.3,1.7,,,,,,,,,,,,,,,,,
1950-09-01,-0.6,,,,-22.96,-41.04,-43.37,-31.49,4.27,1.16,0.1,1.3,,,,,,,,,,,,,,,,,
1950-10-01,-0.7,,,,-45.88,-45.7,-57.91,-46.6,12.84,0.39,-0.2,2.0,,,,,,,,,,,,,,,,,
1950-11-01,-0.9,,,,-22.5,-39.21,-60.54,-35.21,-7.76,0.45,-0.1,1.3,,,,,,,,,,,,,,,,,
1950-12-01,-0.8,,,,-16.53,-48.21,-51.99,-35.05,-9.32,0.26,0.0,1.4,,,,,,,,,,,,,,,,,
1951-01-01,-0.8,,,,-37.36,-45.3,-52.82,-42.75,-6.19,0.45,0.2,1.8,,,,,,,,,,,,,,,,,
1951-02-01,-0.9,,,,-30.81,-54.39,-65.25,-46.21,-8.47,0.15,0.2,1.9,,,,,,,,,,,,,,,,,
1951-03-01,-0.9,,,,-19.16,-58.01,-58.78,-45.18,-18.55,1.5,1.0,2.6,,,,,,,,,,,,,,,,,
1951-04-01,-1.0,,,,-21.2,-55.33,-65.78,-46.32,-15.87,-0.56,-0.1,1.5,,,,,,,,,,,,,,,,,
1951-05-01,-1.0,,,,-23.16,-51.53,-70.74,-45.95,-22.05,-0.06,0.3,1.8,,,,,,,,,,,,,,,,,
1951-06-01,-1.0,,,,-23.37,-39.82,-67.87,-40.75,-33.59,-1.29,-0.4,0.9,,,,,,,,,,,,,,,,,
1951-07-01,-0.8,,,,-16.16,-49.74,-69.14,-37.5,-26.4,-0.02,0.3,1.5,,,,,,,,,,,,,,,,,
1951-08-01,-0.6,,,,-5.36,-45.23,-60.6,-30.94,-25.41,-1.07,-0.3,0.6,,,,,,,,,,,,,,,,,
1951-09-01,-0.6,,,,1.73,-38.18,-70.0,-25.49,-25.41,-0.91,-0.1,0.5,,,,,,,,,,,,,,,,,
1951-10-01,-0.5,,,,1.35,-16.62,-36.09,-16.42,-27.64,-0.36,0.0,0.4,,,,,,,,,,,,,,,,,
1951-11-01,-0.3,,,,-8.94,-16.56,-34.82,-15.87,-9.35,-0.44,-0.1,0.2,,,,,,,,,,,,,,,,,
1951-12-01,-0.4,,,,-22.0,-21.52,-37.36,-25.73,-13.08,0.63,0.4,1.0,,,,,,,,,,,,,,,,,
1952-01-01,-0.2,,,,-4.39,-20.09,-31.27,-14.45,-12.26,0.79,0.4,0.8,,,,,,,,,,,,,,,,,
1952-02-01,-0.2,,,,6.68,-11.02,-14.89,-7.56,-18.52,1.04,0.4,0.7,,,,,,,,,,,,,,,,,
1952-03-01,-0.2,,,,-5.35,-14.52,-27.23,-14.68,-16.83,-1.29,-0.9,-0.6,,,,,,,,,,,,,,,,,
1952-04-01,-0.1,,,,-1.98,-4.57,-19.48,-5.63,-15.09,-0.14,-0.3,-0.2,,,,,,,,,,,,,,,,,
1952-05-01,0.0,,,,4.8,4.29,-2.16,0.38,-21.21,0.02,-0.3,-0.3,,,,,,,,,,,,,,,,,
1952-06-01,-0.1,,,,6.31,-26.52,-0.7,-5.56,-16.09,0.79,0.1,0.2,,,,,,,,,,,,,,,,,
1952-07-01,-0.1,,,,0.34,19.38,-4.51,2.1,-18.48,-0.23,-0.5,-0.6,,,,,,,,,,,,,,,,,
1952-08-01,-0.1,,,,7.26,11.88,12.88,7.97,-16.48,-0.08,-0.5,-0.6,,,,,,,,,,,,,,,,,
1952-09-01,0.0,,,,-12.67,-1.46,76.19,-6.34,-10.99,1.1,0.1,0.3,,,,,,,,,,,,,,,,,
1952-10-01,0.0,,,,-17.9,-12.6,-16.47,-16.18,2.25,-0.37,-0.7,-0.4,,,,,,,,,,,,,,,,,
1952-11-01,-0.2,,,,-17.52,-21.75,-7.45,-19.97,-2.06,0.77,-0.1,0.4,,,,,,,,,,,,,,,,,
1952-12-01,0.0,,,,-8.26,-28.65,-19.28,-14.95,-5.38,0.26,-0.4,-0.1,,,,,,,,,,,,,,,,,
1953-01-01,-0.1,,,,-0.66,-14.57,1.69,-6.74,0.0,1.61,0.0,0.1,,,,,,,,,,,,,,,,,
1953-02-01,-0.1,,,,-9.57,-24.4,-20.62,-16.4,-4.55,1.76,0.0,0.3,,,,,,,,,,,,,,,,,
1953-03-01,-0.1,,,,-10.52,-6.71,-12.24,-9.16,1.19,3.14,0.7,1.0,,,,,,,,,,,,,,,,,
1953-04-01,-0.1,,,,-0.53,1.25,-11.29,-4.86,-13.33,2.34,0.3,0.4,,,,,,,,,,,,,,,,,
1953-05-01,-0.1,,,,-17.47,-3.33,-5.88,-14.33,1.28,0.9,-0.5,-0.2,,,,,,,,,,,,,,,,,
1953-06-01,0.0,,,,-17.64,-15.77,-15.49,-14.7,12.33,1.55,-0.2,0.1,,,,,,,,,,,,,,,,,
1953-07-01,0.0,,,,-15.59,-20.94,-24.41,-16.62,5.33,1.77,0.0,0.4,,,,,,,,,,,,,,,,,
1953-08-01,0.0,,,,-15.28,-32.53,-25.5,-20.22,5.26,1.52,-0.1,0.3,,,,,,,,,,,,,,,,,
1953-09-01,-0.1,,,,2.92,-17.56,-40.54,-5.94,-12.35,0.43,-0.7,-0.6,,,,,,,,,,,,,,,,,
1953-10-01,-0.1,,,,18.29,-9.31,-12.68,7.34,-20.88,1.45,-0.2,-0.2,,,,,,,,,,,,,,,,,
1953-11-01,0.1,,,,28.52,19.88,9.4,26.85,-16.84,0.73,-0.5,-1.0,,,,,,,,,,,,,,,,,
1953-12-01,0.1,,,,68.68,85.22,47.01,69.05,-9.09,0.28,-0.9,-1.9,,,,,,,,,,,,,,,,,
1954-01-01,0.2,,,,54.01,105.12,24.86,67.32,-6.45,-0.53,-0.9,-2.1,,,,,,,,,,,,,,,,,
1954-02-01,0.5,,,,59.74,164.06,199.21,103.61,13.1,0.75,-0.2,-1.8,,,,,,,,,,,,,,,,,
1954-03-01,0.9,,,,68.03,143.37,313.18,119.0,24.71,0.21,-0.5,-2.4,,,,,,,,,,,,,,,,,
1954-04-01,0.9,,,,52.52,143.42,350.91,117.59,39.74,1.21,0.1,-1.8,,,,,,,,,,,,,,,,,
1954-05-01,1.1,,,,68.86,146.56,339.06,136.03,46.84,1.69,0.3,-1.7,,,,,,,,,,,,,,,,,
1954-06-01,1.1,,,,59.7,181.03,369.17,120.97,50.0,0.44,-0.4,-2.2,,,,,,,,,,,,,,,,,
1954-07-01,1.2,,,,61.98,130.24,528.12,120.42,58.23,0.39,-0.5,-2.4,,,,,,,,,,,,,,,,,
1954-08-01,1.3,,,,47.49,212.94,424.32,131.47,60.0,1.42,0.1,-1.9,,,,,,,,,,,,,,,,,
1954-09-01,1.3,,,,41.01,216.59,431.82,115.65,81.69,2.36,0.7,-1.3,,,,,,,,,,,,,,,,,
1954-10-01,1.3,,,,23.59,128.57,347.58,85.71,84.72,1.7,0.3,-1.2,,,,,,,,,,,,,,,,,
1954-11-01,1.1,,,,11.48,80.88,234.97,53.87,67.09,1.29,0.0,-1.0,,,,,,,,,,,,,,,,,
1954-12-01,0.8,,,,-19.7,34.84,120.3,13.41,67.5,0.82,-0.2,-0.5,,,,,,,,,,,,,,,,,
1955-01-01,0.8,,,,-14.29,-8.63,103.98,2.6,54.02,1.28,0.0,0.0,,,,,,,,,,,,,,,,,
1955-02-01,0.5,,,,-24.03,-20.65,1.84,-10.87,49.47,-0.47,-0.9,-0.5,,,,,,,,,,,,,,,,,
1955-03-01,0.1,,,,-31.52,-19.39,-18.95,-19.1,26.42,0.14,-0.6,0.1,,,,,,,,,,,,,,,,,
1955-04-01,0.1,,,,-24.58,-28.32,-17.14,-18.67,31.19,0.99,-0.2,0.5,,,,,,,,,,,,,,,,,
1955-05-01,-0.3,,,,-21.18,-44.33,-32.38,-27.08,24.14,1.11,-0.1,0.9,,,,,,,,,,,,,,,,,
1955-06-01,-0.4,,,,-17.04,-31.55,-40.85,-23.94,8.94,1.8,0.3,1.1,,,,,,,,,,,,,,,,,
1955-07-01,-0.5,,,,-21.01,-34.9,-43.12,-28.07,10.4,2.91,0.9,1.9,,,,,,,,,,,,,,,,,
1955-08-01,-0.8,,,,-8.95,-36.42,-55.33,-27.76,-3.91,2.94,1.0,1.9,,,,,,,,,,,,,,,,,
1955-09-01,-0.7,,,,-17.26,-42.85,-47.35,-31.81,-9.3,2.21,0.5,1.7,,,,,,,,,,,,,,,,,
1955-10-01,-0.7,,,,-6.91,-25.62,-40.9,-22.8,-13.53,2.95,1.0,1.7,,,,,,,,,,,,,,,,,
1955-11-01,-0.6,,,,-4.87,-21.33,-47.07,-18.28,-14.39,3.57,1.3,1.9,,,,,,,,,,,,,,,,,
1955-12-01,-0.4,,,,-5.37,-17.16,-32.03,-13.61,-10.45,4.95,2.1,2.5,,,,,,,,,,,,,,,,,
1956-01-01,-0.6,,,,-4.43,-18.66,-32.75,-15.55,-12.69,3.93,1.6,2.1,,,,,,,,,,,,,,,,,
1956-02-01,-0.5,,,,-0.54,-9.68,-30.49,-12.23,-11.97,3.81,1.5,1.8,,,,,,,,,,,,,,,,,
1956-03-01,-0.5,,,,26.86,-9.62,-35.19,-5.28,-13.43,3.59,1.3,1.5,,,,,,,,,,,,,,,,,
1956-04-01,-0.6,,,,4.0,-2.83,-34.06,-13.09,-23.08,2.63,0.9,1.3,,,,,,,,,,,,-0.58,,,,,
1956-05-01,-0.3,,,,14.52,35.4,-19.74,4.15,-27.78,3.64,1.4,1.3,,,,,,,,,,,,6.35,,,,,
1956-06-01,-0.2,,,,15.33,23.82,-0.9,6.7,-24.63,3.44,1.3,1.2,,,,,,,,,,,,17.61,,,,,
1956-07-01,-0.2,,,,14.59,33.43,-7.58,12.16,-23.91,2.47,0.8,0.6,,,,,,,,,,,,7.72,,,,,
1956-08-01,0.0,,,,-4.78,0.26,18.46,-2.98,-2.44,1.67,0.3,0.5,,,,,,,,,,,,6.81,,,,,
1956-09-01,0.0,,,,-0.07,-10.04,8.77,-1.61,0.85,1.65,0.3,0.4,,,,,,,,,,,,12.47,,,,,
1956-10-01,-0.1,,,,-7.7,-12.19,-13.72,-9.15,0.87,1.1,0.0,0.3,,,,,,,,,,,,15.48,,,,,
1956-11-01,0.0,,,,6.85,-10.7,16.96,2.91,-3.54,0.94,-0.1,-0.1,,,,,,,,,,,,9.78,,,,,
1956-12-01,0.0,,,,8.07,-5.95,4.41,1.05,-5.0,0.38,-0.4,-0.4,,,,,,,,,,,,7.31,,,,,
1957-01-01,0.0,,,,2.77,19.86,6.77,4.88,-11.11,0.01,-0.7,-0.8,,,,,,,,,,,,6.24,,,,,
1957-02-01,0.0,,,,0.31,2.45,13.38,0.61,-14.4,1.14,0.0,0.0,,,,,,,,,,,,16.24,,,,,
1957-03-01,0.0,,,,-17.38,-0.51,5.71,-9.23,-6.9,1.12,0.0,0.3,,,,,,,,,,,,22.98,,,,,
1957-04-01,0.1,,,,-1.33,-10.44,4.43,-1.89,-3.64,0.58,-0.4,-0.3,,,,,,,,,,,,11.31,,,,,
1957-05-01,0.0,,,,-4.05,-15.47,-1.97,-5.28,0.0,-0.04,-0.7,-0.5,,,,,,,,,,,,8.34,,,,,
1957-06-01,0.0,,,,-7.51,4.24,-19.39,-0.9,0.99,0.52,-0.3,-0.3,,,,,,,,,,,,6.22,,,,,
1957-07-01,0.0,,,,-7.01,-3.86,-11.36,-5.28,-3.81,0.87,-0.1,0.0,,,,,,,,,,,,7.08,,,,,
1957-08-01,0.0,,,,1.38,3.05,0.65,1.7,-12.5,0.05,-0.7,-0.7,,,,,,,,,,,,3.7,,,,,
1957-09-01,-0.1,,,,9.44,27.41,0.9,11.69,-16.95,0.52,-0.4,-0.6,,,,,,,,,,,,3.54,,,,,
1957-10-01,0.2,,,,6.07,34.77,26.15,17.46,-4.31,0.78,-0.3,-0.7,,,,,,,,,,,,9.27,,,,,
1957-11-01,0.1,,,,7.9,48.2,17.46,20.73,-4.59,0.7,-0.3,-0.9,,,,,,,,,,,,9.49,,,,,
1957-12-01,0.2,,,,9.61,50.63,52.92,24.59,-8.77,1.05,-0.2,-0.7,,,,,,,,,,,,17.61,,,,,
1958-01-01,0.5,,,,23.89,49.12,75.53,38.59,0.96,1.0,-0.2,-1.1,,,,,,,,,,,,44.15,,,,,
1958-02-01,0.7,,,,45.63,80.2,115.41,64.11,2.8,0.48,-0.6,-2.0,,,,,,,,,,,,41.67,,,,,
1958-03-01,0.9,,,,55.76,88.92,162.16,79.04,3.7,0.46,-0.5,-2.3,,,,,,,,,,,,63.12,,,,,
1958-04-01,1.3,,,,40.9,115.18,209.54,92.92,14.15,1.5,0.1,-2.0,,,,,,,,,,,,63.95,,,,,
1958-05-01,1.4,,,,30.36,104.9,208.36,85.28,25.96,1.8,0.3,-1.7,,,,,,,,,,,,51.54,,,,,
1958-06-01,1.7,,,,26.08,52.38,264.66,73.11,41.18,0.93,-0.3,-2.0,,,,,,,,,,,,34.89,,,,,
1958-07-01,1.8,,,,33.09,64.52,240.93,81.65,44.55,0.72,-0.4,-2.3,,,,,,,,,,,,20.66,,,,,
1958-08-01,2.0,,,,26.16,73.7,198.71,82.93,49.52,2.0,0.5,-1.5,,,,,,,,,,,,30.25,,,,,
1958-09-01,1.8,,,,9.57,60.86,130.18,63.81,68.37,1.4,0.1,-1.6,,,,,,,,,,,,27.46,,,,,
1958-10-01,1.5,,,,17.44,23.9,117.93,51.32,48.65,1.46,0.1,-1.2,,,,,,,,,,,,12.42,,,,,
1958-11-01,1.3,,,,-4.19,1.53,87.66,21.25,57.69,0.8,-0.3,-0.9,,,,,,,,,,,,6.13,,,,,
1958-12-01,1.1,,,,6.75,-4.62,40.76,20.57,50.96,0.51,-0.4,-1.1,,,,,,,,,,,,4.17,,,,,
1959-01-01,0.8,,,,-7.47,-8.53,2.24,4.98,55.24,1.25,0.0,-0.2,,,,,,,,,,,,-16.47,,,,,
1959-02-01,0.4,,,,-17.47,-18.54,-17.05,-7.85,40.91,0.67,-0.3,0.0,,,,,,,,,,,,-26.83,,,,,
1959-03-01,0.1,,,,-24.52,-26.3,-31.7,-15.38,36.61,1.26,0.0,0.7,,,,,,,,,,,,-28.35,,,,,
1959-04-01,-0.6,,,,-20.57,-41.18,-53.42,-28.81,23.14,1.02,-0.2,1.1,,,,,,,,,,,,-30.75,,,,,
1959-05-01,-0.8,,,,-20.27,-36.79,-57.7,-30.71,12.21,0.42,-0.6,0.8,,,,,,,,,,,,-34.68,,,,,
1959-06-01,-1.1,,,,-13.28,-37.3,-57.22,-30.64,3.47,0.89,-0.3,1.1,,,,,,,,,,,,-23.86,,,,,
1959-07-01,-1.3,,,,-12.49,-26.94,-58.87,-30.54,-2.05,1.05,-0.2,1.1,,,,,,,,,,,,-9.71,,,,,
1959-08-01,-1.5,,,,-8.69,-20.9,-56.05,-28.6,-12.74,0.58,-0.6,0.7,,,,,,,,,,,,-18.22,,,,,
1959-09-01,-1.3,,,,-1.48,-14.31,-42.29,-21.7,-16.97,0.8,-0.4,0.6,,,,,,,,,,,,-20.81,,,,,
1959-10-01,-1.2,,,,6.51,4.28,-43.96,-14.44,-21.82,1.14,-0.2,0.5,,,,,,,,,,,,-8.05,,,,,
1959-11-01,-0.9,,,,13.98,6.64,-32.21,-4.42,-20.12,1.29,-0.1,0.2,,,,,,,,,,,,-0.21,,,,,
1959-12-01,-0.9,,,,-2.07,-1.15,-31.67,-12.84,-16.56,1.85,0.3,0.8,,,,,,,,,,,,-3.22,,,,,
1960-01-01,-0.8,,,,4.07,-10.61,-24.24,-11.14,-17.18,1.51,-0.2,0.3,,,,,,,,,,,,-8.8,,,,,
1960-02-01,-0.7,,,,-7.92,-11.17,-24.4,-16.04,-15.48,1.92,0.1,0.7,,,,,,,,,,,,1.99,,,,,
1960-03-01,-0.4,,,,14.19,2.47,-2.08,-1.97,-15.03,0.49,-0.8,-0.6,,,,,,,,,,,,-15.5,,,,,
1960-04-01,-0.2,,,,16.13,7.28,13.97,1.37,-15.44,1.81,0.1,0.1,,,,,,,,,,,,6.83,,,,,
1960-05-01,-0.3,,,,16.16,6.87,4.62,2.59,-19.05,2.12,0.3,0.2,,,,,,,,,,,,16.15,,,,,
1960-06-01,-0.2,,,,14.19,22.74,10.36,9.83,-20.13,2.43,0.5,0.2,,,,,,,,,,,,14.2,,,,,
1960-07-01,0.0,,,,7.42,13.09,32.23,8.73,-11.89,1.76,0.1,-0.1,,,,,,,,,,,,6.07,,,,,
1960-08-01,0.0,,,,8.65,15.63,27.03,9.98,-10.95,2.06,0.3,0.0,,,,,,,,,,,,12.85,,,,,
1960-09-01,0.1,,,,4.68,-4.86,14.92,2.89,-5.84,2.34,0.4,0.4,,,,,,,,,,,,22.5,,,,,
1960-10-01,0.4,,,,0.91,-0.77,42.89,8.75,4.65,1.54,0.0,-0.3,,,,,,,,,,,,12.42,,,,,
1960-11-01,0.3,,,,-1.55,13.44,33.27,8.17,6.11,2.78,0.7,0.4,,,,,,,,,,,,11.43,,,,,
1960-12-01,0.3,,,,26.86,30.84,29.8,26.39,-5.34,2.03,0.2,-0.6,,,,,,,,,,,,20.89,,,,,
1961-01-01,0.6,,,,15.02,41.34,52.89,29.21,1.48,2.15,0.5,-0.3,,,,,,,,,,,,36.74,,,,,
1961-02-01,0.8,,,,42.35,36.07,82.28,45.15,3.82,2.13,0.5,-0.7,,,,,,,,,,,,38.83,,,,,
1961-03-01,0.7,,,,11.82,31.79,48.17,30.25,8.46,3.37,1.2,0.2,,,,,,,,,,,,38.25,,,,,
1961-04-01,1.0,,,,-0.35,42.42,71.18,35.17,23.02,0.99,-0.2,-1.2,,,,,,,,,,,,19.0,,,,,
1961-05-01,1.3,,,,1.75,33.33,102.7,40.18,31.09,1.19,-0.1,-1.2,,,,,,,,,,,,19.61,,,,,
1961-06-01,1.1,,,,5.93,20.05,57.86,29.71,36.13,1.35,0.0,-0.9,,,,,,,,,,,,8.51,,,,,
1961-07-01,1.3,,,,4.68,14.53,61.04,28.47,37.3,1.13,-0.2,-1.0,,,,,,,,,,,,7.24,,,,,
1961-08-01,1.0,,,,-2.58,7.77,44.87,18.65,39.34,0.99,-0.2,-0.8,,,,,,,,,,,,7.47,,,,,
1961-09-01,0.8,,,,10.85,6.92,32.95,20.39,24.81,0.09,-0.7,-1.4,,,,,,,,,,,,-3.09,,,,,
1961-10-01,0.4,,,,2.55,0.47,5.78,7.55,17.78,0.87,-0.3,-0.5,,,,,,,,,,,,-5.08,,,,,
1961-11-01,0.3,,,,-4.66,-7.17,-7.58,-0.81,22.3,-0.09,-0.7,-0.6,,,,,,,,,,,,-7.82,,,,,
1961-12-01,0.3,,,,-17.51,-19.96,5.95,-9.53,27.42,-0.45,-0.9,-0.4,,,,,,,,,,,,-19.97,,,,,
1962-01-01,-0.1,,,,-9.71,-21.39,-18.46,-12.63,11.68,-0.37,-0.8,-0.3,,,,,,,,,,,,-30.22,,,,,
1962-02-01,-0.2,,,,-26.17,-20.54,-25.3,-19.89,17.65,-0.02,-0.6,0.2,,,,,,,,,,,,-26.12,,,,,
1962-03-01,-0.4,,,,-7.62,-28.93,-31.99,-19.2,6.38,-0.41,-0.8,0.1,,,,,,,,,,,,-16.3,,,,,
1962-04-01,-0.7,,,,-5.78,-22.56,-37.31,-20.17,-3.87,0.02,-0.6,0.2,,,,,,,,,,,,-21.21,,,,,
1962-05-01,-0.8,,,,-11.73,-21.02,-38.69,-22.79,-0.64,0.14,-0.5,0.5,,,,,,,,,,,,-15.69,,,,,
1962-06-01,-0.8,,,,-13.2,-22.41,-30.01,-21.31,-6.79,-0.51,-0.9,0.0,,,,,,,,,,,,-14.85,,,,,
1962-07-01,-1.1,,,,-11.01,-15.78,-42.31,-22.5,-15.61,-0.33,-0.8,0.1,,,,,,,,,,,,-9.09,,,,,
1962-08-01,-0.8,,,,1.76,-10.74,-35.25,-14.29,-14.71,0.63,-0.3,0.4,,,,,,,,,,,,-16.69,,,,,
1962-09-01,-0.7,,,,-5.92,-8.1,-17.35,-15.29,-12.42,1.33,0.0,0.7,,,,,,,,,,,,-10.11,,,,,
1962-10-01,-0.7,,,,-9.66,-11.18,-21.7,-16.84,-11.32,0.6,-0.4,0.2,,,,,,,,,,,,-7.17,,,,,
1962-11-01,-0.5,,,,12.21,-15.21,-1.77,-6.31,-21.76,0.7,-0.6,-0.3,,,,,,,,,,,,-5.6,,,,,
1962-12-01,-0.4,,,,-0.12,-0.34,-10.43,-6.46,-13.92,1.11,-0.4,-0.1,,,,,,,,,,,,-2.65,,,,,
1963-01-01,-0.2,,,,1.7,7.92,3.03,-0.17,-9.8,1.36,-0.2,-0.2,,,,,,,,,,,,9.24,,,,,
1963-02-01,-0.2,,,,23.54,14.76,-3.74,9.48,-11.88,1.21,-0.4,-0.6,,,,,,,,,,,,-2.7,,,,,
1963-03-01,-0.2,,,,-1.16,20.69,-6.69,3.85,-3.33,1.43,-0.3,-0.4,,,,,,,,,,,,-4.96,,,,,
1963-04-01,-0.1,,,,5.4,10.95,-3.81,3.81,-2.68,2.02,0.1,0.1,,,,,,,,,,,,1.85,,,,,
1963-05-01,0.0,,,,21.19,2.56,8.88,9.16,-6.45,1.82,-0.1,-0.4,,,,,,,,,,,,-6.71,,,,,
1963-06-01,0.0,,,,7.57,14.35,12.06,3.46,-7.28,1.58,-0.3,-0.3,,,,,,,,,,,,-2.09,,,,,
1963-07-01,0.0,,,,6.34,12.87,7.85,6.07,-4.11,2.35,0.2,0.1,,,,,,,,,,,,-10.04,,,,,
1963-08-01,0.1,,,,-3.12,-7.11,22.27,-3.36,-4.14,1.13,-0.5,-0.3,,,,,,,,,,,,4.34,,,,,
1963-09-01,0.0,,,,-3.09,2.77,-10.05,-0.1,0.71,1.37,-0.3,-0.2,,,,,,,,,,,,1.79,,,,,
1963-10-01,0.1,,,,6.23,1.66,4.84,4.84,-1.42,1.92,0.1,0.0,,,,,,,,,,,,-2.11,,,,,
1963-11-01,0.0,,,,1.14,14.03,-12.77,3.16,0.0,2.18,0.3,0.2,,,,,,,,,,,,-3.35,,,,,
1963-12-01,-0.1,,,,2.42,3.59,-7.35,1.74,-2.21,1.88,0.1,0.1,,,,,,,,,,,,0.19,,,,,
1964-01-01,-0.1,,,,4.34,-7.74,-4.33,-1.1,-2.17,1.7,0.0,0.1,,,,,,,,,,,,-7.08,,,,,
1964-02-01,-0.2,,,,-8.07,-5.22,-2.22,-7.22,-6.38,1.99,0.2,0.5,,,,,,,,,,,,0.27,,,,,
1964-03-01,-0.1,,,,4.82,-11.22,9.43,-3.0,-6.9,1.81,0.1,0.2,,,,,,,,,,,,-6.73,,,,,
1964-04-01,-0.2,,,,2.91,-2.77,-3.33,-3.38,-14.48,2.2,0.3,0.4,,,,,,,,,,,,-3.1,,,,,
1964-05-01,-0.3,,,,-10.11,-5.69,-14.67,-10.74,-6.21,2.18,0.3,0.8,,,,,,,,,,,,-1.24,,,,,
1964-06-01,-0.1,,,,0.0,-11.91,-4.94,-4.1,-2.86,1.96,0.2,0.3,,,,,,,,,,,,-5.44,,,,,
1964-07-01,-0.1,,,,-12.23,-13.73,-8.24,-10.94,5.0,1.46,-0.1,0.3,,,,,,,,,,,,-4.55,,,,,
1964-08-01,-0.3,,,,1.13,-6.61,-28.16,-5.75,-6.47,1.86,0.1,0.3,,,,,,,,,,,,-13.54,,,,,
1964-09-01,-0.2,,,,0.47,-10.45,-10.39,-6.19,-10.56,1.61,0.0,0.2,,,,,,,,,,,,-9.84,,,,,
1964-10-01,-0.3,,,,0.92,-9.29,-13.12,-6.55,-9.35,1.42,-0.2,0.1,,,,,,,,,,,,-8.01,,,,,
1964-11-01,-0.2,,,,-14.15,-14.67,-9.19,-14.45,5.26,1.2,-0.3,0.3,,,,,,,,,,,,-9.76,,,,,
1964-12-01,-0.2,,,,-5.75,-12.86,-14.12,-8.15,-4.51,1.77,0.1,0.3,,3.2,,,,,,,,,,-4.57,,,,,
