date,All Employees - Construction YoY Chg,All Employees - Residential Building YoY Chg,All Employees - Nonresidential Building YoY Chg
2016-05-01,4.08,5.33,4.81
2016-06-01,4.04,5.65,4.31
2016-07-01,4.06,4.36,5.46
2016-08-01,3.79,5.17,4.19
2016-09-01,4.0,6.44,3.29
2016-10-01,3.85,5.86,3.98
2016-11-01,3.41,4.95,3.19
2016-12-01,2.84,4.07,3.43
2017-01-01,3.15,4.21,3.46
2017-02-01,3.63,4.27,2.87
2017-03-01,3.35,3.61,2.63
2017-04-01,3.19,2.6,2.82
2017-05-01,3.62,2.81,4.04
2017-06-01,3.89,2.76,4.06
2017-07-01,3.46,3.45,2.61
2017-08-01,3.95,2.51,4.58
2017-09-01,3.62,0.98,5.6
2017-10-01,3.41,2.14,4.37
2017-11-01,3.59,2.59,4.82
2017-12-01,4.0,4.12,4.08
2018-01-01,3.7,4.35,3.22
2018-02-01,4.4,5.03,4.4
2018-03-01,4.23,5.55,4.56
2018-04-01,4.28,6.42,4.75
2018-05-01,4.95,6.81,4.2
2018-06-01,4.74,7.32,4.33
2018-07-01,5.02,6.61,5.33
2018-08-01,4.93,6.56,4.85
2018-09-01,5.16,6.86,4.89
2018-10-01,5.09,5.75,4.9
2018-11-01,4.5,5.96,4.22
2018-12-01,4.3,5.2,4.22
2019-01-01,4.68,4.97,4.34
2019-02-01,2.94,3.53,2.95
2019-03-01,3.21,3.63,2.48
2019-04-01,3.55,2.4,1.86
2019-05-01,2.8,1.89,1.65
2019-06-01,2.88,1.86,1.51
2019-07-01,2.84,1.98,1.43
2019-08-01,2.49,3.03,1.04
2019-09-01,2.33,2.9,0.49
2019-10-01,2.22,3.14,0.66
2019-11-01,2.1,2.67,0.43
2019-12-01,1.77,1.76,1.16
2020-01-01,2.02,1.51,1.66
2020-02-01,2.91,2.78,1.82
2020-03-01,1.56,1.89,0.7
2020-04-01,-12.67,-12.75,-11.13
2020-05-01,-6.34,-5.05,-7.12
2020-06-01,-4.57,-2.79,-6.67
2020-07-01,-4.38,-1.86,-7.23
2020-08-01,-4.04,-1.82,-6.85
2020-09-01,-3.9,-0.82,-6.77
2020-10-01,-3.34,-0.16,-6.16
2020-11-01,-2.92,-0.2,-6.19
2020-12-01,-2.26,1.11,-7.1
2021-01-01,-2.81,1.72,-7.56
2021-02-01,-4.36,1.02,-8.57
2021-03-01,-1.88,2.9,-6.76
2021-04-01,13.46,20.43,5.99
2021-05-01,5.53,10.71,1.72
2021-06-01,3.27,8.18,0.94
2021-07-01,3.18,8.04,1.78
2021-08-01,2.85,7.95,0.62
2021-09-01,3.18,7.58,2.1
2021-10-01,2.97,6.77,1.12
2021-11-01,3.29,7.43,2.27
2021-12-01,3.24,7.09,2.9
2022-01-01,3.16,7.08,3.41
2022-02-01,5.13,7.55,5.01
2022-03-01,3.96,6.41,5.07
2022-04-01,4.03,7.41,5.15
2022-05-01,4.69,8.06,4.93
2022-06-01,4.98,7.27,5.1
2022-07-01,4.94,6.69,4.45
2022-08-01,4.97,5.73,5.43
2022-09-01,4.65,4.83,4.7
2022-10-01,4.38,4.99,5.34
2022-11-01,3.98,4.21,5.54
2022-12-01,3.82,3.9,5.93
2023-01-01,4.44,3.32,7.15
2023-02-01,3.82,2.19,6.75
2023-03-01,3.04,1.49,5.45
2023-04-01,3.34,0.48,4.99
2023-05-01,2.93,-0.26,5.04
2023-06-01,3.16,0.68,5.44
2023-07-01,2.87,-0.84,5.84
2023-08-01,3.09,-0.53,6.07
2023-09-01,2.82,0.14,5.54
2023-10-01,2.97,0.16,5.6
2023-11-01,2.86,-0.1,4.87
2023-12-01,2.73,-0.19,4.45
2024-01-01,2.41,-0.11,3.25
2024-02-01,2.38,0.27,3.48
2024-03-01,3.0,1.61,3.89
2024-04-01,2.7,1.89,4.17
2024-05-01,2.65,1.71,3.68
2024-06-01,2.37,0.99,4.39
2024-07-01,2.4,1.68,4.11
2024-08-01,2.41,1.81,3.85
2024-09-01,2.5,1.41,3.42
2024-10-01,2.25,1.12,3.16
2024-11-01,2.21,1.13,3.04
2024-12-01,2.17,0.98,2.88
2025-01-01,1.74,0.75,2.59
2025-02-01,1.66,0.43,2.24
2025-03-01,1.34,-0.42,2.15
2025-04-01,1.24,-0.48,2.0
2025-05-01,1.14,-0.45,2.37
2025-06-01,0.87,-0.71,1.3
2025-07-01,0.65,-0.63,0.97
2025-08-01,0.04,-1.61,0.34
2025-09-01,0.01,-1.36,0.31
2025-10-01,-0.23,-1.49,-0.14
2025-11-01,0.15,-0.96,0.51
2025-12-01,-0.05,-1.34,0.71
2026-01-01,0.68,-1.1,1.14
2026-02-01,0.51,-0.5,1.49
