date,PCE Price Index YoY Chg,Core PCE (Less Food & Energy) YoY Chg,"Trimmed-Mean PCE (12-mo % chg, Dallas Fed) YoY Chg"
2024-04-01,2.83,3.01,-1.89
2024-05-01,2.66,2.77,-1.86
2024-06-01,2.55,2.75,-1.46
2024-07-01,2.59,2.81,-1.37
2024-08-01,2.41,2.87,-1.1
2024-09-01,2.26,2.84,-1.03
2024-10-01,2.48,2.99,-0.73
2024-11-01,2.59,2.98,-0.55
2024-12-01,2.73,2.99,-0.29
2025-01-01,2.61,2.78,-0.48
2025-02-01,2.71,2.97,-0.43
2025-03-01,2.36,2.67,-0.49
2025-04-01,2.28,2.61,-0.38
2025-05-01,2.46,2.78,-0.29
2025-06-01,2.59,2.81,-0.21
2025-07-01,2.61,2.86,-0.17
2025-08-01,2.75,2.91,-0.01
2025-09-01,2.79,2.83,-0.1
2025-10-01,2.71,2.75,-0.32
2025-11-01,2.82,2.83,-0.39
2025-12-01,2.88,2.97,-0.54
2026-01-01,2.88,3.1,-0.36
2026-02-01,2.87,3.05,-0.4
2026-03-01,3.54,3.25,-0.29
2026-04-01,3.8,3.32,-0.29
2026-05-01,4.07,3.41,
