date,Output Per Hour - Nonfarm Business YoY Chg,Unit Labor Costs - Nonfarm Business YoY Chg
1997-07-01,2.17,120.0
1997-10-01,2.57,400.0
1998-01-01,3.74,-522.22
1998-04-01,2.75,-66.67
1998-07-01,3.31,66.67
1998-10-01,3.6,55.0
1999-01-01,4.07,50.0
1999-04-01,3.93,-25.0
1999-07-01,3.47,-32.73
1999-10-01,4.21,96.77
2000-01-01,2.36,-128.07
2000-04-01,4.04,453.33
2000-07-01,3.01,-110.81
2000-10-01,2.57,-29.51
2001-01-01,2.41,37.5
2001-04-01,2.11,-14.46
2001-07-01,2.79,-675.0
2001-10-01,3.0,20.93
2002-01-01,5.76,-490.91
2002-04-01,4.13,-91.55
2002-07-01,4.34,34.78
2002-10-01,2.9,-109.62
2003-01-01,1.78,-53.49
2003-04-01,2.96,800.0
2003-07-01,4.42,193.55
2003-10-01,5.56,-880.0
2004-01-01,4.22,-130.0
2004-04-01,3.94,-22.22
2004-07-01,2.17,-79.12
2004-10-01,1.66,-53.85
2005-01-01,3.05,-458.33
2005-04-01,1.9,-109.52
2005-07-01,2.12,47.37
2005-10-01,1.68,-100.0
2006-01-01,1.3,-34.88
2006-04-01,1.27,-0.0
2006-07-01,0.39,-128.57
2006-10-01,1.03,
2007-01-01,0.7,-50.0
2007-04-01,1.11,-400.0
2007-07-01,2.2,-550.0
2007-10-01,2.34,23.08
2008-01-01,1.3,-285.71
2008-04-01,2.19,300.0
2008-07-01,1.54,-72.22
2008-10-01,0.21,-165.63
2009-01-01,2.03,-276.92
2009-04-01,3.16,97.92
2009-07-01,4.55,550.0
2009-10-01,6.53,-361.9
2010-01-01,5.45,-91.3
2010-04-01,3.42,-86.32
2010-07-01,2.46,-60.0
2010-10-01,1.41,-76.36
2011-01-01,0.55,-825.0
2011-04-01,0.28,-76.92
2011-07-01,-0.55,-126.92
2011-10-01,-0.38,46.15
2012-01-01,0.86,-168.97
2012-04-01,1.33,600.0
2012-07-01,1.22,71.43
2012-10-01,0.35,-178.95
2013-01-01,0.34,0.0
2013-04-01,-0.43,-147.62
2013-07-01,0.57,-341.67
2013-10-01,1.93,-360.0
2014-01-01,0.59,-265.0
2014-04-01,1.49,-360.0
2014-07-01,1.64,20.69
2014-10-01,0.32,-135.9
2015-01-01,1.75,-169.7
2015-04-01,1.59,-23.08
2015-07-01,1.01,-68.57
2015-10-01,0.73,71.43
2016-01-01,0.58,-26.09
2016-04-01,0.15,-85.0
2016-07-01,0.21,27.27
2016-10-01,1.52,-212.5
2017-01-01,1.25,-58.82
2017-04-01,1.24,-33.33
2017-07-01,1.71,135.71
2017-10-01,1.77,11.11
2018-01-01,1.94,85.71
2018-04-01,1.9,-100.0
2018-07-01,1.37,-63.64
2018-10-01,0.45,-123.33
2019-01-01,0.97,161.54
2019-04-01,1.58,
2019-07-01,2.42,283.33
2019-10-01,3.56,-642.86
2020-01-01,2.29,-147.06
