date,Initial Claims YoY %,Initial Claims - 4 Week Average YoY %,Continuing Claims YoY %,Continuing Claims - 4 Week Average YoY %,Insured Unemployment Rate YoY %
1970-07-11,50.0,37.9641,68.2883,71.445,
1970-07-18,53.125,37.7246,69.0991,71.7441,
1970-07-25,49.4792,37.2455,72.7928,72.9406,
1970-08-01,33.8462,41.9598,76.9088,76.1295,
1970-08-08,36.4103,39.196,75.9777,76.6418,
1970-08-15,53.8462,39.9497,79.9814,77.946,
1970-08-22,55.3846,41.9598,83.4264,79.157,
1970-08-29,52.3077,46.4824,86.6853,81.6022,
1970-09-05,67.8756,57.1245,83.7937,81.2013,
1970-09-12,51.2953,56.0976,90.4236,84.2962,
1970-09-19,68.3938,58.9217,90.5157,86.5658,
1970-09-26,72.5389,63.543,92.6335,88.5603,
1970-10-03,70.7317,63.1117,90.493,88.3105,
1970-10-10,59.5122,67.5031,94.2782,91.4292,
1970-10-17,62.9268,68.6324,94.5423,94.5928,
1970-10-24,60.9756,68.256,98.6796,98.2948,
1970-10-31,59.5122,65.3701,96.5669,99.8429,
1970-11-07,66.3366,60.4595,88.1916,91.2053,
1970-11-14,55.4455,58.0411,93.4765,94.0375,
1970-11-21,55.4455,56.1064,88.687,94.6337,
1970-11-28,66.8317,57.3156,89.2651,95.8901,
1970-12-05,38.1166,44.8237,74.5399,83.3699,
1970-12-12,37.2197,43.9135,68.1748,80.3789,
1970-12-19,29.5964,41.0694,70.5521,79.1625,
1970-12-26,43.9462,39.2491,64.6472,76.2712,
1971-01-02,26.7782,21.2935,51.769,57.6496,
1971-01-09,20.5021,19.5025,53.3574,56.3944,
1971-01-16,25.1046,20.4975,51.6245,54.1386,
1971-01-23,30.5439,19.602,50.9747,53.1199,
1971-01-30,22.1757,18.5075,50.6137,52.8288,
1971-02-06,22.314,15.9574,48.2517,47.7305,
1971-02-13,16.5289,14.3133,45.3846,47.361,
1971-02-20,10.7438,10.058,48.2517,47.8712,
1971-02-27,19.8347,9.8646,45.5245,47.7833,
1971-03-06,7.6087,5.9646,38.7118,41.7594,
1971-03-13,3.9855,6.4306,38.3214,42.5514,
1971-03-20,5.4348,8.5741,39.2323,42.8884,
1971-03-27,8.6957,9.5061,40.3383,44.1692,
1971-04-03,-14.3266,-9.5311,22.1396,30.4573,
1971-04-10,-20.0573,-10.146,23.341,30.9146,
1971-04-17,-18.6246,-10.6841,23.7414,31.2652,
1971-04-24,-17.4785,-11.6065,21.6819,30.8079,
1971-05-01,-3.6545,-6.3218,19.3691,17.5113,
1971-05-08,-2.6578,-5.1724,20.5866,17.8254,
1971-05-15,-5.6478,-5.1724,20.5866,18.044,
1971-05-22,-1.9934,-4.5977,19.9225,18.5904,
1971-05-29,-0.6645,-3.8588,20.1439,18.7816,
1971-06-05,3.4364,-0.5902,17.5777,17.7321,
1971-06-12,1.3746,0.3373,17.8457,18.0024,
1971-06-19,2.7491,0.6745,16.9346,18.2052,
1971-06-26,0.0,0.0,16.3987,18.2187,
1971-07-03,-3.4843,1.3962,10.3233,15.3406,
1971-07-10,-8.0139,-1.3089,11.0532,14.4226,
1971-07-17,9.0592,-0.0873,8.8113,13.1586,
1971-07-24,5.9233,1.0471,11.001,12.5865,
1971-07-31,7.3171,3.7522,12.0959,13.0389,
1971-08-07,17.5084,9.2624,8.4289,9.5153,
1971-08-14,9.4276,10.2916,9.8254,10.99,
1971-08-21,7.7441,11.6638,9.0274,11.721,
1971-08-28,3.367,11.578,9.1272,12.2083,
1971-09-04,7.8078,2.9042,6.501,7.0395,
1971-09-11,-6.3063,1.8838,7.5526,7.6231,
1971-09-18,-9.3093,0.471,7.3614,8.3526,
1971-09-25,-7.5075,0.5495,6.74,8.8997,
1971-10-02,-8.5627,-7.3596,-0.7613,0.4266,
1971-10-09,-4.2813,-7.2838,0.627,0.3929,
1971-10-16,-8.5627,-7.5114,-1.9257,-0.2358,
1971-10-23,-10.0917,-8.5736,-2.5526,-0.8757,
1971-10-30,-13.4557,-9.7876,-1.7465,-1.1227,
1971-11-06,-10.6825,-9.5311,-3.8394,-4.7288,
1971-11-13,-12.4629,-9.8386,-6.8935,-5.3375,
1971-11-20,-18.6944,-11.3759,-6.8935,-5.7941,
1971-11-27,-17.5074,-11.7602,-7.897,-6.6964,
1971-12-04,-6.8536,-6.3725,-1.3973,-3.8914,
1971-12-11,-12.7726,-7.598,-2.8878,-4.4457,
1971-12-18,-16.1994,-8.0065,-1.7699,-4.7285,
1971-12-25,-23.9875,-10.7843,-5.1234,-5.5656,
1972-01-01,-4.4521,-9.9916,-7.2867,-2.8092,-5.1282
1972-01-08,1.0274,-8.7322,-7.4305,-4.6423,-5.1282
1972-01-15,-14.3836,-10.3275,-7.814,-6.8563,-5.1282
1972-01-22,-9.9315,-8.7322,-8.581,-8.4038,-7.6923
1972-01-29,-7.8767,-9.5718,-7.9099,-8.5585,-7.6923
1972-02-05,-4.8276,-6.8662,-6.7275,-8.4286,-5.1282
1972-02-12,-8.2759,-5.4577,-5.8145,-7.9881,-5.1282
1972-02-19,-11.0345,-5.8979,-8.6016,-8.0476,-7.6923
1972-02-26,-12.4138,-7.2183,-8.5536,-8.2619,-7.6923
1972-03-04,-14.3333,-11.9149,-11.6829,-10.3448,-12.1951
1972-03-11,-12.0,-12.0851,-11.6365,-10.976,-12.1951
1972-03-18,-11.3333,-11.4043,-11.5902,-10.9176,-12.1951
1972-03-25,-12.0,-10.5532,-12.981,-11.2215,-12.1951
1972-04-01,-10.4167,-8.5217,-10.0611,-11.3973,-10.0
1972-04-08,-4.8611,-7.6522,-10.2022,-11.3507,-10.0
1972-04-15,-10.0694,-8.2609,-11.0954,-11.5371,-10.0
1972-04-22,-10.0694,-8.6957,-12.788,-11.7935,-12.5
1972-04-29,-7.9861,-8.087,-12.0827,-12.2946,-12.5
1972-05-06,-9.3645,-9.9915,-12.8052,-13.65,-12.1951
1972-05-13,-11.0368,-9.3937,-13.6803,-13.8454,-12.1951
1972-05-20,-10.7023,-8.7105,-14.187,-13.7534,-14.6341
1972-05-27,-10.7023,-8.5397,-13.8185,-13.742,-14.6341
1972-06-03,-9.2784,-10.2867,-14.5028,-14.6565,-14.6341
1972-06-10,-7.9038,-10.118,-13.9042,-14.7022,-14.6341
1972-06-17,-5.4983,-9.4435,-14.5948,-14.7936,-14.6341
1972-06-24,-1.7182,-7.8415,-13.8582,-14.7936,-14.6341
1972-07-01,13.6364,-0.841,-10.0,-11.3583,-12.1951
1972-07-08,-3.5714,1.598,-8.0465,-10.0989,-9.7561
1972-07-15,3.2468,5.2145,-9.4419,-9.016,-9.7561
1972-07-22,-10.3896,4.3734,-8.7442,-7.9449,-9.7561
1972-07-29,-19.8052,-4.2893,-10.3256,-8.0273,-12.1951
1972-08-05,-18.5668,-16.1414,-15.2194,-12.0914,-14.6341
1972-08-12,-19.8697,-21.6756,-17.1846,-13.6343,-17.0732
1972-08-19,-16.6124,-23.2129,-18.0073,-15.5543,-17.0732
1972-08-26,-14.658,-22.06,-18.0987,-17.1086,-17.0732
1972-09-02,-16.2338,-20.2186,-17.6892,-19.214,-16.6667
1972-09-09,-15.9091,-19.2037,-19.3014,-19.3257,-19.0476
1972-09-16,-16.2338,-19.0476,-19.4357,-19.2698,-19.0476
1972-09-23,-17.2078,-19.5941,-19.794,-19.281,-19.0476
1972-09-30,-18.5065,-20.1405,-21.0479,-20.1183,-21.4286
1972-10-07,-7.0671,-13.6249,-19.2799,-19.1098,-21.4286
1972-10-14,-11.6608,-14.2977,-19.7812,-19.5526,-23.8095
1972-10-21,-9.1873,-14.1295,-21.0119,-20.2112,-23.8095
1972-10-28,-17.3145,-15.5593,-20.237,-20.3588,-23.8095
1972-11-04,-8.2734,-13.2404,-18.4273,-18.8512,-20.0
1972-11-11,-12.9496,-13.9373,-17.7641,-19.1308,-20.0
1972-11-18,-2.518,-12.7178,-18.1904,-19.2007,-20.0
1972-11-25,-15.4676,-12.6307,-17.4325,-19.2823,-20.0
1972-12-02,-7.377,-10.8059,-17.7221,-17.5611,-20.5128
1972-12-09,3.2787,-9.8901,-17.4767,-18.2199,-20.5128
1972-12-16,7.7869,-10.6227,-13.7948,-17.8725,-17.9487
1972-12-23,0.8197,-9.6154,-16.6912,-18.4236,-20.5128
1972-12-30,-7.7869,-9.707,-18.3603,-18.5793,-20.5128
1973-01-06,-15.9851,-10.8635,-15.8251,-12.3536,-19.4444
1973-01-13,-8.9219,-12.5348,-13.5867,-13.6032,-19.4444
1973-01-20,-14.8699,-14.1133,-16.3457,-14.7748,-19.4444
1973-01-27,-20.4461,-15.1346,-16.658,-15.5819,-22.2222
1973-02-03,-10.2362,-13.093,-16.1324,-16.1173,-22.2222
1973-02-10,-11.0236,-14.8956,-16.2375,-16.9738,-22.2222
1973-02-17,-14.9606,-16.129,-16.8681,-17.2982,-22.2222
1973-02-24,-14.1732,-15.7495,-16.8681,-17.5448,-22.2222
1973-03-03,-14.7727,-15.7945,-15.8764,-16.5635,-22.2222
1973-03-10,-13.2576,-15.509,-15.61,-16.6952,-22.2222
1973-03-17,-13.6364,-14.3673,-15.9297,-16.7479,-22.2222
1973-03-24,-12.1212,-13.0352,-16.7821,-17.0112,-22.2222
1973-03-31,-15.9091,-13.3206,-17.5812,-17.4325,-25.0
1973-04-07,-6.7925,-12.1097,-17.0053,-17.1007,-25.7143
1973-04-14,-13.2075,-11.9205,-17.7005,-17.6189,-25.7143
1973-04-21,-8.3019,-10.8798,-15.8824,-17.4728,-22.8571
1973-04-28,-10.9434,-9.5553,-17.0588,-17.4196,-25.7143
1973-05-05,-7.1161,-10.6443,-16.6221,-17.0377,-22.8571
1973-05-12,-10.8614,-9.8973,-16.7825,-16.7978,-22.8571
1973-05-19,-11.236,-10.4575,-16.9963,-17.0644,-25.7143
1973-05-26,-10.8614,-10.2708,-16.248,-16.8511,-22.8571
1973-06-02,-18.8811,-13.5407,-16.8359,-16.3692,-22.8571
1973-06-09,-13.986,-12.8088,-16.4618,-16.2887,-22.8571
1973-06-16,-17.1329,-12.8088,-15.767,-15.9801,-22.8571
1973-06-23,-15.3846,-12.4428,-16.0877,-15.9399,-22.8571
1973-06-30,-17.1329,-11.9854,-16.0342,-15.7386,-22.8571
1973-07-07,0.4049,-15.29,-16.7531,-19.0939,-27.7778
1973-07-14,-6.0729,-15.7293,-16.7531,-18.7228,-27.7778
1973-07-21,-2.4291,-15.8172,-17.3237,-18.4157,-27.7778
1973-07-28,1.2146,-14.6749,-16.8568,-18.0061,-27.7778
1973-08-04,-2.2901,-3.4517,-8.8728,-11.2781,-20.5882
1973-08-11,1.145,-0.1972,-6.3058,-10.2578,-17.6471
1973-08-18,-1.5267,1.4793,-6.6964,-9.1824,-20.5882
1973-08-25,-3.0534,1.8738,-6.529,-8.1897,-17.6471
1973-09-01,-3.5857,-0.391,-4.6512,-6.2614,-15.1515
1973-09-08,0.3984,-1.6618,-4.2541,-6.1356,-15.1515
1973-09-15,-2.3904,-2.9326,-5.502,-6.2194,-18.1818
1973-09-22,-1.992,-3.7146,-5.9558,-6.457,-18.1818
1973-09-29,-0.7968,-3.0303,-5.9558,-6.7785,-18.1818
1973-10-06,0.8547,-2.7888,-5.3143,-5.3464,-15.625
1973-10-13,5.1282,-2.6892,-4.0571,-5.1611,-15.625
1973-10-20,6.4103,-2.3904,-5.9429,-5.3322,-15.625
1973-10-27,0.4274,-3.7849,-4.2857,-5.0898,-15.625
1973-11-03,4.6809,-2.6919,-4.2456,-3.7385,-15.625
1973-11-10,20.0,0.8973,-2.3523,-3.4065,-12.5
1973-11-17,8.0851,1.3958,-2.5818,-2.6559,-12.5
1973-11-24,-0.8511,1.1964,0.6885,-1.5012,-12.5
1973-12-01,13.7778,3.9554,1.7438,0.7356,-12.9032
1973-12-08,18.2222,2.3327,3.2471,0.9563,-9.6774
1973-12-15,20.8889,4.1582,6.9753,2.148,-6.4516
1973-12-22,44.8889,13.5903,10.4029,3.3397,-3.2258
1973-12-29,33.3333,18.0527,8.5388,5.0022,-6.4516
1974-01-05,25.7009,27.6805,20.7995,13.4002,10.7143
1974-01-12,58.8785,35.1204,21.7364,16.0216,10.7143
1974-01-19,50.0,34.5733,24.6096,18.4734,14.2857
1974-01-26,35.9813,33.5886,21.7989,20.7093,10.7143
1974-02-02,38.5321,41.2162,24.0834,23.6544,10.7143
1974-02-09,69.2661,44.482,27.0544,24.6144,14.2857
1974-02-16,42.6606,43.3559,29.5196,25.4643,17.8571
1974-02-23,33.945,43.4685,28.129,26.6761,14.2857
1974-03-02,35.5856,39.7366,30.5753,29.2617,18.5185
1974-03-09,37.3874,32.7113,32.7731,29.9633,22.2222
1974-03-16,41.8919,33.1504,33.6781,30.2663,22.2222
1974-03-23,41.4414,35.5653,34.0659,31.0158,22.2222
1974-03-30,45.4955,37.9802,33.2902,31.6855,22.2222
1974-04-06,25.4237,30.5439,33.2044,33.0652,23.0769
1974-04-13,25.8475,28.6611,33.5912,33.1295,23.0769
1974-04-20,25.4237,26.7782,34.1715,33.2422,26.9231
1974-04-27,19.9153,22.5941,31.8504,32.9686,23.0769
1974-05-04,20.5882,21.0198,31.2061,32.3393,18.5185
1974-05-11,24.3697,20.9157,30.2489,31.8422,18.5185
1974-05-18,25.2101,21.1238,31.0147,31.3933,18.5185
1974-05-25,29.8319,23.8293,31.2699,31.5857,18.5185
1974-06-01,17.2996,22.7651,32.3361,31.051,22.2222
1974-06-08,32.4895,24.6362,31.5722,31.465,18.5185
1974-06-15,27.8481,25.1559,33.3546,32.1338,22.2222
1974-06-22,29.9578,25.052,31.5086,32.2771,18.5185
1974-06-29,37.1308,29.9376,32.0178,32.1975,18.5185
1974-07-06,24.4,28.4243,34.7473,31.0286,26.9231
1974-07-13,21.6,28.5273,32.5639,31.4968,26.9231
1974-07-20,21.2,28.0124,31.5658,32.1679,26.9231
1974-07-27,28.0,27.4974,30.8172,32.5269,23.0769
1974-08-03,31.8898,22.1684,28.1791,27.3164,17.8571
1974-08-10,36.6142,26.3311,29.6119,28.0072,21.4286
1974-08-17,30.7087,29.1384,29.4328,28.8932,21.4286
1974-08-24,35.0394,31.365,29.6716,30.0195,21.4286
1974-08-31,37.7953,32.817,32.0,30.9806,21.4286
1974-09-07,40.5622,38.6089,36.6104,32.1739,29.6296
1974-09-14,43.3735,41.129,37.1532,33.7631,29.6296
1974-09-21,48.5944,43.8508,37.0929,35.2774,29.6296
1974-09-28,46.988,45.4637,39.0832,36.7016,33.3333
1974-10-05,57.8723,51.5528,40.8955,38.3957,33.3333
1974-10-12,75.7447,57.3499,43.0448,40.2283,37.037
1974-10-19,65.5319,59.3168,50.3881,43.9237,44.4444
1974-10-26,76.1702,64.2857,50.4478,47.1384,44.4444
1974-11-02,74.2489,59.803,49.4587,47.3916,42.8571
1974-11-09,89.2704,62.5616,53.7892,51.8318,46.4286
1974-11-16,92.7039,68.4729,63.0769,56.8581,57.1429
1974-11-23,122.3176,78.7192,56.5812,60.1993,50.0
1974-11-30,103.4335,85.4187,75.8405,66.9842,67.8571
1974-12-07,76.0,69.1581,76.0665,66.3724,68.9655
1974-12-14,70.0,74.3986,82.3269,72.3834,72.4138
1974-12-21,73.6667,74.6564,82.8255,80.1177,75.8621
1974-12-28,79.0,80.0687,88.144,84.4613,79.3103
1975-01-04,56.701,65.7658,82.2564,72.9816,74.1935
1975-01-11,90.378,69.3694,82.4103,76.3797,74.1935
1975-01-18,97.5945,73.792,87.5897,80.953,80.6452
1975-01-25,90.7216,75.2662,90.1538,84.9387,80.6452
1975-02-01,91.4384,76.0597,84.4105,82.1469,78.125
1975-02-08,86.6438,75.3532,90.2319,85.8616,84.375
1975-02-15,81.5068,71.821,90.5772,88.4085,84.375
1975-02-22,86.3014,70.9576,95.8066,91.6511,87.5
1975-03-01,69.0402,72.2355,95.1018,90.2519,84.8485
1975-03-08,70.5882,72.7128,101.1154,93.7757,90.9091
1975-03-15,64.3963,72.7924,103.4433,97.7961,93.9394
1975-03-22,70.2786,73.2697,103.7342,100.6055,93.9394
1975-03-29,71.8266,73.9857,109.0204,104.0809,96.9697
1975-04-05,89.7527,85.4096,116.5281,107.333,109.375
1975-04-12,83.7456,84.471,117.555,110.4066,109.375
1975-04-19,87.6325,82.8498,119.9022,113.9884,112.5
1975-04-26,81.2721,79.2662,121.0269,116.5295,112.5
1975-05-03,63.4304,73.8655,123.8211,120.1779,115.625
1975-05-10,64.0777,72.7731,123.4808,121.9812,115.625
1975-05-17,66.343,71.3445,123.2377,123.1388,115.625
1975-05-24,59.5469,69.6639,116.8692,122.4199,109.375
1975-05-31,53.7217,67.1429,125.4254,122.822,118.75
1975-06-07,62.7692,60.88,116.2006,118.9111,112.5
1975-06-14,52.9231,59.52,118.3703,118.1523,112.5
1975-06-21,52.9231,59.84,112.4397,117.4898,106.25
1975-06-28,41.2308,58.56,97.2035,110.901,93.75
1975-07-05,32.1875,51.5347,102.1459,103.3212,100.0
1975-07-12,39.375,47.4152,93.4669,97.7623,90.625
1975-07-19,39.0625,43.2149,100.6676,95.4305,96.875
1975-07-26,41.875,42.811,94.3252,95.2538,90.625
1975-08-02,29.7143,31.1224,81.592,87.5143,76.4706
1975-08-09,31.1429,32.07,82.18,87.1818,76.4706
1975-08-16,26.8571,31.9971,77.9285,84.0404,73.5294
1975-08-23,30.5714,32.2157,78.1999,82.4925,73.5294
1975-08-30,27.4286,31.6327,74.3103,80.6466,70.5882
1975-09-06,22.1311,24.3243,72.1162,72.154,66.6667
1975-09-13,24.5902,25.1559,68.2567,71.5617,61.1111
1975-09-20,18.306,23.4927,68.2567,70.9037,61.1111
1975-09-27,21.5847,23.4234,66.9991,70.8708,61.1111
1975-10-04,2.8986,10.9011,53.4921,58.0296,48.7179
1975-10-11,3.6232,9.1997,45.8333,55.9367,41.0256
1975-10-18,-2.4155,7.3724,47.619,54.3032,43.5897
1975-10-25,2.8986,6.1752,45.3175,52.3737,41.0256
1975-11-01,-12.6582,-11.1052,16.8827,28.688,14.8936
1975-11-08,-12.4473,-11.8491,14.906,27.5559,12.766
1975-11-15,-18.5654,-12.8055,15.068,26.0728,12.766
1975-11-22,-15.4008,-14.1339,9.4297,23.5717,8.5106
1975-11-29,-18.3544,-15.5685,9.8833,21.6762,8.5106
1975-12-06,-30.54,-26.1927,-1.914,3.684,-3.8462
1975-12-13,-31.4711,-27.0515,-3.828,1.5192,-5.7692
1975-12-20,-32.0298,-28.7691,-8.0094,-0.4026,-9.6154
1975-12-27,-27.1881,-28.5782,-9.5406,-2.8257,-11.5385
1976-01-03,-34.7748,-30.5607,-13.3225,-12.4404,-12.5
1976-01-10,-27.5676,-28.972,-16.8285,-13.6976,-16.0714
1976-01-17,-33.3333,-28.7383,-18.3927,-14.3745,-17.8571
1976-01-24,-34.5946,-30.0467,-20.2535,-15.1689,-19.6429
1976-01-31,-35.3153,-30.1869,-21.9256,-17.3724,-21.4286
1976-02-07,-35.1103,-33.6547,-26.6314,-23.5706,-26.6667
1976-02-14,-36.7647,-34.8485,-27.7652,-24.6013,-26.6667
1976-02-21,-36.2132,-35.5831,-27.8912,-25.2172,-28.3333
1976-02-28,-35.8456,-36.0422,-28.899,-25.6904,-28.3333
1976-03-06,-37.2973,-36.5341,-33.8051,-32.3325,-33.8462
1976-03-13,-35.1351,-35.8025,-34.1763,-32.5105,-33.8462
1976-03-20,-33.6937,-34.8422,-33.8283,-32.5699,-33.8462
1976-03-27,-34.0541,-34.0649,-34.3387,-32.5224,-33.8462
1976-04-03,-25.9259,-29.8429,-36.7478,-36.4144,-35.2941
1976-04-10,-27.2904,-29.2242,-37.1681,-36.3977,-36.7647
1976-04-17,-29.6296,-29.5574,-36.0619,-36.1853,-35.2941
1976-04-24,-28.46,-29.5098,-35.8407,-35.7941,-35.2941
1976-05-01,-18.9474,-25.2891,-36.5969,-36.731,-35.7143
