date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1955-08-01,-0.4842,,,,1.3333,2.2346,-1.1583,-0.2326,
1955-09-01,0.1492,,,,0.885,2.2346,-0.7722,0.2331,
1955-10-01,0.3743,,,,1.3274,2.7933,1.5748,0.2331,
1955-11-01,0.3734,,,,1.3274,2.7778,0.7752,0.2331,
1955-12-01,0.3736,,,,0.8811,3.3333,0.0,0.4662,
1956-01-01,0.2241,,,,0.8811,3.3333,-0.3861,0.9346,
1956-02-01,0.1491,,,,0.8811,3.3149,-0.3861,1.6355,
1956-03-01,0.3733,,,,0.8811,3.3149,-0.3861,1.8735,
1956-04-01,0.5226,,,,0.8811,3.8674,0.7812,1.8692,
1956-05-01,0.9712,,,,0.8811,3.2967,1.1673,1.8692,
1956-06-01,1.6473,,,,1.7621,3.2967,0.7752,1.8692,
1956-07-01,1.9806,,,,2.2026,3.8462,1.9455,2.3364,
1956-08-01,2.2081,,,,2.193,3.8251,2.7344,2.331,
1956-09-01,1.8622,,,,2.193,4.3716,2.7237,2.3256,
1956-10-01,2.5727,,,,1.7467,3.8043,4.6512,2.3256,
1956-11-01,2.3438,,,,1.7467,3.2432,3.4615,2.5581,
1956-12-01,2.8284,,,,2.6201,3.2258,4.6512,2.7842,
1957-01-01,3.1308,,,,2.6201,3.7634,5.4264,2.5463,
1957-02-01,3.4996,,,,3.4934,3.2086,6.2016,1.8391,
1957-03-01,3.6073,,,,3.9301,3.7433,6.5891,2.2989,
1957-04-01,3.7133,,,,4.3668,3.7234,7.3643,1.8349,
1957-05-01,3.5886,,,,4.3668,4.2553,6.1538,2.0642,
1957-06-01,3.5359,,,,3.4632,4.7872,6.5385,2.0642,
1957-07-01,3.2979,,,,3.4483,4.2328,6.1069,1.5982,
1957-08-01,3.5518,,,,3.0043,4.2105,5.7034,1.5945,
1957-09-01,3.5466,,,,3.4335,3.6649,5.6818,1.1364,
1957-10-01,2.9444,,,,3.8627,4.1885,1.8519,1.3636,
1957-11-01,3.2715,,,,3.8627,4.712,5.2045,1.3605,
1957-12-01,3.0402,,,,3.4043,4.6875,4.0741,0.6772,
1958-01-01,3.5056,2.807,,1.4085,3.4043,4.6632,3.3088,1.1287,
1958-02-01,3.2374,2.7972,,-0.4673,2.9536,4.6632,2.9197,0.9029,
1958-03-01,3.6253,2.7875,,-0.4651,2.521,4.6392,2.9091,0.4494,
1958-04-01,3.6162,2.4306,,-0.9259,2.5105,4.6154,2.1661,0.6757,
1958-05-01,3.3571,2.4306,,-0.463,2.9289,4.5918,2.8986,0.4494,
1958-06-01,2.846,2.4221,,-0.463,2.5105,4.5685,2.5271,0.6742,
1958-07-01,2.4832,2.069,,0.4651,2.0833,5.0761,3.2374,0.4494,
1958-08-01,2.3338,2.069,,1.4019,2.0833,4.5455,3.5971,0.2242,
1958-09-01,2.0833,2.0619,,1.4019,1.6598,5.5556,3.5842,0.0,
1958-10-01,2.0833,1.7123,,1.4019,0.8264,5.5276,5.0909,-0.2242,
1958-11-01,1.9007,1.7065,,-0.4651,1.2397,5.0,2.8269,0.0,
1958-12-01,1.7562,2.0478,,-0.4651,0.823,4.9751,3.9146,0.2242,
