date,U-1 Unemployed 15+ Weeks as % of Labor Force,U-2 Job Losers as % of Labor Force,U-4 + Discouraged Workers,U-5 + Other Marginally Attached,Unemployed Less Than 5 Weeks (000s),Unemployed 5-14 Weeks (000s),Unemployed 15-26 Weeks (000s),Total Unemployed (000s),Average Duration of Unemployment (Weeks),Civilian Labor Force Level (000s),Labor Force Participation Rate,Employment-Population Ratio,Average Weekly Hours - All Employees,Average Hourly Earnings - Production Workers,Hires: Total Nonfarm,Total Separations: Total Nonfarm,Quits: Total Nonfarm,Layoffs and Discharges: Total Nonfarm,Job Openings Rate,Total Separations Rate,Layoffs and Discharges Rate,Multiple Jobholders (000s),Multiple Jobholders as % of Employed,Part-Time for Economic Reasons (000s),Aggregate Weekly Payrolls Index,Temp Help Services Employment (000s),Continuing Claims,Continuing Claims - 4 Week Average,Insured Unemployment Rate
1948-01-01,0.5,,,,1188.0,507.0,183.0,2034.0,8.9,60095.0,58.6,56.6,,,,,,,,,,,,,,,,,
1948-02-01,0.5,,,,1377.0,677.0,162.0,2328.0,8.4,60524.0,58.9,56.7,,,,,,,,,,,,,,,,,
1948-03-01,0.5,,,,1279.0,830.0,182.0,2399.0,8.7,60070.0,58.5,56.1,,,,,,,,,,,,,,,,,
1948-04-01,0.5,,,,1461.0,694.0,215.0,2386.0,8.5,60677.0,59.0,56.7,,,,,,,,,,,,,,,,,
1948-05-01,0.5,,,,1146.0,671.0,220.0,2118.0,9.1,59972.0,58.3,56.2,,,,,,,,,,,,,,,,,
1948-06-01,0.5,,,,1287.0,611.0,204.0,2214.0,8.8,60957.0,59.2,57.0,,,,,,,,,,,,,,,,,
1948-07-01,0.5,,,,1259.0,643.0,188.0,2213.0,8.6,61181.0,59.3,57.1,,,,,,,,,,,,,,,,,
1948-08-01,0.5,,,,1511.0,591.0,204.0,2350.0,8.8,60806.0,58.9,56.6,,,,,,,,,,,,,,,,,
1948-09-01,0.5,,,,1245.0,759.0,171.0,2302.0,8.5,60815.0,58.9,56.6,,,,,,,,,,,,,,,,,
1948-10-01,0.5,,,,1210.0,655.0,188.0,2259.0,9.5,60646.0,58.7,56.5,,,,,,,,,,,,,,,,,
1948-11-01,0.5,,,,1251.0,682.0,187.0,2285.0,7.8,60702.0,58.7,56.5,,,,,,,,,,,,,,,,,
1948-12-01,0.5,,,,1432.0,696.0,206.0,2429.0,8.1,61169.0,59.1,56.8,,,,,,,,,,,,,,,,,
1949-01-01,0.5,,,,1510.0,715.0,211.0,2596.0,8.2,60771.0,58.7,56.2,,,,,,,,,,,,,,,,,
1949-02-01,0.6,,,,1603.0,889.0,244.0,2849.0,8.3,61057.0,59.0,56.2,,,,,,,,,,,,,,,,,
1949-03-01,0.7,,,,1631.0,1025.0,298.0,3030.0,8.3,61073.0,58.9,56.0,,,,,,,,,,,,,,,,,
1949-04-01,0.8,,,,1652.0,1171.0,325.0,3260.0,8.8,61007.0,58.8,55.7,,,,,,,,,,,,,,,,,
1949-05-01,1.0,,,,1884.0,1247.0,410.0,3707.0,9.1,61259.0,59.0,55.4,,,,,,,,,,,,,,,,,
1949-06-01,1.2,,,,1729.0,1405.0,455.0,3776.0,10.0,60948.0,58.6,55.0,,,,,,,,,,,,,,,,,
1949-07-01,1.4,,,,1852.0,1410.0,539.0,4111.0,10.8,61301.0,58.9,55.0,,,,,,,,,,,,,,,,,
1949-08-01,1.5,,,,1874.0,1472.0,578.0,4193.0,11.0,61590.0,59.2,55.1,,,,,,,,,,,,,,,,,
1949-09-01,1.6,,,,1651.0,1506.0,618.0,4049.0,11.7,61633.0,59.1,55.3,,,,,,,,,,,,,,,,,
1949-10-01,1.6,,,,2332.0,1385.0,632.0,4916.0,10.9,62185.0,59.6,54.9,,,,,,,,,,,,,,,,,
1949-11-01,1.7,,,,1747.0,1242.0,626.0,3996.0,11.6,62005.0,59.4,55.6,,,,,,,,,,,,,,,,,
1949-12-01,1.6,,,,1748.0,1400.0,552.0,4063.0,11.8,61908.0,59.2,55.3,,,,,,,,,,,,,,,,,
1950-01-01,1.5,,,,1780.0,1256.0,549.0,4026.0,11.3,61661.0,58.9,55.1,,,,,,,,,,,,,,,,,
1950-02-01,1.5,,,,1600.0,1333.0,541.0,3936.0,11.8,61687.0,58.9,55.1,,,,,,,,,,,,,,,,,
1950-03-01,1.5,,,,1503.0,1329.0,490.0,3876.0,12.4,61604.0,58.8,55.1,,,,,,,,,,,,,,,,,
1950-04-01,1.5,,,,1472.0,1126.0,450.0,3575.0,12.6,62158.0,59.2,55.8,,,,,,,,,,,,,,,,,
1950-05-01,1.4,,,,1464.0,1011.0,475.0,3434.0,12.7,62083.0,59.1,55.8,,,,,,,,,,,,,,,,,
1950-06-01,1.4,,,,1468.0,1090.0,445.0,3367.0,13.1,62419.0,59.4,56.2,,,,,,,,,,,,,,,,,
1950-07-01,1.2,,,,1411.0,955.0,431.0,3120.0,12.5,62121.0,59.1,56.1,,,,,,,,,,,,,,,,,
1950-08-01,1.0,,,,1251.0,953.0,335.0,2799.0,12.2,62596.0,59.5,56.8,,,,,,,,,,,,,,,,,
1950-09-01,1.0,,,,1272.0,888.0,350.0,2774.0,12.2,62349.0,59.2,56.6,,,,,,,,,,,,,,,,,
1950-10-01,0.9,,,,1262.0,752.0,266.0,2625.0,12.3,62428.0,59.4,56.9,,,,,,,,,,,,,,,,,
1950-11-01,0.8,,,,1354.0,755.0,247.0,2589.0,10.7,62286.0,59.3,56.9,,,,,,,,,,,,,,,,,
1950-12-01,0.8,,,,1459.0,725.0,265.0,2639.0,10.7,62068.0,59.2,56.7,,,,,,,,,,,,,,,,,
1951-01-01,0.7,,,,1115.0,687.0,259.0,2305.0,10.6,61941.0,59.1,56.9,,,,,,,,,,,,,,,,,
1951-02-01,0.6,,,,1107.0,608.0,188.0,2117.0,10.8,61778.0,59.1,57.0,,,,,,,,,,,,,,,,,
1951-03-01,0.6,,,,1215.0,558.0,202.0,2125.0,10.1,62526.0,59.8,57.7,,,,,,,,,,,,,,,,,
1951-04-01,0.5,,,,1160.0,503.0,154.0,1919.0,10.6,61808.0,59.1,57.3,,,,,,,,,,,,,,,,,
1951-05-01,0.4,,,,1125.0,490.0,139.0,1856.0,9.9,62044.0,59.4,57.6,,,,,,,,,,,,,,,,,
1951-06-01,0.4,,,,1125.0,656.0,143.0,1995.0,8.7,61615.0,59.0,57.1,,,,,,,,,,,,,,,,,
1951-07-01,0.4,,,,1183.0,480.0,133.0,1950.0,9.2,62106.0,59.4,57.6,,,,,,,,,,,,,,,,,
1951-08-01,0.4,,,,1184.0,522.0,132.0,1933.0,9.1,61927.0,59.2,57.4,,,,,,,,,,,,,,,,,
1951-09-01,0.4,,,,1294.0,549.0,105.0,2067.0,9.1,61780.0,59.1,57.1,,,,,,,,,,,,,,,,,
1951-10-01,0.4,,,,1279.0,627.0,170.0,2194.0,8.9,62204.0,59.4,57.3,,,,,,,,,,,,,,,,,
1951-11-01,0.5,,,,1233.0,630.0,161.0,2178.0,9.7,62014.0,59.2,57.1,,,,,,,,,,,,,,,,,
1951-12-01,0.4,,,,1138.0,569.0,166.0,1960.0,9.3,62457.0,59.6,57.7,,,,,,,,,,,,,,,,,
1952-01-01,0.5,,,,1066.0,549.0,178.0,1972.0,9.3,62432.0,59.5,57.7,,,,,,,,,,,,,,,,,
1952-02-01,0.4,,,,1181.0,541.0,160.0,1957.0,8.8,62419.0,59.5,57.7,,,,,,,,,,,,,,,,,
1952-03-01,0.4,,,,1150.0,477.0,147.0,1813.0,8.4,61721.0,58.9,57.1,,,,,,,,,,,,,,,,,
1952-04-01,0.4,,,,1137.0,480.0,124.0,1811.0,9.0,61720.0,58.8,57.1,,,,,,,,,,,,,,,,,
1952-05-01,0.4,,,,1179.0,511.0,136.0,1863.0,7.8,62058.0,59.1,57.3,,,,,,,,,,,,,,,,,
1952-06-01,0.3,,,,1196.0,482.0,142.0,1884.0,7.3,62103.0,59.1,57.3,,,,,,,,,,,,,,,,,
1952-07-01,0.3,,,,1187.0,573.0,127.0,1991.0,7.5,61962.0,58.9,57.0,,,,,,,,,,,,,,,,,
1952-08-01,0.3,,,,1270.0,584.0,149.0,2087.0,7.6,61877.0,58.7,56.8,,,,,,,,,,,,,,,,,
1952-09-01,0.4,,,,1130.0,541.0,185.0,1936.0,8.1,62457.0,59.2,57.4,,,,,,,,,,,,,,,,,
1952-10-01,0.4,,,,1050.0,548.0,142.0,1839.0,9.1,61971.0,58.7,56.9,,,,,,,,,,,,,,,,,
1952-11-01,0.3,,,,1017.0,493.0,149.0,1743.0,9.5,62491.0,59.1,57.5,,,,,,,,,,,,,,,,,
1952-12-01,0.4,,,,1044.0,406.0,134.0,1667.0,8.8,62621.0,59.2,57.6,,,,,,,,,,,,,,,,,
1953-01-01,0.4,,,,1059.0,469.0,181.0,1839.0,9.3,63439.0,59.5,57.8,,,,,,,,,,,,,,,,,
1953-02-01,0.3,,,,1068.0,409.0,127.0,1636.0,8.4,63520.0,59.5,58.0,,,,,,,,,,,,,,,,,
1953-03-01,0.3,,,,1029.0,445.0,129.0,1647.0,8.5,63657.0,59.6,58.1,,,,,,,,,,,,,,,,,
1953-04-01,0.3,,,,1131.0,486.0,110.0,1723.0,7.8,63167.0,59.1,57.5,,,,,,,,,,,,,,,,,
1953-05-01,0.3,,,,973.0,494.0,128.0,1596.0,7.9,62615.0,58.6,57.1,,,,,,,,,,,,,,,,,
1953-06-01,0.3,,,,985.0,406.0,120.0,1607.0,8.2,63063.0,58.9,57.4,,,,,,,,,,,,,,,,,
1953-07-01,0.3,,,,1002.0,453.0,96.0,1660.0,7.9,63057.0,58.9,57.4,,,,,,,,,,,,,,,,,
1953-08-01,0.3,,,,1076.0,394.0,111.0,1665.0,8.0,62816.0,58.6,57.1,,,,,,,,,,,,,,,,,
1953-09-01,0.3,,,,1163.0,446.0,110.0,1821.0,7.1,62727.0,58.5,56.8,,,,,,,,,,,,,,,,,
1953-10-01,0.3,,,,1242.0,497.0,124.0,1974.0,7.2,62867.0,58.5,56.7,,,,,,,,,,,,,,,,,
1953-11-01,0.4,,,,1307.0,591.0,163.0,2211.0,7.9,62949.0,58.6,56.5,,,,,,,,,,,,,,,,,
1953-12-01,0.5,,,,1761.0,752.0,197.0,2818.0,8.0,62795.0,58.3,55.7,,,,,,,,,,,,,,,,,
1954-01-01,0.6,,,,1631.0,962.0,226.0,3077.0,8.7,63101.0,58.6,55.7,,,,,,,,,,,,,,,,,
1954-02-01,0.8,,,,1706.0,1080.0,380.0,3331.0,9.5,63994.0,59.3,56.2,,,,,,,,,,,,,,,,,
1954-03-01,1.2,,,,1729.0,1083.0,533.0,3607.0,10.6,63793.0,59.1,55.7,,,,,,,,,,,,,,,,,
1954-04-01,1.2,,,,1725.0,1183.0,496.0,3749.0,10.9,63934.0,59.2,55.7,,,,,,,,,,,,,,,,,
1954-05-01,1.4,,,,1643.0,1218.0,562.0,3767.0,11.6,63675.0,58.9,55.4,,,,,,,,,,,,,,,,,
1954-06-01,1.4,,,,1573.0,1141.0,563.0,3551.0,12.3,63343.0,58.5,55.2,,,,,,,,,,,,,,,,,
1954-07-01,1.5,,,,1623.0,1043.0,603.0,3659.0,12.5,63302.0,58.4,55.0,,,,,,,,,,,,,,,,,
1954-08-01,1.6,,,,1587.0,1233.0,582.0,3854.0,12.8,63707.0,58.7,55.2,,,,,,,,,,,,,,,,,
1954-09-01,1.6,,,,1640.0,1412.0,585.0,3927.0,12.9,64209.0,59.2,55.5,,,,,,,,,,,,,,,,,
1954-10-01,1.6,,,,1535.0,1136.0,555.0,3666.0,13.3,63936.0,58.8,55.5,,,,,,,,,,,,,,,,,
1954-11-01,1.5,,,,1457.0,1069.0,546.0,3402.0,13.2,63759.0,58.6,55.5,,,,,,,,,,,,,,,,,
1954-12-01,1.3,,,,1414.0,1014.0,434.0,3196.0,13.4,63312.0,58.1,55.2,,,,,,,,,,,,,,,,,
1955-01-01,1.4,,,,1398.0,879.0,461.0,3157.0,13.4,63910.0,58.6,55.7,,,,,,,,,,,,,,,,,
1955-02-01,1.3,,,,1296.0,857.0,387.0,2969.0,14.2,63696.0,58.4,55.7,,,,,,,,,,,,,,,,,
1955-03-01,1.3,,,,1184.0,873.0,432.0,2918.0,13.4,63882.0,58.5,55.8,,,,,,,,,,,,,,,,,
1955-04-01,1.3,,,,1301.0,848.0,411.0,3049.0,14.3,64564.0,59.0,56.2,,,,,,,,,,,,,,,,,
1955-05-01,1.1,,,,1295.0,678.0,380.0,2747.0,14.4,64381.0,58.8,56.3,,,,,,,,,,,,2063.0,,,,,
1955-06-01,1.0,,,,1305.0,781.0,333.0,2701.0,13.4,64482.0,58.8,56.3,,,,,,,,,,,,1982.0,,,,,
1955-07-01,1.0,,,,1282.0,679.0,343.0,2632.0,13.8,65145.0,59.3,56.9,,,,,,,,,,,,2123.0,,,,,
1955-08-01,0.8,,,,1445.0,784.0,260.0,2784.0,12.3,65581.0,59.7,57.1,,,,,,,,,,,,2203.0,,,,,
1955-09-01,0.9,,,,1357.0,807.0,308.0,2678.0,11.7,65628.0,59.7,57.2,,,,,,,,,,,,2133.0,,,,,
1955-10-01,0.9,,,,1429.0,845.0,328.0,2830.0,11.5,65821.0,59.8,57.2,,,,,,,,,,,,2093.0,,,,,
1955-11-01,0.9,,,,1386.0,841.0,289.0,2780.0,11.3,66037.0,59.9,57.4,,,,,,,,,,,,2199.0,,,,,
1955-12-01,0.9,,,,1338.0,840.0,295.0,2761.0,12.0,66445.0,60.2,57.7,,,,,,,,,,,,2149.0,,,,,
1956-01-01,0.8,,,,1336.0,715.0,310.0,2666.0,11.7,66419.0,60.2,57.8,,,,,,,,,,,,2149.0,,,,,
1956-02-01,0.8,,,,1289.0,774.0,269.0,2606.0,12.5,66124.0,59.9,57.5,,,,,,,,,,,,2087.0,,,,,
1956-03-01,0.8,,,,1502.0,789.0,280.0,2764.0,11.6,66175.0,59.8,57.3,,,,,,,,,,,,1980.0,,,,,
1956-04-01,0.7,,,,1353.0,824.0,271.0,2650.0,11.0,66264.0,59.9,57.5,,,,,,,,,,,,2051.0,,,,,
1956-05-01,0.8,,,,1483.0,918.0,305.0,2861.0,10.4,66722.0,60.2,57.6,,,,,,,,,,,,2194.0,,,,,
1956-06-01,0.8,,,,1505.0,967.0,330.0,2882.0,10.1,66702.0,60.1,57.5,,,,,,,,,,,,2331.0,,,,,
1956-07-01,0.8,,,,1469.0,906.0,317.0,2952.0,10.5,66752.0,60.1,57.5,,,,,,,,,,,,2287.0,,,,,
1956-08-01,0.8,,,,1376.0,786.0,308.0,2701.0,12.0,66673.0,60.0,57.6,,,,,,,,,,,,2353.0,,,,,
1956-09-01,0.9,,,,1356.0,726.0,335.0,2635.0,11.8,66714.0,60.0,57.6,,,,,,,,,,,,2399.0,,,,,
1956-10-01,0.8,,,,1319.0,742.0,283.0,2571.0,11.6,66546.0,59.8,57.5,,,,,,,,,,,,2417.0,,,,,
1956-11-01,0.9,,,,1481.0,751.0,338.0,2861.0,10.9,66657.0,59.8,57.3,,,,,,,,,,,,2414.0,,,,,
1956-12-01,0.9,,,,1446.0,790.0,308.0,2790.0,11.4,66700.0,59.8,57.3,,,,,,,,,,,,2306.0,,,,,
1957-01-01,0.8,,,,1373.0,857.0,331.0,2796.0,10.4,66428.0,59.5,57.0,,,,,,,,,,,,2283.0,,,,,
1957-02-01,0.8,,,,1293.0,793.0,305.0,2622.0,10.7,66879.0,59.9,57.5,,,,,,,,,,,,2426.0,,,,,
1957-03-01,0.8,,,,1241.0,785.0,296.0,2509.0,10.8,66913.0,59.8,57.6,,,,,,,,,,,,2435.0,,,,,
1957-04-01,0.8,,,,1335.0,738.0,283.0,2600.0,10.6,66647.0,59.5,57.2,,,,,,,,,,,,2283.0,,,,,
1957-05-01,0.8,,,,1423.0,776.0,299.0,2710.0,10.4,66695.0,59.5,57.1,,,,,,,,,,,,2377.0,,,,,
1957-06-01,0.8,,,,1392.0,1008.0,266.0,2856.0,10.2,67052.0,59.8,57.2,,,,,,,,,,,,2476.0,,,,,
1957-07-01,0.8,,,,1366.0,871.0,281.0,2796.0,10.1,67336.0,60.0,57.5,,,,,,,,,,,,2449.0,,,,,
1957-08-01,0.8,,,,1395.0,810.0,310.0,2747.0,10.5,66706.0,59.3,56.9,,,,,,,,,,,,2440.0,,,,,
1957-09-01,0.8,,,,1484.0,925.0,338.0,2943.0,9.8,67064.0,59.6,57.0,,,,,,,,,,,,2484.0,,,,,
1957-10-01,1.0,,,,1399.0,1000.0,357.0,3020.0,11.1,67066.0,59.5,56.8,,,,,,,,,,,,2641.0,,,,,
1957-11-01,1.0,,,,1598.0,1113.0,397.0,3454.0,10.4,67123.0,59.5,56.4,,,,,,,,,,,,2643.0,,,,,
1957-12-01,1.1,,,,1585.0,1190.0,471.0,3476.0,10.4,67398.0,59.6,56.6,,,,,,,,,,,,2712.0,,,,,
1958-01-01,1.3,,,,1701.0,1278.0,581.0,3875.0,10.5,67095.0,59.3,55.9,,,,,,,,,,,,3291.0,,,,,
1958-02-01,1.5,,,,1883.0,1429.0,657.0,4303.0,11.0,67201.0,59.3,55.5,,,,,,,,,,,,3437.0,,,,,
1958-03-01,1.7,,,,1933.0,1483.0,776.0,4492.0,11.2,67223.0,59.3,55.3,,,,,,,,,,,,3972.0,,,,,
1958-04-01,2.1,,,,1881.0,1588.0,876.0,5016.0,12.1,67647.0,59.6,55.2,,,,,,,,,,,,3743.0,,,,,
1958-05-01,2.2,,,,1855.0,1590.0,922.0,5021.0,13.1,67895.0,59.8,55.4,,,,,,,,,,,,3602.0,,,,,
1958-06-01,2.5,,,,1755.0,1536.0,970.0,4944.0,14.4,67674.0,59.5,55.2,,,,,,,,,,,,3340.0,,,,,
1958-07-01,2.6,,,,1818.0,1433.0,958.0,5079.0,14.6,67824.0,59.6,55.2,,,,,,,,,,,,2955.0,,,,,
1958-08-01,2.8,,,,1760.0,1407.0,926.0,5025.0,15.7,68037.0,59.8,55.4,,,,,,,,,,,,3178.0,,,,,
1958-09-01,2.6,,,,1626.0,1488.0,778.0,4821.0,16.5,68002.0,59.7,55.4,,,,,,,,,,,,3166.0,,,,,
1958-10-01,2.5,,,,1643.0,1239.0,778.0,4570.0,16.5,68045.0,59.6,55.6,,,,,,,,,,,,2969.0,,,,,
1958-11-01,2.3,,,,1531.0,1130.0,745.0,4188.0,16.4,67658.0,59.2,55.5,,,,,,,,,,,,2805.0,,,,,
1958-12-01,2.2,,,,1692.0,1135.0,663.0,4191.0,15.7,67740.0,59.2,55.5,,,,,,,,,,,,2825.0,,,,,
1959-01-01,2.1,,,,1574.0,1169.0,594.0,4068.0,16.3,67936.0,59.3,55.7,,,,,,,,,,,,2749.0,,,,,
1959-02-01,1.9,,,,1554.0,1164.0,545.0,3965.0,15.5,67649.0,59.0,55.5,,,,,,,,,,,,2515.0,,,,,
1959-03-01,1.8,,,,1459.0,1093.0,530.0,3801.0,15.3,68068.0,59.3,56.0,,,,,,,,,,,,2846.0,,,,,
1959-04-01,1.5,,,,1494.0,934.0,408.0,3571.0,14.9,68339.0,59.4,56.3,,,,,,,,,,,,2592.0,,,,,
1959-05-01,1.4,,,,1479.0,1005.0,390.0,3479.0,14.7,68178.0,59.2,56.2,,,,,,,,,,,,2353.0,,,,,
1959-06-01,1.4,,,,1522.0,963.0,415.0,3429.0,14.9,68278.0,59.2,56.3,,,,,,,,,,,,2543.0,,,,,
1959-07-01,1.3,,,,1591.0,1047.0,394.0,3528.0,14.3,68539.0,59.4,56.3,,,,,,,,,,,,2668.0,,,,,
1959-08-01,1.3,,,,1607.0,1113.0,407.0,3588.0,13.7,68432.0,59.2,56.1,,,,,,,,,,,,2599.0,,,,,
1959-09-01,1.3,,,,1602.0,1275.0,449.0,3775.0,13.7,68545.0,59.3,56.0,,,,,,,,,,,,2507.0,,,,,
1959-10-01,1.3,,,,1750.0,1292.0,436.0,3910.0,12.9,68821.0,59.4,56.1,,,,,,,,,,,,2730.0,,,,,
1959-11-01,1.4,,,,1745.0,1205.0,505.0,4003.0,13.1,68533.0,59.1,55.7,,,,,,,,,,,,2799.0,,,,,
1959-12-01,1.3,,,,1657.0,1122.0,453.0,3653.0,13.1,68994.0,59.5,56.3,,,,,,,,,,,,2734.0,,,,,
1960-01-01,1.3,,,,1638.0,1045.0,450.0,3615.0,13.5,68962.0,59.1,56.0,,,,,,,,,,,,2507.0,,,,,
1960-02-01,1.2,,,,1431.0,1034.0,412.0,3329.0,13.1,68949.0,59.1,56.2,,,,,,,,,,,,2565.0,,,,,
1960-03-01,1.4,,,,1666.0,1120.0,519.0,3726.0,13.0,68399.0,58.5,55.4,,,,,,,,,,,,2405.0,,,,,
1960-04-01,1.3,,,,1735.0,1002.0,465.0,3620.0,12.6,69579.0,59.5,56.4,,,,,,,,,,,,2769.0,,,,,
1960-05-01,1.1,,,,1718.0,1074.0,408.0,3569.0,11.9,69626.0,59.5,56.4,,,,,,,,,,,,2733.0,,,,,
1960-06-01,1.2,,,,1738.0,1182.0,458.0,3766.0,11.9,69934.0,59.7,56.5,,,,,,,,,,,,2904.0,,,,,
1960-07-01,1.3,,,,1709.0,1184.0,521.0,3836.0,12.6,69745.0,59.5,56.2,,,,,,,,,,,,2830.0,,,,,
1960-08-01,1.3,,,,1746.0,1287.0,517.0,3946.0,12.2,69841.0,59.5,56.1,,,,,,,,,,,,2933.0,,,,,
1960-09-01,1.4,,,,1677.0,1213.0,516.0,3884.0,12.9,70151.0,59.7,56.4,,,,,,,,,,,,3071.0,,,,,
1960-10-01,1.7,,,,1766.0,1282.0,623.0,4252.0,13.5,69884.0,59.4,55.8,,,,,,,,,,,,3069.0,,,,,
1960-11-01,1.7,,,,1718.0,1367.0,673.0,4330.0,13.9,70439.0,59.8,56.1,,,,,,,,,,,,3119.0,,,,,
1960-12-01,1.6,,,,2102.0,1468.0,588.0,4617.0,12.4,70395.0,59.7,55.7,,,,,,,,,,,,3305.0,,,,,
1961-01-01,1.9,,,,1884.0,1477.0,688.0,4671.0,13.7,70447.0,59.6,55.7,,,,,,,,,,,,3428.0,,,,,
1961-02-01,2.0,,,,2037.0,1407.0,751.0,4832.0,13.6,70420.0,59.6,55.5,,,,,,,,,,,,3561.0,,,,,
1961-03-01,2.1,,,,1863.0,1476.0,769.0,4853.0,14.1,70703.0,59.7,55.6,,,,,,,,,,,,3325.0,,,,,
1961-04-01,2.3,,,,1729.0,1427.0,796.0,4893.0,15.5,70267.0,59.3,55.2,,,,,,,,,,,,3295.0,,,,,
1961-05-01,2.4,,,,1748.0,1432.0,827.0,5003.0,15.6,70452.0,59.4,55.2,,,,,,,,,,,,3269.0,,,,,
1961-06-01,2.3,,,,1841.0,1419.0,723.0,4885.0,16.2,70878.0,59.7,55.6,,,,,,,,,,,,3151.0,,,,,
1961-07-01,2.6,,,,1789.0,1356.0,839.0,4928.0,17.3,70536.0,59.3,55.2,,,,,,,,,,,,3035.0,,,,,
1961-08-01,2.3,,,,1701.0,1387.0,749.0,4682.0,17.0,70534.0,59.3,55.3,,,,,,,,,,,,3152.0,,,,,
1961-09-01,2.2,,,,1859.0,1297.0,686.0,4676.0,16.1,70217.0,59.0,55.0,,,,,,,,,,,,2976.0,,,,,
1961-10-01,2.1,,,,1811.0,1288.0,659.0,4573.0,15.9,70492.0,59.1,55.3,,,,,,,,,,,,2913.0,,,,,
1961-11-01,2.0,,,,1638.0,1269.0,622.0,4295.0,17.0,70376.0,59.1,55.5,,,,,,,,,,,,2875.0,,,,,
1961-12-01,1.9,,,,1734.0,1175.0,623.0,4177.0,15.8,70077.0,58.8,55.3,,,,,,,,,,,,2645.0,,,,,
1962-01-01,1.8,,,,1701.0,1161.0,561.0,4081.0,15.3,70189.0,58.8,55.4,,,,,,,,,,,,2392.0,,,,,
1962-02-01,1.8,,,,1504.0,1118.0,561.0,3871.0,16.0,70409.0,59.0,55.7,,,,,,,,,,,,2631.0,,,,,
1962-03-01,1.7,,,,1721.0,1049.0,523.0,3921.0,15.0,70414.0,58.9,55.7,,,,,,,,,,,,2783.0,,,,,
1962-04-01,1.6,,,,1629.0,1105.0,499.0,3906.0,14.9,70278.0,58.7,55.4,,,,,,,,,,,,2596.0,,,,,
1962-05-01,1.6,,,,1543.0,1131.0,507.0,3863.0,15.5,70551.0,58.9,55.7,,,,,,,,,,,,2756.0,,,,,
1962-06-01,1.5,,,,1598.0,1101.0,506.0,3844.0,15.1,70514.0,58.8,55.6,,,,,,,,,,,,2683.0,,,,,
1962-07-01,1.5,,,,1592.0,1142.0,484.0,3819.0,14.6,70302.0,58.5,55.3,,,,,,,,,,,,2759.0,,,,,
1962-08-01,1.5,,,,1731.0,1238.0,485.0,4013.0,14.5,70981.0,59.0,55.7,,,,,,,,,,,,2626.0,,,,,
1962-09-01,1.5,,,,1749.0,1192.0,567.0,3961.0,14.1,71153.0,59.0,55.7,,,,,,,,,,,,2675.0,,,,,
1962-10-01,1.4,,,,1636.0,1144.0,516.0,3803.0,14.1,70917.0,58.7,55.5,,,,,,,,,,,,2704.0,,,,,
1962-11-01,1.5,,,,1838.0,1076.0,611.0,4024.0,13.3,70871.0,58.5,55.2,,,,,,,,,,,,2714.0,,,,,
1962-12-01,1.5,,,,1732.0,1171.0,558.0,3907.0,13.6,70854.0,58.4,55.2,,,,,,,,,,,,2575.0,,,,,
1963-01-01,1.6,,,,1730.0,1253.0,578.0,4074.0,13.8,71146.0,58.6,55.2,,,,,,,,,,,,2613.0,,,,,
1963-02-01,1.6,,,,1858.0,1283.0,540.0,4238.0,14.1,71262.0,58.6,55.1,,,,,,,,,,,,2560.0,,,,,
1963-03-01,1.5,,,,1701.0,1266.0,488.0,4072.0,14.5,71423.0,58.6,55.3,,,,,,,,,,,,2645.0,,,,,
1963-04-01,1.5,,,,1717.0,1226.0,480.0,4055.0,14.5,71697.0,58.8,55.5,,,,,,,,,,,,2644.0,,,,,
1963-05-01,1.6,,,,1870.0,1160.0,552.0,4217.0,14.5,71832.0,58.8,55.3,,,,,,,,,,,,2571.0,,,,,
1963-06-01,1.5,,,,1719.0,1259.0,567.0,3977.0,14.0,71626.0,58.5,55.3,,,,,,,,,,,,2627.0,,,,,
1963-07-01,1.5,,,,1693.0,1289.0,522.0,4051.0,14.0,71956.0,58.7,55.4,,,,,,,,,,,,2482.0,,,,,
1963-08-01,1.6,,,,1677.0,1150.0,593.0,3878.0,13.9,71786.0,58.5,55.4,,,,,,,,,,,,2740.0,,,,,
1963-09-01,1.5,,,,1695.0,1225.0,510.0,3957.0,14.2,72131.0,58.7,55.5,,,,,,,,,,,,2723.0,,,,,
1963-10-01,1.5,,,,1738.0,1163.0,541.0,3987.0,13.9,72281.0,58.8,55.5,,,,,,,,,,,,2647.0,,,,,
1963-11-01,1.5,,,,1859.0,1227.0,533.0,4151.0,13.3,72418.0,58.8,55.4,,,,,,,,,,,,2623.0,,,,,
1963-12-01,1.4,,,,1774.0,1213.0,517.0,3975.0,13.3,72188.0,58.5,55.3,,,,,,,,,,,,2580.0,,,,,
1964-01-01,1.5,,,,1805.0,1156.0,553.0,4029.0,13.5,72356.0,58.6,55.3,,2.5,,,,,,,,,,2428.0,,,,,
1964-02-01,1.4,,,,1708.0,1216.0,528.0,3932.0,13.2,72683.0,58.8,55.6,,2.5,,,,,,,,,,2567.0,,,,,
1964-03-01,1.4,,,,1783.0,1124.0,534.0,3950.0,13.5,72713.0,58.7,55.5,,2.51,,,,,,,,,,2467.0,,,,,
1964-04-01,1.3,,,,1767.0,1192.0,464.0,3918.0,12.4,73274.0,59.1,55.9,,2.52,,,,,,,,,,2562.0,,,,,
1964-05-01,1.3,,,,1681.0,1094.0,471.0,3764.0,13.6,73395.0,59.1,56.1,,2.52,,,,,,,,,,2539.0,,,,,
