date,Total Housing Completions,Single-Family Completions,5+ Unit Completions
2025-01-01,1651.0,1003.0,630.0
2025-02-01,1565.0,1022.0,530.0
2025-03-01,1566.0,1048.0,497.0
2025-04-01,1475.0,964.0,500.0
2025-05-01,1542.0,1056.0,468.0
2025-06-01,1385.0,920.0,442.0
2025-07-01,1455.0,1006.0,442.0
2025-08-01,1556.0,1064.0,473.0
2025-09-01,1372.0,944.0,413.0
2025-10-01,1430.0,1028.0,389.0
2025-11-01,1463.0,1013.0,435.0
2025-12-01,1457.0,980.0,458.0
2026-01-01,1527.0,970.0,532.0
