date,National Home Price Index,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington DC
1987-01-01,63.962,,70.266973096972,63.559023877681,54.206478764314,54.057392600483,,50.348016973033,,66.418965974074,59.426224372887,68.547904803047,,74.678440161608,,41.304891231601,54.794111508964,46.955792489659,,77.441937977952,64.410215062128
1987-02-01,64.42,,70.640677975989,64.028844128282,55.227274135326,54.2292182731,,50.160468135396,,67.574198332082,59.894860887982,68.919118886508,,76.043687003134,,41.444214554768,55.215118533473,47.302674799206,,78.100045654988,65.132330619397
1987-03-01,64.732,,71.046773504037,64.105242405267,54.811034097686,54.365756208393,,50.383477855699,,67.850131705622,60.401073202107,69.388051991249,,77.237075313105,,41.415249417728,55.487803264105,47.840212928966,,77.687494984183,65.997852810846
1987-04-01,65.13,,71.41157143055,64.89298972198,54.801947384645,54.155370171169,,50.744627537595,,68.186064200355,61.324333701668,69.46346089881,,78.281526875582,,41.27378560428,56.049778406565,47.984057701756,,77.819978481068,66.638734303829
1987-05-01,65.561,,71.882710791649,65.222789551742,55.477466174028,54.726191983706,,50.763537884962,,67.927091163572,62.030914554604,69.746282258685,,79.675330593957,,41.395046412498,56.4620986304,48.305065129391,,77.965267256359,67.444725631397
1987-06-01,66.07,,72.295931836365,65.561362382946,56.059766704256,54.881062613198,,50.432334947245,,66.799394459721,62.776563627558,69.47376118996,,80.839801590225,,41.433399078254,56.787555534304,48.605786861179,,78.682512152046,68.516923450951
1987-07-01,66.506,,72.620964407765,65.722753494782,57.109366529394,55.2878915489,,50.203942887787,,65.762941096309,63.456109467963,69.641667391394,,81.695066988832,,41.557098789442,57.075956261706,49.084565779988,,78.992990112208,69.387165324854
1987-08-01,66.937,,73.162915823632,65.872997079377,57.612209398831,55.444476158985,,50.12122157841,,65.031976789191,64.130622681704,69.804720549259,,82.220057957436,,41.599282255807,57.380247366171,49.542592009624,,78.946442472911,70.25445289451
1987-09-01,67.33,,73.748812848762,66.272558438151,58.270367998261,55.842105673218,,50.058281241182,,65.276941395734,64.893627017966,70.567759665368,,82.38397594988,,41.54107871969,57.843330978825,50.2412878147,,79.041005925493,71.395733637266
1987-10-01,67.739,,74.006600741264,66.592512063632,59.006378880118,56.128175608537,,50.146078705334,,65.511715904132,65.771604204534,71.020230134941,,83.1564060951,,41.629336419662,58.295686249381,50.992698180037,,78.871550348844,72.318104192893
1987-11-01,68.107,,74.418068197246,67.119647352524,59.71248845492,56.463281287822,,49.733600569423,,66.530241983856,66.712553785063,71.424939302393,,83.677331332263,,41.574155664859,58.901274039166,51.641130556382,,79.017297757476,73.15863879252
1987-12-01,68.507,,74.579602213844,67.377294229592,61.075387998962,56.606545660658,,49.854955487806,,66.491946790415,67.777701225837,71.458437196466,,84.501347807948,,41.802696838757,59.404457132088,52.229110582827,,79.359679292797,73.585563003333
