date,New Single-Family Homes Sold (SAAR),Median Sales Price - New Homes,Average Sales Price - New Homes,Months Supply of New Houses,New Houses For Sale (SAAR)
2020-08-01,1016.0,321400.0,390600.0,3.4,284.0
2020-09-01,979.0,332200.0,411300.0,3.5,284.0
2020-10-01,1031.0,335000.0,394400.0,3.3,281.0
2020-11-01,877.0,333600.0,397500.0,3.9,288.0
2020-12-01,874.0,339300.0,386800.0,4.1,297.0
2021-01-01,898.0,354800.0,411900.0,4.1,304.0
2021-02-01,778.0,351400.0,423700.0,4.8,310.0
2021-03-01,871.0,342700.0,408100.0,4.3,309.0
2021-04-01,828.0,364400.0,427100.0,4.6,318.0
2021-05-01,725.0,372700.0,429300.0,5.5,330.0
2021-06-01,695.0,361100.0,422200.0,6.0,348.0
2021-07-01,726.0,385000.0,437000.0,6.0,362.0
2021-08-01,686.0,402700.0,493100.0,6.6,377.0
2021-09-01,728.0,398500.0,462900.0,6.2,375.0
2021-10-01,684.0,416800.0,479500.0,6.8,385.0
2021-11-01,789.0,419600.0,493700.0,5.9,390.0
2021-12-01,825.0,410600.0,501900.0,5.6,387.0
2022-01-01,807.0,413600.0,487800.0,5.8,393.0
2022-02-01,788.0,402300.0,495700.0,6.0,396.0
2022-03-01,720.0,420100.0,493200.0,6.8,408.0
2022-04-01,624.0,439500.0,538000.0,8.3,433.0
2022-05-01,644.0,429400.0,508900.0,8.2,439.0
2022-06-01,549.0,431700.0,501900.0,9.7,446.0
2022-07-01,519.0,442900.0,541200.0,10.6,460.0
2022-08-01,638.0,431900.0,515600.0,8.7,463.0
2022-09-01,552.0,434200.0,496400.0,10.1,465.0
2022-10-01,579.0,460300.0,526000.0,9.7,467.0
2022-11-01,597.0,427700.0,506100.0,9.2,457.0
2022-12-01,621.0,427900.0,516100.0,8.7,452.0
2023-01-01,650.0,408200.0,486900.0,8.1,439.0
2023-02-01,636.0,433300.0,499100.0,8.2,436.0
2023-03-01,651.0,438900.0,519600.0,7.9,431.0
2023-04-01,665.0,417200.0,500900.0,7.7,429.0
2023-05-01,739.0,421200.0,495800.0,6.9,426.0
2023-06-01,674.0,417600.0,507800.0,7.7,430.0
2023-07-01,702.0,435800.0,507600.0,7.3,426.0
2023-08-01,645.0,440900.0,530400.0,8.0,428.0
2023-09-01,681.0,426100.0,515000.0,7.7,437.0
2023-10-01,681.0,417500.0,498800.0,7.8,442.0
2023-11-01,610.0,429600.0,489000.0,8.8,448.0
2023-12-01,643.0,418300.0,493000.0,8.4,452.0
2024-01-01,681.0,430400.0,527800.0,8.1,459.0
2024-02-01,658.0,420900.0,509700.0,8.4,462.0
2024-03-01,692.0,436400.0,522500.0,8.1,465.0
2024-04-01,719.0,415300.0,500600.0,7.7,464.0
2024-05-01,665.0,414300.0,499300.0,8.5,469.0
2024-06-01,671.0,414000.0,495500.0,8.4,471.0
2024-07-01,710.0,429000.0,513200.0,7.9,465.0
2024-08-01,693.0,405800.0,475600.0,8.2,471.0
2024-09-01,717.0,421100.0,505800.0,7.9,473.0
2024-10-01,621.0,426300.0,521900.0,9.3,480.0
2024-11-01,675.0,397600.0,483000.0,8.7,488.0
2024-12-01,718.0,423000.0,508900.0,8.2,489.0
2025-01-01,662.0,429600.0,518200.0,9.0,496.0
2025-02-01,642.0,415100.0,499100.0,9.3,499.0
2025-03-01,660.0,412900.0,509200.0,9.2,504.0
2025-04-01,706.0,413600.0,514300.0,8.5,500.0
2025-05-01,627.0,424800.0,514800.0,9.6,504.0
2025-06-01,662.0,409200.0,508700.0,9.1,502.0
2025-07-01,639.0,397300.0,482800.0,9.3,496.0
2025-08-01,706.0,417900.0,525100.0,8.4,492.0
2025-09-01,719.0,416800.0,506800.0,8.1,486.0
2025-10-01,656.0,403200.0,521200.0,9.0,489.0
2025-11-01,758.0,397600.0,530200.0,7.7,484.0
2025-12-01,745.0,414400.0,532600.0,7.6,474.0
2026-01-01,587.0,400500.0,499500.0,9.7,476.0
