date,Median Household Income (current $),Real Median Household Income (2024 $),Average Hourly Earnings (Total Private),Real Disposable Personal Income Per Capita
1959-01-01,,,,13186.0
1959-02-01,,,,13209.0
1959-03-01,,,,13267.0
1959-04-01,,,,13336.0
1959-05-01,,,,13392.0
1959-06-01,,,,13419.0
1959-07-01,,,,13379.0
1959-08-01,,,,13280.0
1959-09-01,,,,13264.0
1959-10-01,,,,13254.0
1959-11-01,,,,13331.0
1959-12-01,,,,13443.0
1960-01-01,,,,13441.0
1960-02-01,,,,13413.0
1960-03-01,,,,13400.0
1960-04-01,,,,13425.0
1960-05-01,,,,13429.0
1960-06-01,,,,13417.0
1960-07-01,,,,13417.0
1960-08-01,,,,13365.0
1960-09-01,,,,13365.0
1960-10-01,,,,13397.0
1960-11-01,,,,13325.0
1960-12-01,,,,13250.0
1961-01-01,,,,13365.0
1961-02-01,,,,13405.0
1961-03-01,,,,13444.0
1961-04-01,,,,13454.0
1961-05-01,,,,13546.0
1961-06-01,,,,13668.0
1961-07-01,,,,13695.0
1961-08-01,,,,13676.0
1961-09-01,,,,13667.0
1961-10-01,,,,13791.0
1961-11-01,,,,13900.0
1961-12-01,,,,13968.0
1962-01-01,,,,13916.0
1962-02-01,,,,13963.0
1962-03-01,,,,14040.0
1962-04-01,,,,14086.0
1962-05-01,,,,14077.0
1962-06-01,,,,14062.0
1962-07-01,,,,14106.0
1962-08-01,,,,14099.0
1962-09-01,,,,14083.0
1962-10-01,,,,14133.0
1962-11-01,,,,14154.0
1962-12-01,,,,14204.0
1963-01-01,,,,14290.0
1963-02-01,,,,14192.0
1963-03-01,,,,14238.0
1963-04-01,,,,14281.0
1963-05-01,,,,14319.0
1963-06-01,,,,14374.0
1963-07-01,,,,14372.0
1963-08-01,,,,14410.0
1963-09-01,,,,14497.0
1963-10-01,,,,14562.0
1963-11-01,,,,14575.0
1963-12-01,,,,14677.0
1964-01-01,,,,14711.0
1964-02-01,,,,14743.0
1964-03-01,,,,15078.0
1964-04-01,,,,15144.0
1964-05-01,,,,15207.0
1964-06-01,,,,15239.0
1964-07-01,,,,15293.0
1964-08-01,,,,15341.0
1964-09-01,,,,15382.0
1964-10-01,,,,15359.0
1964-11-01,,,,15442.0
1964-12-01,,,,15575.0
1965-01-01,,,,15591.0
1965-02-01,,,,15582.0
1965-03-01,,,,15621.0
1965-04-01,,,,15624.0
1965-05-01,,,,15781.0
1965-06-01,,,,15787.0
1965-07-01,,,,15934.0
1965-08-01,,,,15994.0
1965-09-01,,,,16392.0
1965-10-01,,,,16294.0
1965-11-01,,,,16394.0
1965-12-01,,,,16447.0
1966-01-01,,,,16445.0
1966-02-01,,,,16501.0
1966-03-01,,,,16552.0
1966-04-01,,,,16475.0
1966-05-01,,,,16485.0
1966-06-01,,,,16538.0
1966-07-01,,,,16579.0
1966-08-01,,,,16646.0
1966-09-01,,,,16726.0
1966-10-01,,,,16763.0
1966-11-01,,,,16824.0
1966-12-01,,,,16795.0
1967-01-01,,,,16954.0
1967-02-01,,,,16974.0
1967-03-01,,,,17088.0
1967-04-01,,,,17068.0
1967-05-01,,,,17089.0
1967-06-01,,,,17137.0
1967-07-01,,,,17189.0
1967-08-01,,,,17234.0
1967-09-01,,,,17214.0
1967-10-01,,,,17224.0
1967-11-01,,,,17313.0
1967-12-01,,,,17331.0
1968-01-01,,,,17413.0
1968-02-01,,,,17528.0
1968-03-01,,,,17680.0
1968-04-01,,,,17728.0
1968-05-01,,,,17786.0
1968-06-01,,,,17851.0
1968-07-01,,,,17798.0
1968-08-01,,,,17804.0
1968-09-01,,,,17789.0
1968-10-01,,,,17835.0
1968-11-01,,,,17887.0
1968-12-01,,,,17936.0
1969-01-01,,,,17892.0
1969-02-01,,,,17885.0
1969-03-01,,,,17904.0
1969-04-01,,,,17864.0
1969-05-01,,,,18052.0
1969-06-01,,,,18164.0
1969-07-01,,,,18274.0
1969-08-01,,,,18367.0
1969-09-01,,,,18389.0
1969-10-01,,,,18414.0
1969-11-01,,,,18429.0
1969-12-01,,,,18446.0
1970-01-01,,,,18529.0
1970-02-01,,,,18573.0
1970-03-01,,,,18629.0
1970-04-01,,,,18806.0
1970-05-01,,,,18710.0
1970-06-01,,,,18728.0
1970-07-01,,,,18972.0
1970-08-01,,,,19010.0
1970-09-01,,,,18967.0
1970-10-01,,,,18883.0
1970-11-01,,,,18834.0
1970-12-01,,,,18900.0
1971-01-01,,,,19170.0
1971-02-01,,,,19177.0
1971-03-01,,,,19222.0
1971-04-01,,,,19243.0
1971-05-01,,,,19302.0
1971-06-01,,,,19692.0
1971-07-01,,,,19392.0
1971-08-01,,,,19439.0
1971-09-01,,,,19533.0
1971-10-01,,,,19575.0
1971-11-01,,,,19603.0
1971-12-01,,,,19685.0
1972-01-01,,,,19571.0
1972-02-01,,,,19677.0
1972-03-01,,,,19744.0
1972-04-01,,,,19719.0
1972-05-01,,,,19849.0
1972-06-01,,,,19895.0
1972-07-01,,,,20023.0
