date,Median Existing-Home Price / Median Household Income
2005-01-01,4.252
2005-02-01,4.295
2005-03-01,4.382
2005-04-01,4.619
2005-05-01,4.684
2005-06-01,4.943
2005-07-01,4.921
2005-08-01,4.943
2005-09-01,4.856
2005-10-01,4.943
2005-11-01,4.856
2005-12-01,4.792
2006-01-01,4.508
2006-02-01,4.473
2006-03-01,4.519
2006-04-01,4.616
2006-05-01,4.741
2006-06-01,4.759
2006-07-01,4.778
2006-08-01,4.649
2006-09-01,4.581
2006-10-01,4.539
2006-11-01,4.515
2006-12-01,4.602
2007-01-01,4.201
2007-02-01,4.254
2007-03-01,4.332
2007-04-01,4.372
2007-05-01,4.434
2007-06-01,4.559
2007-07-01,4.547
2007-08-01,4.471
2007-09-01,4.191
2007-10-01,4.115
2007-11-01,4.157
2007-12-01,4.119
2008-01-01,3.972
2008-02-01,3.891
2008-03-01,3.978
2008-04-01,3.996
2008-05-01,4.129
2008-06-01,4.276
2008-07-01,4.181
2008-08-01,4.034
2008-09-01,3.797
2008-10-01,3.708
2008-11-01,3.581
2008-12-01,3.493
2009-01-01,3.307
2009-02-01,3.379
2009-03-01,3.413
2009-04-01,3.347
2009-05-01,3.509
2009-06-01,3.652
2009-07-01,3.642
2009-08-01,3.562
2009-09-01,3.538
2009-10-01,3.459
2009-11-01,3.415
2009-12-01,3.429
2010-01-01,3.346
2010-02-01,3.34
2010-03-01,3.442
2010-04-01,3.496
2010-05-01,3.543
2010-06-01,3.711
2010-07-01,3.695
2010-08-01,3.598
2010-09-01,3.478
2010-10-01,3.462
2010-11-01,3.454
2010-12-01,3.425
2011-01-01,3.155
2011-02-01,3.119
2011-03-01,3.193
2011-04-01,3.219
2011-05-01,3.383
2011-06-01,3.508
2011-07-01,3.421
2011-08-01,3.421
2011-09-01,3.303
2011-10-01,3.213
2011-11-01,3.277
2011-12-01,3.241
2012-01-01,3.03
2012-02-01,3.05
2012-03-01,3.23
2012-04-01,3.405
2012-05-01,3.534
2012-06-01,3.701
2012-07-01,3.681
2012-08-01,3.624
2012-09-01,3.495
2012-10-01,3.467
2012-11-01,3.516
2012-12-01,3.532
2013-01-01,3.183
2013-02-01,3.232
2013-03-01,3.433
2013-04-01,3.579
2013-05-01,3.79
2013-06-01,3.993
2013-07-01,3.963
2013-08-01,3.913
2013-09-01,3.704
2013-10-01,3.685
2013-11-01,3.648
2013-12-01,3.689
2014-01-01,3.502
2014-02-01,3.511
2014-03-01,3.666
2014-04-01,3.755
2014-05-01,3.951
2014-06-01,4.137
2014-07-01,4.13
2014-08-01,4.07
2014-09-01,3.897
2014-10-01,3.867
2014-11-01,3.861
2014-12-01,3.88
2015-01-01,3.496
2015-02-01,3.572
2015-03-01,3.728
2015-04-01,3.869
2015-05-01,4.05
2015-06-01,4.181
2015-07-01,4.101
2015-08-01,4.043
2015-09-01,3.923
2015-10-01,3.877
2015-11-01,3.892
2015-12-01,3.949
2016-01-01,3.62
2016-02-01,3.592
2016-03-01,3.75
2016-04-01,3.911
2016-05-01,4.046
2016-06-01,4.194
2016-07-01,4.119
2016-08-01,4.065
2016-09-01,3.984
2016-10-01,3.965
2016-11-01,3.97
2016-12-01,3.952
2017-01-01,3.718
2017-02-01,3.732
2017-03-01,3.87
2017-04-01,4.007
2017-05-01,4.13
2017-06-01,4.307
2017-07-01,4.221
2017-08-01,4.14
2017-09-01,4.05
2017-10-01,4.024
2017-11-01,4.043
2017-12-01,4.032
2018-01-01,3.811
2018-02-01,3.811
2018-03-01,3.954
2018-04-01,4.082
2018-05-01,4.196
2018-06-01,4.334
2018-07-01,4.262
2018-08-01,4.204
2018-09-01,4.066
2018-10-01,4.038
