date,Total Building Permits Period %,Single-Family Permits Period %,2-4 Unit Permits Period %,5+ Unit Permits Period %,Permits - Northeast Period %,Permits - Midwest Period %,Permits - South Period %,Permits - West Period %
1965-04-01,-4.0462,1.4837,6.0976,-14.0659,-11.1554,18.5771,-3.8363,-16.7722
1965-05-01,3.8726,3.3626,-5.7471,6.9054,13.0045,3.0,1.3298,0.7605
1965-06-01,2.8169,-1.5559,4.878,9.8086,2.381,-0.3236,9.9738,-3.3962
1965-07-01,-0.3223,1.8678,3.4884,-4.3573,-6.9767,12.013,-4.0573,-2.3438
1965-08-01,0.9701,2.1157,-3.3708,0.0,8.75,-7.2464,-1.2438,8.4
1965-09-01,-1.7614,-3.1768,1.1628,0.0,1.1494,-4.375,1.5113,-6.2731
1965-10-01,4.238,6.8474,-11.4943,3.1891,3.4091,-0.3268,11.1663,-0.3937
1965-11-01,2.111,-1.6021,2.5974,8.1678,2.1978,0.9836,-5.3571,16.6008
1965-12-01,0.6891,0.5427,7.5949,-0.2041,-2.1505,23.3766,4.0094,-25.0847
1966-01-01,0.7605,-0.2699,4.7059,1.636,11.3553,-11.0526,-2.4943,14.4796
1966-02-01,-12.5283,-14.6143,-20.2247,-8.0483,-23.0263,-6.213,-11.1628,-10.6719
1966-03-01,6.4711,12.6783,18.3099,-3.9387,16.6667,8.5174,3.4031,-1.7699
1966-04-01,-7.2123,-9.0014,-13.0952,-3.1891,-10.2564,-15.407,-0.2532,-3.1532
1966-05-01,-5.8515,-8.9645,-6.8493,-0.9412,-4.4898,-5.4983,-6.3452,-6.9767
1966-06-01,-11.3173,-2.5467,-14.7059,-23.0404,-12.8205,-10.5455,-11.3821,-10.5
1966-07-01,-2.5105,-5.2265,0.0,1.8519,10.7843,-7.3171,-6.422,-3.9106
1966-08-01,-5.9013,-7.1691,-12.069,-2.7273,-7.9646,-3.5088,-0.3268,-16.2791
1966-09-01,-11.7446,-7.5248,-13.7255,-18.0685,-23.5577,-0.9091,-14.4262,-5.5556
1966-10-01,-4.522,-4.4968,6.8182,-6.4639,-11.3208,-9.633,0.0,2.9412
1966-11-01,-0.406,-0.8969,-6.383,1.626,20.5674,-4.0609,-3.8314,-10.0
1966-12-01,0.9511,3.6199,0.0,-3.6,-11.1765,-6.8783,13.5458,3.9683
1967-01-01,33.9166,25.9825,27.2727,50.2075,91.3907,32.9545,12.9825,14.5038
1967-02-01,-8.8442,-2.253,0.0,-20.7182,-30.7958,-2.1368,-3.7267,12.0
1967-03-01,5.2922,1.0638,8.9286,12.892,-14.0,8.2969,14.1935,7.7381
1967-04-01,8.377,6.3158,0.0,13.5802,27.907,11.2903,0.565,1.105
1967-05-01,3.9614,4.9505,8.1967,1.6304,-7.2727,0.3623,10.3933,10.3825
1967-06-01,8.6431,5.8176,15.1515,12.2995,10.7843,10.4693,3.3079,14.3564
1967-07-01,0.6843,0.2972,1.3158,1.1905,0.885,7.5163,-2.4631,-3.0303
1967-08-01,4.418,3.2593,3.8961,6.3529,-3.5088,2.4316,2.7778,18.3036
1967-09-01,4.0683,0.5739,1.25,9.9558,10.4545,7.7151,5.4054,-7.9245
1967-10-01,0.0782,0.8559,11.1111,-2.8169,-4.1152,-0.551,0.9324,3.6885
1967-11-01,1.3281,-1.6973,-4.4444,6.8323,-2.1459,-1.385,6.6975,-0.7905
1967-12-01,1.3878,0.8633,-3.4884,2.907,5.2632,0.8427,-4.5455,9.5618
1968-01-01,-10.3422,-3.1384,-2.4096,-21.0923,-24.5833,-7.2423,-6.1224,-8.7273
1968-02-01,13.8253,4.7128,9.8765,29.3556,23.7569,14.4144,11.1111,10.3586
1968-03-01,2.0864,-2.8129,-10.1124,10.5166,32.5893,-12.8609,-1.3043,3.6101
1968-04-01,-6.1314,-2.3155,1.25,-11.5192,-18.1818,-0.6024,-1.7621,-6.9686
1968-05-01,0.8554,-1.4815,2.4691,3.5849,-10.2881,11.8182,-2.4664,2.9963
1968-06-01,0.2313,-1.6541,0.0,2.5501,14.6789,-14.0921,6.6667,-2.1818
1968-07-01,3.3846,5.3517,-9.6386,3.0195,-11.2,3.1546,8.1897,8.9219
1968-08-01,0.9673,1.5965,5.3333,-0.3448,10.3604,2.7523,-4.1833,0.6826
1968-09-01,7.885,5.4286,11.3924,10.3806,-4.4898,16.9643,8.5239,6.7797
1968-10-01,-2.9372,-2.8455,-4.5455,-2.8213,3.4188,-8.9059,-0.1916,-4.7619
1968-11-01,1.0556,1.6736,7.1429,-0.4839,-15.7025,11.7318,-5.9501,14.0
1968-12-01,-3.273,-5.6241,4.4444,-1.6207,9.8039,-21.0,8.7755,-7.6023
1969-01-01,5.0396,-0.7267,-12.766,14.3328,6.6964,22.7848,-3.0019,-0.3165
1969-02-01,2.4674,3.5139,18.2927,-0.4323,1.6736,9.0206,1.5474,-3.4921
1969-03-01,-3.8127,-5.9406,0.0,-2.1708,4.5267,-13.4752,-3.4286,2.3026
1969-04-01,0.2086,-0.4511,-8.2474,2.071,-4.7244,-4.0984,-0.9862,11.254
1969-05-01,-7.8418,-4.2296,-5.618,-11.5942,0.0,-17.3789,-6.3745,-5.7803
1969-06-01,1.5813,1.2618,2.381,1.8033,-12.8099,11.0345,-2.9787,10.4294
1969-07-01,-5.2632,-7.3209,3.4884,-4.3478,-0.9479,-5.5901,-1.7544,-11.9444
1969-08-01,3.0516,-0.6723,-6.7416,8.2492,-5.2632,-1.6447,13.1696,-1.2618
1969-09-01,-4.1002,0.0,-6.0241,-7.6205,0.5051,-4.3478,-10.0592,2.8754
1969-10-01,-3.7213,-0.3384,6.4103,-8.4175,-0.5025,1.049,-9.4298,-1.8634
1969-11-01,-2.0559,-0.6791,-2.4096,-3.4926,-10.101,-4.4983,7.0218,-6.6456
1969-12-01,-3.0227,0.3419,-4.9383,-6.4762,3.3708,-1.8116,-7.4661,-1.3559
1970-01-01,-8.0519,-17.2061,-5.1948,2.444,-18.4783,-20.2952,-0.489,-0.6873
1970-02-01,5.2731,14.8148,0.0,-3.1809,28.0,11.1111,-1.4742,-1.3841
1970-03-01,1.2522,-0.1792,-6.8493,4.1068,-7.8125,7.5,2.2444,0.7018
1970-04-01,8.1272,9.6948,10.2941,6.1144,2.2599,-8.9147,13.6585,19.1638
1970-05-01,8.4967,-1.473,8.0,19.8885,10.4972,10.2128,13.3047,-0.2924
1970-06-01,-0.4518,3.4884,4.9383,-4.8062,8.5,15.0579,-6.4394,-8.2111
1970-07-01,0.1513,4.0128,2.3529,-4.0717,4.1475,3.6913,-2.834,-1.278
1970-08-01,5.287,5.5556,14.9425,3.5654,-2.2124,0.6472,6.875,12.945
1970-09-01,2.2956,2.6316,21.0,-1.1475,-5.8824,-7.717,7.0175,9.4556
1970-10-01,9.6774,2.1368,-19.8347,24.3781,19.7115,12.1951,3.643,10.9948
1970-11-01,-3.9642,-0.9763,2.0619,-7.6,6.4257,2.4845,-0.8787,-19.1038
1970-12-01,17.6431,20.2817,-2.0202,17.7489,18.4906,6.0606,18.617,26.5306
1971-01-01,-7.0175,-6.7916,14.433,-9.8039,-15.9236,4.5714,-5.0822,-12.9032
1971-02-01,-3.3475,-2.5126,6.3063,-5.7065,-23.4848,-15.847,-0.4724,17.9894
1971-03-01,10.7683,8.7629,1.6949,14.5533,35.1485,28.2468,4.2722,-3.139
1971-04-01,-0.7959,2.4882,1.6667,-4.6541,-8.0586,1.2658,-0.607,1.6204
1971-05-01,13.0086,8.5549,9.0164,18.7335,36.255,7.5,9.9237,9.3394
1971-06-01,-3.499,-1.7039,9.0226,-7.2222,-14.3275,-2.3256,-0.5556,-1.25
1971-07-01,8.7231,4.0087,-3.4483,16.0479,13.6519,3.5714,10.3352,7.8059
1971-08-01,-3.1416,-5.1042,2.1429,-1.9608,-0.6006,-2.069,-6.3291,-0.7828
1971-09-01,-0.3992,-0.4391,-1.3986,-0.2105,3.9275,0.2347,2.4324,-7.8895
1971-10-01,1.503,1.2128,-4.9645,2.7426,-7.5581,0.9368,2.3747,7.2805
1971-11-01,2.616,5.5556,2.2388,-0.1027,-0.6289,6.2645,2.3196,1.996
1971-12-01,2.5974,2.58,-1.4599,3.186,-0.9494,3.9301,3.4005,2.3483
1972-01-01,4.9226,12.173,7.4074,-2.5896,18.8498,-12.605,3.7759,14.1491
1972-02-01,-3.0831,-11.0314,-6.8966,6.544,-5.914,0.0,-5.8685,0.67
1972-03-01,-2.9507,0.8065,3.7037,-7.3896,-17.1429,-2.8846,8.8529,-10.4825
1972-04-01,1.6152,0.8,10.0,1.2435,14.8276,12.6238,-0.1145,-10.7807
1972-05-01,-3.3661,-4.6627,-3.2468,-2.0471,-7.5075,-1.7582,-9.9771,9.7917
1972-06-01,5.612,5.9313,-0.6711,6.2696,-2.2727,-0.4474,13.2484,4.1746
1972-07-01,0.5497,0.8841,-4.7297,0.9833,3.3223,-4.9438,4.8369,-3.4608
1972-08-01,3.0979,4.5764,3.5461,1.5579,3.537,8.747,2.2532,-0.3774
1972-09-01,5.7446,-2.2346,2.0548,14.4775,-1.2422,10.2174,9.5488,-0.947
1972-10-01,-1.6298,9.5238,20.8054,-14.2379,7.2327,-14.2012,-3.3525,8.7954
1972-11-01,-5.0977,-10.1739,-19.4444,3.125,7.3314,-5.2874,-9.9108,-3.6907
1972-12-01,8.2811,0.0968,3.4483,16.9508,16.3934,11.8932,11.1111,-4.7445
1973-01-01,-6.1182,7.1567,-1.3333,-17.8138,-16.1972,2.3861,-9.901,1.9157
1973-02-01,-1.9815,-3.0686,-7.4324,0.0,-11.2045,5.9322,-0.5495,-5.2632
1973-03-01,-7.3675,-7.635,-2.1898,-7.7833,7.571,-18.8,-9.7238,-1.1905
1973-04-01,-7.4685,-5.4435,-4.4776,-10.0427,-12.3167,-8.3744,-0.4896,-14.8594
1973-05-01,1.2055,2.0256,-1.5625,0.7126,-10.7023,5.6452,1.353,5.4245
1973-06-01,6.2144,-2.6123,0.7937,16.9811,14.9813,-14.2494,16.8689,-0.6711
1973-07-01,-11.3116,-3.7554,0.7874,-19.9597,-9.1205,13.3531,-23.676,-4.955
1973-08-01,-0.5498,-8.0268,-10.9375,9.5718,1.7921,-0.2618,0.0,-3.0806
1973-09-01,-5.8043,-1.5758,-8.7719,-9.4253,-14.7887,-14.4357,-5.7143,8.313
1973-10-01,-17.1948,-15.1478,-13.4615,-19.797,-14.4628,-8.589,-16.0173,-26.8623
1973-11-01,-0.6378,0.2903,-10.0,-0.3165,4.8309,-1.3423,2.921,-9.8765
1973-12-01,-8.1312,-3.7627,2.4691,-14.2857,-9.2166,-15.9864,-13.1886,10.9589
