date,PPI Final Demand - Finished Goods Period %,PPI Final Demand - Less Food & Energy Period %
1965-02-01,0.2976,
1965-03-01,0.0,
1965-04-01,0.8902,
1965-05-01,0.2941,
1965-06-01,0.2933,
1965-07-01,-0.2924,
1965-08-01,0.2933,
1965-09-01,0.2924,
1965-10-01,0.2915,
1965-11-01,0.2907,
1965-12-01,0.5797,
1966-01-01,0.0,
1966-02-01,0.8646,
1966-03-01,0.0,
1966-04-01,0.2857,
1966-05-01,0.0,
1966-06-01,-0.5698,
1966-07-01,0.5731,
1966-08-01,0.8547,
1966-09-01,0.565,
1966-10-01,-0.2809,
1966-11-01,0.0,
1966-12-01,-0.2817,
1967-01-01,0.0,
1967-02-01,-0.2825,
1967-03-01,0.0,
1967-04-01,0.0,
1967-05-01,0.2833,
1967-06-01,0.8475,
1967-07-01,0.0,
1967-08-01,0.2801,
1967-09-01,0.0,
1967-10-01,0.2793,
1967-11-01,0.0,
1967-12-01,0.2786,
1968-01-01,0.2778,
1968-02-01,0.277,
1968-03-01,0.2762,
1968-04-01,0.551,
1968-05-01,0.0,
1968-06-01,0.274,
1968-07-01,0.2732,
1968-08-01,0.2725,
1968-09-01,0.5435,
1968-10-01,0.0,
1968-11-01,0.2703,
1968-12-01,0.0,
1969-01-01,0.2695,
1969-02-01,0.0,
1969-03-01,0.5376,
1969-04-01,0.5348,
1969-05-01,0.5319,
1969-06-01,0.5291,
1969-07-01,0.2632,
1969-08-01,0.2625,
1969-09-01,0.2618,
1969-10-01,0.5222,
1969-11-01,0.7792,
1969-12-01,0.2577,
1970-01-01,0.5141,
1970-02-01,-0.2558,
1970-03-01,0.2564,
1970-04-01,0.0,
1970-05-01,0.0,
1970-06-01,0.2558,
1970-07-01,0.0,
1970-08-01,0.0,
1970-09-01,1.0204,
1970-10-01,0.0,
1970-11-01,0.5051,
1970-12-01,0.0,
1971-01-01,0.2513,
1971-02-01,0.5013,
1971-03-01,0.2494,
1971-04-01,0.2488,
1971-05-01,0.4963,
1971-06-01,0.2469,
1971-07-01,-0.4926,
1971-08-01,0.7426,
1971-09-01,0.0,
1971-10-01,0.0,
1971-11-01,0.2457,
