date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
2017-11-01,-1.1706,-0.8589,-4.0107
2017-12-01,1.5228,4.5792,-4.7354
2018-01-01,0.6667,0.5917,1.462
2018-02-01,6.6225,1.5294,20.4611
2018-03-01,-8.3075,-3.708,-18.8995
2018-04-01,3.641,-6.1372,27.4336
2018-05-01,3.1046,13.5897,-15.7407
2018-06-01,-3.962,-3.4989,-3.8462
2018-07-01,-5.1155,-5.1462,-4.5714
2018-08-01,9.7391,17.5092,-8.982
2018-09-01,-5.9429,-10.2833,6.25
2018-10-01,-5.476,-1.6374,-15.7895
2018-11-01,0.8021,-4.6373,16.5441
2018-12-01,-6.8966,-3.7406,-14.511
2019-01-01,18.4236,18.1347,22.5092
2019-02-01,4.571,-14.2544,51.8072
2019-03-01,0.6902,19.0537,-26.7857
2019-04-01,-0.3808,-2.0408,4.065
2019-05-01,-6.6514,-2.4123,-14.8438
2019-06-01,-3.5217,-1.573,-11.0092
2019-07-01,3.1409,3.4247,2.7491
2019-08-01,8.0658,5.4084,16.0535
2019-09-01,-12.1097,-9.1099,-18.4438
2019-10-01,11.6984,9.5622,17.3145
2019-11-01,-1.7843,0.5258,-9.6386
2019-12-01,3.3175,-5.3347,32.0
2020-01-01,0.0,-1.105,1.5152
2020-02-01,-5.4281,5.2514,-28.8557
2020-03-01,0.0,-6.9002,23.0769
2020-04-01,-4.5271,-1.9384,-11.3636
2020-05-01,-0.5927,-3.0233,4.4872
2020-06-01,4.6848,10.9113,-8.2822
2020-07-01,6.5094,2.5946,17.3913
2020-08-01,-3.5141,-4.1096,-2.2792
2020-09-01,13.7767,2.1978,44.3149
2020-10-01,-2.9228,-0.5376,-8.2828
2020-11-01,-9.6057,0.6486,-29.5154
2020-12-01,8.9611,1.6112,29.6875
2021-01-01,0.3639,10.7822,-21.4458
2021-02-01,-5.8013,-7.6336,-1.5337
2021-03-01,10.4696,2.7893,35.2025
2021-04-01,-2.23,-1.608,-2.765
2021-05-01,-4.7042,-1.2257,-13.5071
2021-06-01,-4.2633,-5.9979,-0.274
2021-07-01,6.6406,3.8504,12.0879
2021-08-01,-2.6374,1.6949,-11.0294
2021-09-01,-7.2987,-1.6667,-22.5895
2021-10-01,5.5195,2.1186,14.2349
2021-11-01,7.4615,-1.4523,36.4486
2021-12-01,-4.7244,7.2632,-30.137
2022-01-01,-3.456,-6.0844,2.9412
2022-02-01,4.4358,8.6729,-6.6667
2022-03-01,-1.0432,-0.8654,-2.7211
2022-04-01,1.2048,-2.6188,13.6364
2022-05-01,6.1756,4.2829,15.3846
2022-06-01,-4.0645,-4.8711,-2.1333
2022-07-01,3.7984,0.6024,12.8065
2022-08-01,-3.8001,2.8942,-20.5314
2022-09-01,4.8281,2.1339,14.8936
2022-10-01,-2.4424,-5.4131,1.5873
2022-11-01,11.0157,10.743,14.3229
2022-12-01,-10.0515,-9.4288,-12.7563
2023-01-01,-0.4298,3.9039,-10.1828
2023-02-01,10.5036,-2.5048,50.5814
2023-03-01,-2.6693,1.1858,-11.39
2023-04-01,-4.6823,-5.3711,-4.5752
2023-05-01,5.4737,3.612,10.0457
2023-06-01,-2.5948,-0.8964,-4.1494
2023-07-01,-7.6503,1.206,-27.4892
2023-08-01,0.8136,-5.5611,19.7015
2023-09-01,7.9237,5.1525,15.212
2023-10-01,-5.2345,0.4,-18.3983
2023-11-01,4.7346,-4.1833,27.5862
2023-12-01,7.8767,8.316,8.316
2024-01-01,-4.7619,-13.8196,11.9002
2024-02-01,11.6,17.9287,3.259
2024-03-01,-11.1708,-11.7092,-12.6246
2024-04-01,11.7687,20.9626,-1.9011
2024-05-01,-6.077,-9.2838,1.1628
2024-06-01,10.8905,4.7758,21.8391
2024-07-01,-5.5459,1.2093,-14.9371
2024-08-01,7.3394,-5.1471,30.3142
2024-09-01,-4.7863,-1.7442,-8.5106
2024-10-01,-2.0946,-2.4655,-2.0155
2024-11-01,-1.1002,2.8311,-7.7532
2024-12-01,-5.6242,-8.7512,-1.5437
2025-01-01,8.1205,8.0819,9.7561
2025-02-01,-5.209,1.8943,-15.873
2025-03-01,0.0639,2.544,-6.2264
2025-04-01,-5.811,-8.0153,0.6036
2025-05-01,4.5424,9.5436,-6.4
2025-06-01,-10.1816,-12.8788,-5.5556
2025-07-01,5.0542,9.3478,0.0
2025-08-01,6.9416,5.7654,7.0136
2025-09-01,-11.8252,-11.2782,-12.685
2025-10-01,4.2274,8.8983,-5.8111
2025-11-01,2.3077,-1.4591,11.8252
2025-12-01,-0.4101,-3.2577,5.2874
2026-01-01,4.8044,-1.0204,16.1572
