date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
1979-07-01,-5.0729,-7.4738,1.5424
1979-08-01,1.137,0.2423,5.5696
1979-09-01,11.4671,0.8058,45.8034
1979-10-01,-7.6147,1.6787,-28.6184
1979-11-01,3.2751,-0.2358,12.4424
1979-12-01,-1.5328,3.2309,-16.1885
1980-01-01,-3.7037,-5.2672,1.467
1980-02-01,0.5017,-4.8348,20.4819
1980-03-01,-5.6572,-5.6732,-5.6
1980-04-01,2.9394,-3.4111,14.6186
1980-05-01,-12.5071,-9.8513,-18.6691
1980-06-01,-3.3943,-5.9794,1.1364
1980-07-01,-0.5405,-4.1667,11.9101
1980-08-01,-2.1739,7.4371,-24.6988
1980-09-01,-12.0139,-19.1693,9.6
1980-10-01,0.3946,9.2227,-21.4112
1980-11-01,3.2233,1.5682,11.1455
1980-12-01,4.9505,7.1259,-1.3928
1981-01-01,-7.8374,-0.4435,-24.8588
1981-02-01,9.8425,7.0156,12.782
1981-03-01,-1.2903,-7.5963,18.0
1981-04-01,6.6812,5.2928,18.0791
1981-05-01,-15.1804,-5.9893,-37.5598
1981-06-01,8.3467,-1.7065,40.9962
1981-07-01,-0.963,-1.5046,-1.9022
1981-08-01,-8.6013,-5.8754,-3.8781
1981-09-01,-0.0818,-0.7491,-10.3746
1981-10-01,-1.2285,-10.4403,24.1158
1981-11-01,-10.9453,-5.618,-20.9845
1981-12-01,5.121,1.4881,9.8361
1982-01-01,-6.8202,-5.8651,-1.4925
1982-02-01,-11.1217,-13.5514,-7.2727
1982-03-01,3.2086,6.8468,-6.5359
1982-04-01,1.4508,2.1922,1.3986
1982-05-01,8.2737,12.7063,2.7586
1982-06-01,-12.2642,-16.1054,-2.0134
1982-07-01,8.172,17.103,-11.9863
1982-08-01,-2.0875,-6.7064,7.393
1982-09-01,-3.8579,-5.1118,-8.6957
1982-10-01,11.8268,13.2997,19.8413
1982-11-01,1.8886,2.2288,1.3245
1982-12-01,-2.9657,-4.5058,3.5948
