date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1985-07-01,0.48,4.86,-8.42,-6.16,-19.63,-6.75,7.08,5.75
1985-08-01,3.5,-0.09,9.2,10.04,5.53,14.03,-3.56,9.57
1985-09-01,-3.84,-5.38,-5.26,-0.7,6.55,-7.14,-5.01,-5.16
1985-10-01,9.43,13.73,-12.22,5.12,29.51,8.55,11.53,-3.56
1985-11-01,-7.42,-10.34,0.0,-2.69,-24.37,-15.35,-1.37,-1.95
1985-12-01,14.37,7.98,8.86,26.6,18.83,27.91,13.01,7.96
1986-01-01,1.54,13.09,16.28,-17.87,13.38,4.0,0.34,-4.51
1986-02-01,-6.29,-10.0,2.0,0.17,4.97,-2.1,-16.82,3.65
1986-03-01,1.52,3.24,-22.55,2.32,-15.68,12.86,4.69,2.07
1986-04-01,3.04,1.44,1.27,6.32,8.77,10.44,-2.69,4.06
1986-05-01,-4.09,2.59,3.75,-17.23,-11.61,-27.79,4.99,3.12
1986-06-01,-0.38,-0.57,-8.43,1.29,4.38,16.67,-3.88,-5.67
1986-07-01,-3.52,-5.57,5.26,-0.18,-4.9,10.54,-7.29,-5.21
1986-08-01,1.4,3.56,7.5,-4.01,21.32,-4.31,-0.56,-3.17
1986-09-01,-6.64,-4.77,-25.58,-7.78,-10.61,-13.5,-1.41,-7.21
1986-10-01,-0.36,-0.97,31.25,-3.09,-4.75,-2.23,-2.15,6.82
1986-11-01,-3.45,-1.15,-15.48,-6.79,-3.56,3.04,-10.69,3.74
1986-12-01,12.94,10.24,56.34,12.76,15.13,34.69,0.82,14.86
1987-01-01,-3.22,-0.24,-31.53,-4.24,-3.21,15.89,-0.98,-18.67
1987-02-01,0.56,4.74,-6.58,-9.07,-13.25,-14.89,8.54,13.86
1987-03-01,-3.25,-6.01,21.13,0.93,11.45,-7.5,-4.99,-5.59
1987-04-01,-6.49,-1.99,-27.91,-14.71,-11.64,-12.91,5.41,-14.59
1987-05-01,0.87,-3.39,9.68,12.94,17.05,5.52,-4.98,-3.22
1987-06-01,-2.09,-4.29,22.06,0.0,-14.24,-4.25,-4.29,12.53
1987-07-01,-1.19,4.12,-25.3,-10.26,3.09,-16.72,5.65,-2.73
1987-08-01,1.9,-1.5,-4.84,13.3,-1.12,18.85,-0.63,-2.1
1987-09-01,5.61,10.0,-16.95,-2.82,-0.38,6.9,11.71,-0.72
1987-10-01,-10.62,-11.53,30.61,-12.8,0.38,-20.0,-13.31,-6.01
1987-11-01,9.31,2.02,-18.75,36.29,-0.38,34.27,4.41,7.67
1987-12-01,-15.46,-7.01,-1.92,-35.98,-11.03,-19.22,-9.7,-23.99
1988-01-01,-9.21,-10.64,-3.92,-5.4,12.39,-23.79,-24.26,14.37
1988-02-01,15.89,15.8,20.41,15.44,5.7,23.41,32.72,-1.09
1988-03-01,4.01,10.0,5.08,-14.83,5.76,-2.37,0.0,13.54
1988-04-01,2.68,-8.92,-11.29,52.22,-13.27,32.39,3.79,-5.35
1988-05-01,-9.66,-4.85,0.0,-22.42,-19.61,-15.9,-5.32,-4.63
1988-06-01,4.01,8.43,5.45,-9.25,21.46,-2.55,1.05,3.77
1988-07-01,-0.74,-4.07,-8.62,12.42,2.41,5.6,-2.43,-4.68
1988-08-01,1.77,4.52,13.21,-8.22,-9.8,-11.31,3.2,17.71
1988-09-01,-0.07,-5.86,5.0,18.83,-6.09,4.78,1.9,-2.31
1988-10-01,2.01,9.1,-6.35,-15.84,-11.11,2.66,-1.02,12.56
1988-11-01,3.09,0.18,15.25,11.11,9.9,1.48,6.67,-3.16
1988-12-01,-0.38,-0.88,-8.82,2.78,1.42,25.18,-4.33,-11.09
1989-01-01,3.71,1.59,4.84,10.0,24.3,-16.03,8.38,2.69
1989-02-01,-12.09,-12.79,-7.69,-10.81,-19.17,-9.38,-14.84,-5.24
1989-03-01,-0.21,-2.0,-8.33,6.06,-24.19,18.01,1.09,-1.01
1989-04-01,-5.84,4.89,3.64,-34.55,29.45,-17.21,-5.21,-12.44
1989-05-01,-0.6,-3.98,-21.05,17.86,-18.48,-1.18,1.33,7.83
1989-06-01,4.96,-1.62,20.0,24.58,-0.58,-5.56,-1.68,24.19
1989-07-01,2.15,5.55,7.41,-7.57,13.45,21.01,-0.38,-8.87
1989-08-01,-6.66,-2.63,-6.9,-18.71,-25.77,-17.01,8.4,-9.5
1989-09-01,-3.98,-3.4,1.85,-7.19,14.58,3.35,-13.03,-2.1
1989-10-01,10.24,6.11,9.09,25.97,2.42,13.36,12.15,9.12
1989-11-01,-4.18,-0.2,-18.33,-14.15,5.33,11.07,-8.48,-12.78
1989-12-01,-7.4,-11.14,2.04,4.66,-29.21,-17.04,-13.81,21.13
1990-01-01,23.98,21.01,12.0,35.27,23.81,29.07,31.58,13.26
1990-02-01,-7.35,0.18,-26.79,-25.57,38.46,-18.32,-2.78,-19.92
1990-03-01,-10.3,-11.89,-9.76,-4.42,-35.19,-2.21,-8.77,-4.36
1990-04-01,-3.18,-5.05,37.84,-2.14,-8.57,8.27,-6.86,-4.29
1990-05-01,-2.88,-3.15,-25.49,2.18,0.78,-10.07,2.95,-6.16
1990-06-01,-2.89,-0.9,7.89,-10.68,-15.5,-9.65,10.02,-11.64
1990-07-01,-0.51,-0.23,-26.83,2.79,11.01,0.0,-9.48,11.15
1990-08-01,-4.78,-6.34,0.0,0.0,0.83,3.85,-11.7,-2.74
1990-09-01,-0.45,3.75,20.0,-16.28,-13.11,0.0,1.4,1.56
1990-10-01,-8.65,-2.68,-36.11,-27.78,33.02,-4.94,-11.24,-21.54
1990-11-01,12.92,-6.59,143.48,98.08,10.64,8.23,23.77,1.96
1990-12-01,-15.37,-3.72,-73.21,-34.3,-37.82,-5.6,-16.08,-10.0
1991-01-01,-17.65,-19.57,100.0,-19.21,-21.65,-41.53,-14.18,2.14
1991-02-01,20.93,25.0,30.0,4.27,11.84,92.75,11.88,-4.6
1991-03-01,-4.56,-0.66,-30.77,-15.79,29.41,-15.79,2.85,-16.67
1991-04-01,8.69,9.2,18.52,4.17,-12.73,8.93,1.51,35.79
1991-05-01,-0.5,2.44,18.75,-20.67,21.88,-11.07,-8.93,14.34
1991-06-01,4.02,4.17,-39.47,16.81,16.24,13.36,10.9,-16.27
1991-07-01,2.61,1.49,91.3,-5.04,-22.06,-2.44,7.86,12.55
1991-08-01,-1.32,-0.56,-11.36,-3.03,13.21,-0.83,-2.28,-5.76
1991-09-01,-3.24,-1.59,-28.21,-7.03,-13.33,2.1,-0.93,-7.25
1991-10-01,6.31,1.15,89.29,24.37,17.31,-4.53,8.71,8.23
1991-11-01,2.22,4.33,-41.51,5.41,-0.82,-1.72,2.16,7.22
1991-12-01,-2.18,3.38,35.48,-42.31,16.53,7.89,-5.3,-13.12
1992-01-01,8.99,2.32,-26.19,95.56,7.09,18.29,1.57,14.29
1992-02-01,6.29,13.73,-19.35,-30.11,-7.28,8.93,9.47,5.71
1992-03-01,3.76,-5.9,76.0,75.61,-2.14,3.47,6.24,2.7
1992-04-01,-15.27,-8.87,-34.09,-42.13,-10.22,-27.74,-9.85,-13.49
1992-05-01,10.46,9.84,10.34,15.2,0.81,26.16,5.25,10.27
1992-06-01,-5.68,-3.76,21.88,-25.69,-7.26,-7.69,-7.78,0.69
1992-07-01,-0.52,-1.5,-33.33,20.56,6.96,-2.17,2.16,-6.16
1992-08-01,7.64,5.39,23.08,21.71,-9.76,20.37,1.27,13.87
1992-09-01,-3.26,-1.25,-15.62,-14.01,12.61,-18.46,9.21,-12.18
1992-10-01,4.89,6.74,-25.93,-2.96,3.2,15.85,-0.57,5.47
1992-11-01,-2.41,-1.37,20.0,-14.5,-12.4,-13.03,0.0,9.0
1992-12-01,1.07,-0.28,45.83,4.46,37.17,3.75,2.31,-16.19
1993-01-01,-1.39,1.49,-22.86,-21.37,-16.13,9.39,4.71,-16.29
1993-02-01,0.0,-2.57,-18.52,35.87,-3.85,-2.64,-4.14,16.29
1993-03-01,-10.5,-10.63,27.27,-16.0,-25.6,-16.61,-13.88,10.89
1993-04-01,16.16,16.84,0.0,14.29,27.96,4.88,22.66,11.58
1993-05-01,0.16,1.62,-10.71,-10.83,-1.68,16.67,-1.42,-9.75
1993-06-01,1.59,-4.17,36.0,54.21,9.4,-4.65,-1.26,10.45
1993-07-01,-2.03,0.46,50.0,-29.09,3.12,-1.05,2.19,-12.3
1993-08-01,3.67,7.0,-62.75,1.71,-6.06,3.17,0.36,15.47
1993-09-01,3.31,-1.64,57.89,42.86,19.35,6.48,0.89,-1.56
1993-10-01,3.65,5.77,16.67,-12.94,-14.86,15.71,4.06,-0.32
1993-11-01,-1.15,1.57,-20.0,-18.92,10.32,-16.07,2.54,4.44
1993-12-01,11.41,7.17,-21.43,62.5,-5.04,11.22,15.54,10.94
1994-01-01,-17.03,-13.37,13.64,-45.13,-24.24,-25.82,-19.46,-1.64
1994-02-01,5.11,-0.61,28.0,60.75,30.0,10.0,7.64,-9.19
1994-03-01,16.98,15.27,3.12,30.81,-1.54,31.64,10.89,23.31
1994-04-01,-6.33,-7.66,-3.03,0.89,19.53,-0.83,-8.48,-15.92
1994-05-01,4.16,3.15,12.5,8.37,-10.46,-5.29,14.15,2.66
1994-06-01,-7.67,-4.1,-52.78,-19.11,2.19,-6.76,-11.4,-4.9
1994-07-01,2.13,3.19,70.59,-10.05,-4.29,4.73,-4.5,14.85
1994-08-01,0.76,-6.66,62.07,41.9,11.19,-7.53,14.48,-17.15
1994-09-01,1.66,4.53,-17.02,-7.87,-12.08,6.51,-5.15,18.15
1994-10-01,-1.63,-4.08,-12.82,12.82,-5.34,-2.14,1.4,-5.12
1994-11-01,4.21,3.04,67.65,1.14,41.94,13.12,-3.06,-3.69
1994-12-01,-3.71,-3.03,-35.09,0.0,-22.16,-9.67,1.42,2.65
1995-01-01,-3.3,-5.91,18.92,4.87,-7.3,-11.62,2.02,-3.74
1995-02-01,-6.47,-2.77,-2.27,-21.43,2.36,-1.38,-14.02,0.6
1995-03-01,-5.09,-5.41,-13.95,-1.82,-3.85,-3.16,1.24,-17.8
1995-04-01,1.44,1.71,-37.84,6.94,-13.6,0.72,-0.7,13.36
1995-05-01,3.71,1.09,52.17,10.39,20.37,-6.47,2.29,9.55
1995-06-01,-2.51,-0.2,-2.86,-11.76,-3.08,10.38,-3.62,-10.17
1995-07-01,14.05,10.86,23.53,27.11,-8.73,-2.09,29.34,10.68
1995-08-01,-3.08,0.44,-26.19,-13.64,3.48,14.95,-12.45,-0.29
1995-09-01,-3.32,-3.78,25.81,-4.86,-5.88,-7.43,-5.21,4.99
1995-10-01,0.0,3.01,-33.33,-8.51,12.5,-5.02,1.17,-1.68
1995-11-01,6.06,0.27,15.38,35.35,-21.43,13.73,15.16,-5.97
1995-12-01,-1.45,3.27,-3.33,-19.59,3.03,-5.26,-4.58,7.55
1996-01-01,2.52,-2.14,-24.14,29.06,-6.86,10.13,-4.2,11.24
1996-02-01,1.64,1.31,50.0,-0.66,38.95,-14.84,1.25,7.32
1996-03-01,-4.49,-0.95,-24.24,-16.0,2.27,14.98,-0.31,-26.12
1996-04-01,6.46,5.58,124.0,-1.19,4.44,-2.12,0.93,27.71
1996-05-01,-0.79,-4.54,-8.93,19.28,-8.51,2.17,6.76,-12.72
1996-06-01,-2.46,3.11,-7.84,-23.23,3.88,-10.3,-3.88,5.43
1996-07-01,0.34,-3.44,0.0,20.18,-7.46,17.57,-1.35,-7.59
1996-08-01,5.77,8.77,-23.4,-1.82,8.87,0.57,3.79,13.78
1996-09-01,-5.27,-8.31,25.0,4.83,4.44,-10.86,-0.73,-11.6
1996-10-01,-5.63,-3.05,15.56,-19.5,-6.38,-8.33,-11.34,8.45
1996-11-01,6.97,0.72,28.85,32.6,-3.79,18.53,11.96,-6.18
1996-12-01,-7.99,-5.44,-32.84,-11.96,14.96,-12.98,-2.52,-22.06
1997-01-01,-1.09,4.53,-8.89,-22.26,7.53,-15.59,-9.28,29.78
1997-02-01,9.67,6.59,0.0,28.16,-19.11,44.18,8.05,0.85
1997-03-01,-1.95,-4.32,2.44,7.95,16.54,-16.99,-0.31,3.65
1997-04-01,2.4,-0.53,-2.38,14.74,-2.7,-2.68,10.12,-4.88
1997-05-01,-3.35,-1.69,-12.2,-7.95,-15.28,6.9,-9.34,5.13
1997-06-01,3.61,1.36,8.33,11.3,-6.56,-1.61,10.92,-1.36
1997-07-01,-3.82,1.16,-5.13,-20.3,28.95,-1.64,-7.59,-8.52
1997-08-01,-3.27,-2.91,2.7,-5.62,-19.05,-5.67,-3.04,5.41
1997-09-01,11.22,9.55,23.68,16.67,29.41,11.66,12.4,2.56
1997-10-01,-1.68,-6.47,36.17,11.9,-24.68,2.53,-2.23,5.56
1997-11-01,-0.66,2.4,-26.56,-6.08,47.41,-15.12,-4.86,4.74
1997-12-01,3.71,-0.43,31.91,14.89,-22.22,21.09,6.16,-1.26
1998-01-01,-2.62,6.79,-25.81,-29.01,11.28,3.6,-8.91,-1.27
1998-02-01,3.87,0.81,45.65,11.11,28.38,8.99,7.14,-15.46
1998-03-01,-1.07,-1.29,-37.31,8.57,-22.63,-17.29,3.19,21.04
1998-04-01,-1.72,0.74,0.0,-11.84,-10.2,9.32,-3.09,-4.79
1998-05-01,-0.26,-1.46,28.57,0.75,11.36,-13.53,2.46,2.65
1998-06-01,6.84,5.2,-14.81,18.52,-5.44,8.16,9.19,6.19
1998-07-01,3.47,1.96,-13.04,11.88,9.35,-1.89,4.02,4.61
1998-08-01,-4.95,-2.0,27.5,-19.27,-13.16,1.28,-2.99,-10.21
1998-09-01,-1.98,-0.94,-50.98,2.08,9.85,-0.63,-8.47,5.94
1998-10-01,8.41,2.85,72.0,26.78,15.17,13.06,16.83,-12.2
1998-11-01,-3.21,6.55,-23.26,-34.76,-14.97,-8.45,-5.04,11.67
1998-12-01,7.95,2.1,-18.18,44.67,14.08,31.38,-3.54,9.45
1999-01-01,-2.46,-4.46,14.81,4.25,-7.41,-28.81,9.7,3.86
1999-02-01,-4.46,-2.37,-29.03,-10.05,16.67,-1.64,1.79,-24.73
1999-03-01,2.4,2.13,77.27,-1.51,-10.29,18.06,-4.11,11.34
1999-04-01,-9.18,-9.29,15.38,-11.66,-9.55,-1.7,-17.75,2.35
1999-05-01,3.73,7.54,-42.22,-5.21,3.52,0.29,5.06,4.59
1999-06-01,-3.23,-3.51,26.92,-4.76,12.93,1.44,-3.54,-12.44
1999-07-01,7.06,3.32,30.3,22.31,7.83,-6.8,7.64,19.22
1999-08-01,-1.26,-3.29,-37.21,11.95,0.56,2.43,0.27,-7.48
1999-09-01,-0.79,1.66,40.74,-12.64,-24.44,5.93,2.99,-2.78
1999-10-01,-1.65,1.87,-39.47,-11.58,1.47,8.96,-5.02,-5.97
1999-11-01,2.49,0.84,21.74,8.73,7.97,-5.66,0.56,12.98
1999-12-01,3.64,4.09,-7.14,2.68,2.01,2.72,9.27,-4.89
2000-01-01,-4.22,-7.78,15.38,10.1,7.24,-16.18,-1.39,-2.83
2000-02-01,6.17,-1.03,53.33,28.99,4.91,21.52,-3.98,14.81
2000-03-01,-7.66,4.62,-52.17,-38.3,-12.28,-18.75,6.02,-19.59
2000-04-01,1.37,-2.89,59.09,17.47,-5.33,20.83,-12.11,17.48
2000-05-01,-3.14,-3.53,-37.14,2.22,10.56,-12.73,4.3,-11.71
2000-06-01,-1.02,-2.28,154.55,-6.81,-8.92,-10.64,2.61,3.87
2000-07-01,-6.16,-4.99,-14.29,-9.3,2.1,8.5,-14.75,-3.72
2000-08-01,5.33,7.79,2.08,-4.4,-2.05,-6.9,11.01,9.12
2000-09-01,-2.21,-2.92,-26.53,5.75,6.99,3.37,-6.52,-2.03
2000-10-01,2.79,3.35,8.33,-0.36,13.07,4.89,8.33,-12.4
2000-11-01,0.13,-1.86,7.69,8.0,-13.87,-2.48,-5.45,21.53
2000-12-01,-1.23,1.16,-7.14,-10.1,14.09,-24.52,2.66,4.61
2001-01-01,4.44,4.0,0.0,7.12,-26.47,34.18,6.63,-3.25
2001-02-01,1.56,0.39,-33.33,11.54,16.0,2.52,4.05,-7.91
2001-03-01,-2.15,-4.84,65.38,3.13,5.52,5.21,-8.31,1.04
2001-04-01,3.71,7.64,0.0,-10.33,16.99,-10.2,5.52,7.47
2001-05-01,-2.67,-1.98,-34.88,-1.02,-29.05,12.99,-4.16,-0.24
2001-06-01,1.93,0.78,92.86,-1.71,5.51,-2.59,7.56,-5.05
2001-07-01,2.08,0.23,-24.07,15.33,24.63,-5.9,2.86,-0.25
2001-08-01,-6.17,-0.92,-36.59,-22.96,-6.59,10.03,-13.8,-3.81
2001-09-01,-0.32,-3.34,76.92,7.06,-10.9,-18.8,7.34,7.39
2001-10-01,-1.41,-0.24,-26.09,-2.56,5.76,14.74,0.27,-18.18
2001-11-01,4.03,0.32,11.76,20.3,14.97,10.4,-4.77,12.31
2001-12-01,-2.12,3.3,-55.26,-16.88,-16.57,-6.93,0.72,3.74
2002-01-01,8.29,2.57,305.88,16.92,17.73,4.76,13.8,-2.06
2002-02-01,7.71,13.88,-36.23,-8.68,-10.24,9.38,6.62,16.32
2002-03-01,-10.22,-13.92,2.27,7.39,10.74,-12.47,-13.36,-9.28
2002-04-01,-3.05,-1.16,-37.78,-5.9,-23.03,-15.73,8.39,-5.24
2002-05-01,10.8,9.79,32.14,13.24,29.13,27.82,2.5,9.47
2002-06-01,-2.66,-2.43,27.03,-7.08,9.15,-4.13,-5.36,-0.72
2002-07-01,-3.61,-3.29,-34.04,-0.33,-12.85,4.02,-4.38,-4.6
2002-08-01,-1.33,-5.74,0.0,17.94,8.97,-8.01,3.5,-8.38
2002-09-01,10.47,15.96,19.35,-9.58,3.53,14.71,5.2,21.05
2002-10-01,-8.65,-6.5,-8.11,-18.38,-17.05,-16.23,-13.84,10.98
2002-11-01,6.37,3.11,0.0,24.05,-1.37,16.25,16.36,-12.16
2002-12-01,2.0,3.23,2.94,-3.38,11.11,3.23,-3.21,7.75
2003-01-01,3.64,6.81,17.14,-12.42,-8.75,-0.52,3.95,10.89
2003-02-01,-12.09,-15.35,-26.83,8.36,-1.37,-27.23,-7.11,-11.79
2003-03-01,5.95,7.53,13.33,-1.68,4.86,25.54,6.07,-6.01
2003-04-01,-4.81,-1.79,-8.82,-18.77,-2.65,-7.45,-10.7,7.82
2003-05-01,6.57,1.24,-12.9,39.92,2.72,11.46,10.86,-2.42
2003-06-01,6.62,8.77,7.41,-2.4,7.95,0.0,4.27,15.77
2003-07-01,1.61,1.45,24.14,0.31,15.34,7.78,4.82,-12.26
2003-08-01,-3.37,-3.32,-8.33,-3.07,-18.09,2.58,-2.18,-4.66
2003-09-01,5.78,4.78,36.36,7.28,22.08,7.79,2.23,5.12
2003-10-01,1.44,4.89,-35.56,-9.44,-18.62,-10.96,5.06,14.6
2003-11-01,5.9,3.86,31.03,14.33,24.18,13.87,-1.09,6.95
2003-12-01,-1.25,-2.77,-23.68,8.55,-11.05,-9.2,7.63,-6.14
2004-01-01,-7.1,-5.28,0.0,-15.49,-12.43,-13.92,-6.47,-1.35
2004-02-01,-3.4,-5.06,0.0,4.35,16.22,-1.47,-4.84,-7.8
2004-03-01,8.23,10.2,10.34,-0.6,-1.74,13.13,5.89,12.68
2004-04-01,0.25,0.86,15.62,-4.19,6.51,3.96,5.23,-12.95
2004-05-01,-1.1,0.36,54.05,-15.0,0.0,-8.63,-9.22,21.77
2004-06-01,-7.72,-7.63,-54.39,1.47,-8.89,-13.06,0.23,-16.28
2004-07-01,9.52,9.76,146.15,-4.71,12.2,12.14,2.96,19.03
2004-08-01,1.1,0.96,4.69,1.14,9.78,4.27,1.44,-4.26
2004-09-01,-5.88,-8.04,-53.73,19.92,-22.28,-5.74,-1.09,-7.98
2004-10-01,8.77,6.75,35.48,15.99,12.74,13.62,5.84,9.48
2004-11-01,-14.0,-12.17,-7.14,-22.97,-7.34,-20.92,-12.4,-14.0
2004-12-01,14.59,17.56,20.51,-1.4,18.9,22.9,11.65,12.85
2005-01-01,5.0,1.46,0.0,27.4,-16.41,-12.34,16.08,5.69
2005-02-01,2.94,3.05,10.64,1.4,22.7,33.53,-8.62,1.44
2005-03-01,-15.54,-11.66,-34.62,-31.96,5.0,-30.27,-14.16,-13.63
2005-04-01,10.57,4.74,44.12,43.32,-8.57,6.11,21.29,2.87
2005-05-01,-1.75,3.38,-26.53,-22.32,-4.69,16.36,-10.51,5.58
2005-06-01,2.12,0.29,2.78,13.45,6.01,-11.72,11.75,-6.04
2005-07-01,-0.68,0.29,-2.7,-5.77,1.03,7.37,-4.92,2.01
2005-08-01,2.0,0.23,19.44,10.2,3.06,5.22,-5.98,14.76
2005-09-01,2.67,3.53,32.56,-5.86,-2.97,-2.09,8.74,-1.89
2005-10-01,-4.0,-2.74,-42.11,-4.26,-12.76,-9.6,2.78,-9.27
2005-11-01,3.97,3.91,18.18,2.74,15.79,15.04,-3.19,7.13
2005-12-01,-7.13,-9.96,-20.51,11.67,-15.66,-25.13,10.07,-22.48
2006-01-01,13.99,11.98,-12.9,26.27,34.13,26.71,3.8,23.67
2006-02-01,-6.78,-1.04,29.63,-33.81,-15.62,-11.08,-9.86,6.57
2006-03-01,-7.08,-11.25,5.71,18.21,-10.58,-10.03,-1.55,-14.26
2006-04-01,-7.52,-5.62,51.35,-23.26,6.51,15.2,-14.16,-12.32
2006-05-01,6.64,3.9,-7.14,25.98,7.22,-15.54,9.28,18.74
2006-06-01,-7.21,-7.58,-15.38,-4.06,-13.99,0.0,-5.45,-12.03
2006-07-01,-3.61,-1.86,88.64,-25.08,-9.64,1.04,-2.88,-5.83
2006-08-01,-5.01,-4.21,-51.81,6.96,6.67,-14.78,-3.88,-4.76
2006-09-01,4.24,1.47,-25.0,24.39,-11.25,8.06,10.57,-5.25
2006-10-01,-13.31,-12.43,23.33,-20.92,1.41,-14.93,-21.05,1.32
2006-11-01,5.3,6.44,-48.65,7.85,4.86,0.0,13.33,-6.77
2006-12-01,5.03,-3.18,163.16,34.1,16.56,2.63,-3.72,22.07
2007-01-01,-14.55,-9.53,-54.0,-26.86,1.14,-18.38,-11.22,-24.94
2007-02-01,5.04,5.22,26.09,2.34,-23.03,-14.66,11.8,17.07
2007-03-01,1.01,1.09,27.59,-2.29,-4.38,43.56,-5.53,-1.56
2007-04-01,-0.33,-0.42,0.0,0.0,26.72,-11.97,-2.66,2.12
2007-05-01,-5.03,-5.6,-10.81,-1.56,-4.82,17.96,-6.01,-15.54
2007-06-01,2.33,0.09,15.15,10.71,0.63,-4.53,2.91,7.06
2007-07-01,-6.49,-7.87,2.63,-2.15,-6.92,2.16,-9.89,-5.16
2007-08-01,-1.77,-8.16,-5.13,23.08,-33.78,0.84,8.93,-9.97
2007-09-01,-11.05,-2.3,-21.62,-34.82,46.94,-27.2,-14.82,-8.39
2007-10-01,6.85,-6.1,34.48,58.45,10.42,16.67,5.57,1.47
2007-11-01,-5.3,-5.13,-46.15,-1.15,-18.24,4.93,-4.32,-7.58
2007-12-01,-13.37,-3.36,-47.62,-35.57,-18.46,-34.74,-4.52,-13.67
2008-01-01,4.53,-3.98,136.36,28.96,22.64,15.11,-3.5,9.95
2008-02-01,1.75,-6.34,11.54,22.81,-3.08,-5.0,5.26,0.82
2008-03-01,-8.88,0.55,-44.83,-25.43,-8.73,-10.53,-9.31,-6.94
2008-04-01,0.8,-6.32,-6.25,21.07,-19.13,23.53,-3.04,6.14
2008-05-01,-3.95,-0.44,26.67,-12.97,34.41,-18.45,-2.75,-11.16
2008-06-01,7.5,-4.71,10.53,37.45,88.8,-2.92,-4.84,-4.65
2008-07-01,-11.76,-4.95,-33.33,-22.22,-31.78,13.53,-8.47,-12.68
2008-08-01,-8.56,-1.3,7.14,-24.49,-15.53,-16.56,-8.1,3.35
2008-09-01,-2.84,-11.53,33.33,18.47,-16.18,11.11,0.25,-9.19
2008-10-01,-5.24,0.93,-50.0,-14.45,-32.46,-11.43,4.02,-3.57
2008-11-01,-16.09,-15.31,80.0,-22.22,-23.38,-13.71,-15.22,-16.67
2008-12-01,-14.11,-12.2,-55.56,-14.86,6.78,-26.17,-19.37,0.0
2009-01-01,-12.5,-11.17,62.5,-20.13,-42.86,-25.32,-10.25,4.44
2009-02-01,18.78,0.0,7.69,76.47,75.0,61.02,22.44,-19.86
2009-03-01,-13.23,-1.4,114.29,-41.9,4.76,1.05,-15.11,-30.09
2009-04-01,-5.35,9.63,-63.33,-34.43,-24.24,-10.42,-12.88,41.77
2009-05-01,12.97,5.43,-27.27,55.0,12.0,-8.14,18.7,17.86
2009-06-01,8.33,18.14,25.0,-25.0,42.86,31.65,1.47,-6.06
2009-07-01,1.54,5.6,50.0,-24.73,-23.75,5.77,7.22,1.61
2009-08-01,-1.35,-4.32,-60.0,32.86,13.11,-5.45,-3.7,0.79
2009-09-01,-0.17,4.72,50.0,-29.03,-4.35,0.96,3.85,-7.87
2009-10-01,-8.72,-6.67,-44.44,-19.7,-18.18,-1.9,-10.44,-5.13
2009-11-01,10.11,4.41,100.0,52.83,24.07,0.97,13.16,4.5
2009-12-01,-1.19,-2.62,30.0,3.7,-5.97,-6.73,3.99,-6.9
2010-01-01,5.68,5.37,-46.15,15.48,9.52,-3.09,3.83,16.67
2010-02-01,-1.63,3.14,128.57,-36.08,1.45,15.96,-12.0,10.32
2010-03-01,5.3,3.04,-50.0,38.71,-7.14,-11.93,19.58,-4.32
2010-04-01,8.02,4.43,62.5,25.58,26.15,22.92,10.82,-18.8
2010-05-01,-15.14,-19.26,-7.69,5.56,-12.2,-8.47,-23.48,4.63
2010-06-01,-8.06,-2.63,-58.33,-24.56,-13.89,-22.22,-3.1,-3.54
2010-07-01,1.87,-4.27,280.0,17.44,22.58,9.52,-3.56,-1.83
2010-08-01,9.71,-2.11,-26.32,66.34,-1.32,15.22,4.06,27.1
2010-09-01,-0.83,7.67,-57.14,-17.26,-6.67,-10.38,4.96,-2.21
2010-10-01,-8.59,-2.45,100.0,-33.09,18.57,-1.05,-10.47,-24.06
2010-11-01,0.37,3.2,16.67,-15.05,-12.05,15.96,0.38,-3.96
2010-12-01,-1.1,-5.09,-35.71,27.85,-20.55,-37.61,2.63,44.33
2011-01-01,16.88,0.23,33.33,86.14,60.34,69.12,10.99,-15.0
2011-02-01,-17.94,-9.07,41.67,-42.02,-44.09,-44.35,2.64,-24.37
2011-03-01,16.05,9.72,-35.29,46.79,19.23,26.56,9.65,28.89
2011-04-01,-7.67,-3.26,27.27,-21.88,-8.06,16.05,-17.89,6.03
2011-05-01,1.26,-0.24,-50.0,12.0,1.75,11.7,-5.36,8.13
2011-06-01,8.38,5.07,0.0,18.57,18.97,18.1,7.55,-2.26
2011-07-01,2.47,-0.69,42.86,9.04,27.54,-25.81,7.72,4.62
2011-08-01,-6.1,-2.31,-30.0,-13.81,-36.36,-5.43,-2.28,4.41
2011-09-01,11.11,-0.95,-14.29,44.87,5.36,13.79,9.33,15.49
2011-10-01,-6.15,5.02,133.33,-30.53,8.47,5.05,-4.27,-21.95
2011-11-01,16.56,5.92,-35.71,50.96,54.69,-10.58,10.83,33.59
2011-12-01,-2.39,12.26,155.56,-37.13,-38.38,90.32,-6.32,-23.98
2012-01-01,4.18,-0.77,-30.43,26.85,21.31,-38.42,24.85,2.31
2012-02-01,-2.63,-10.04,-50.0,21.69,-13.51,-11.01,0.25,1.5
2012-03-01,-1.28,1.29,25.0,-7.39,34.38,15.46,-14.22,8.89
2012-04-01,8.35,6.78,-10.0,12.68,-9.3,11.61,14.29,2.04
2012-05-01,-5.98,2.78,66.67,-27.08,-1.28,-12.8,-9.25,6.0
