date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1998-01-01,9.9622,1.4393,1.5927,-9.0909,0.3559
1998-02-01,-0.6881,5.4054,1.6797,-2.5,-0.3546
1998-03-01,-3.4642,-2.1154,-1.707,5.1282,1.0676
1998-04-01,3.5885,-3.0779,-1.0084,-2.439,1.0563
1998-05-01,2.4249,3.5135,3.8483,-2.5,0.0
1998-06-01,4.0586,-3.3943,-4.1417,-2.5641,-0.3484
1998-07-01,-5.0921,1.2838,2.2172,5.2632,-0.3497
1998-08-01,-3.4247,3.3356,3.7264,2.5,0.3509
1998-09-01,2.1277,0.0646,-2.0375,0.0,1.049
1998-10-01,3.3565,-0.3226,0.0547,-2.439,1.3841
1998-11-01,11.4222,-2.2654,-2.2976,-12.5,-0.3413
1998-12-01,-4.6231,0.9934,2.6316,8.5714,0.6849
1999-01-01,-7.7977,0.3934,-0.2182,2.6316,-3.4014
1999-02-01,-3.0857,4.5069,4.6473,2.5641,0.3521
1999-03-01,1.7689,-1.6875,-1.0972,2.5,1.4035
1999-04-01,6.3731,1.6529,1.532,-4.878,0.346
1999-05-01,-3.268,-3.4396,-2.2373,2.5641,1.7241
1999-06-01,3.9414,3.1736,3.1932,-2.5,0.0
1999-07-01,-2.4919,-0.6905,-2.4755,2.5641,0.678
1999-08-01,-0.7778,-2.1492,2.1153,0.0,0.3367
1999-09-01,-7.5028,5.4264,0.8804,12.5,1.0067
1999-10-01,5.569,-1.2868,2.7721,-6.6667,0.6645
1999-11-01,-1.0321,6.766,5.6444,2.381,0.6601
1999-12-01,1.1587,-4.186,-4.4444,0.0,0.9836
2000-01-01,0.0,-0.7888,-0.8906,0.0,0.974
2000-02-01,-1.9473,-0.6728,-0.5492,0.0,-3.8585
2000-03-01,5.1402,1.6626,2.8614,0.0,4.6823
2000-04-01,-6.5556,-1.5142,1.1713,2.3256,-2.5559
2000-05-01,1.9025,1.2915,-3.5215,0.0,0.0
2000-06-01,-7.4679,-2.793,-1.15,9.0909,0.3279
2000-07-01,11.8537,5.559,2.2762,-14.5833,-0.9804
2000-08-01,-4.3968,-1.4201,-0.9891,7.3171,-0.33
2000-09-01,7.5472,2.9412,4.046,-9.0909,-0.6623
2000-10-01,2.3026,2.7988,3.2645,0.0,0.3333
2000-11-01,-5.6806,-0.9075,-2.0456,5.0,1.3289
2000-12-01,11.7045,-7.2696,-1.234,-14.2857,-2.2951
2001-01-01,-4.7813,5.7407,0.4325,5.5556,-0.6711
2001-02-01,2.8846,-1.2843,0.9569,-2.6316,0.0
2001-03-01,-2.4922,-1.6558,-0.3791,2.7027,-1.3514
2001-04-01,-3.1949,5.3518,-2.236,2.6316,0.6849
2001-05-01,-2.6403,0.0571,2.871,2.5641,0.3401
2001-06-01,-0.339,2.3388,0.1419,5.0,2.0339
2001-07-01,-0.2268,-2.4526,-1.1337,0.0,1.3289
2001-08-01,-1.5909,-0.7429,-0.86,4.7619,0.9836
2001-09-01,-1.5012,-4.2026,-2.0241,0.0,0.6494
2001-10-01,2.1102,2.9447,1.8692,-2.2727,-0.6452
2001-11-01,6.085,-1.8681,-0.0966,-4.6512,0.0
2001-12-01,5.9524,7.1981,10.5365,-7.3171,0.0
2002-01-01,-10.1124,3.8291,-0.7871,10.5263,0.6494
2002-02-01,7.7273,2.1379,-0.1763,-4.7619,0.9677
2002-03-01,-2.6371,-4.0293,0.2649,2.5,0.9585
2002-04-01,1.4085,2.0174,0.4403,4.878,2.5316
2002-05-01,4.4872,-3.2603,-0.7014,-6.9767,0.9259
2002-06-01,-2.1472,5.3039,-0.574,5.0,0.3058
2002-07-01,-0.1045,-7.8699,-3.286,0.0,1.5244
2002-08-01,6.0669,1.8793,1.607,-4.7619,0.3003
2002-09-01,2.9586,-0.7826,-2.7113,-2.5,-0.2994
2002-10-01,-3.6398,6.5915,7.4315,2.5641,0.6006
2002-11-01,1.7893,-4.2283,-1.8158,0.0,0.8955
2002-12-01,2.3438,9.0508,4.7116,0.0,0.2959
2003-01-01,-4.6756,-8.0466,-3.196,0.0,0.59
2003-02-01,-6.3063,2.9169,1.3901,12.5,0.0
2003-03-01,6.7308,-1.016,-0.9854,-8.8889,-0.8798
2003-04-01,1.3013,2.3771,2.6395,0.0,0.5917
2003-05-01,6.5217,3.1662,2.7403,-4.878,0.8824
2003-06-01,10.6679,-3.8875,-1.6414,-10.2564,0.0
2003-07-01,-2.0956,1.2241,3.6295,2.8571,-0.2915
2003-08-01,3.2534,0.1577,-2.9791,-2.7778,1.1696
2003-09-01,-6.2189,0.7874,5.6017,8.5714,1.1561
2003-10-01,1.1494,1.0938,-4.5972,0.0,3.1429
2003-11-01,-4.458,6.6976,10.5025,7.8947,1.385
2003-12-01,3.2937,-5.3597,-5.3671,-2.439,1.0929
2004-01-01,3.1887,6.8878,3.2296,-5.0,1.0811
2004-02-01,-0.515,4.821,0.7631,-2.6316,-0.5348
2004-03-01,10.0949,-4.5537,-1.1738,-2.7027,2.4194
2004-04-01,-7.0533,6.0592,3.1801,11.1111,0.5249
2004-05-01,4.6374,-4.7683,-3.3049,-5.0,0.0
2004-06-01,-4.9154,1.8895,1.0753,2.6316,0.0
2004-07-01,-7.7966,-1.5299,6.079,15.3846,4.4386
2004-08-01,7.9963,2.6836,-2.5072,-4.4444,1.25
2004-09-01,3.3191,-2.9803,-1.1021,-4.6512,1.2346
2004-10-01,7.4959,8.3176,7.578,-4.878,0.7317
2004-11-01,-9.6552,-2.0506,-2.2099,10.2564,1.2107
2004-12-01,5.3435,2.2717,0.3884,-4.6512,0.9569
2005-01-01,-3.1401,-2.831,-0.4573,7.3171,4.5024
2005-02-01,9.6426,6.3649,2.1555,-2.2727,1.1338
2005-03-01,0.6823,-3.3713,0.173,-4.6512,-0.2242
2005-04-01,-5.1205,3.0528,-0.1727,4.878,0.0
2005-05-01,2.0635,-3.3855,-0.588,-2.3256,1.1236
2005-06-01,-0.9331,-0.9636,-2.714,2.381,1.1111
2005-07-01,9.0267,1.3711,3.4692,-2.3256,1.978
2005-08-01,-9.6472,4.7557,1.9703,7.1429,2.5862
2005-09-01,-0.8765,0.1249,1.5593,4.4444,2.3109
2005-10-01,7.3955,1.4559,-2.0027,-4.2553,0.616
2005-11-01,-9.1317,-2.46,0.2725,11.1111,2.449
2005-12-01,2.0593,0.2942,-1.4266,-2.0,1.7928
2006-01-01,-5.2462,2.6404,3.7216,8.1633,2.3483
2006-02-01,-9.6252,2.4091,2.2924,15.0943,3.0593
2006-03-01,5.1838,-4.7847,-2.9555,-3.2787,2.4119
2006-04-01,0.6272,7.6214,3.8487,6.7797,2.3551
2006-05-01,-3.2947,-7.3152,-5.2852,-1.5873,0.0
2006-06-01,-1.105,2.0991,3.7768,1.6129,0.177
2006-07-01,-10.149,-2.097,2.0656,15.873,1.0601
2006-08-01,7.2539,2.436,1.9274,-8.2192,-1.049
2006-09-01,-1.8357,-7.0521,-6.6499,0.0,-1.2367
2006-10-01,-7.3819,10.4543,3.5787,8.9552,-0.8945
2006-11-01,6.5887,-4.1134,-4.8892,-9.589,-1.9856
2006-12-01,-0.4985,1.9159,3.4613,-1.5152,-1.2891
2007-01-01,-10.7214,3.964,4.2067,10.7692,0.3731
2007-02-01,-7.0707,-1.4151,2.1933,9.7222,1.1152
2007-03-01,0.6039,4.7049,2.4572,0.0,0.1838
2007-04-01,6.4826,-7.6542,-5.3734,-6.3291,0.5505
2007-05-01,-5.0733,1.0309,-0.6416,5.4054,-0.5474
2007-06-01,-5.8195,-3.8776,-1.0333,5.1282,-0.5505
2007-07-01,-1.8916,4.5435,0.1958,1.2195,-0.9225
2007-08-01,-10.1542,-3.9399,-1.8886,10.8434,-0.7449
2007-09-01,-1.8598,1.6068,-3.0202,0.0,-1.1257
2007-10-01,5.9767,-2.4969,6.1259,-7.6087,-2.4668
2007-11-01,-11.8294,6.3167,2.1606,10.5882,-2.1401
2007-12-01,-3.4321,-8.5909,-10.2273,2.1277,-1.1928
2008-01-01,1.2924,2.0641,0.0703,-3.125,-2.0121
2008-02-01,-5.4226,5.5508,5.8327,4.3011,-2.0534
2008-03-01,-9.7808,-6.5226,-4.5153,8.2474,-1.4675
2008-04-01,0.1869,7.4575,9.2837,-1.9048,-2.5532
2008-05-01,-5.9701,-6.9399,-5.1225,3.8835,-1.5284
2008-06-01,-3.373,2.1805,0.4024,0.0,-3.5477
2008-07-01,-2.0534,1.2804,0.835,-1.8692,-3.6782
2008-08-01,-8.805,-6.8689,-12.057,7.619,-2.3866
2008-09-01,-0.4598,1.9005,8.1356,-3.5398,-3.423
2008-10-01,-9.2379,-5.3286,-4.5629,6.422,-3.5443
2008-11-01,-1.0178,3.94,5.8759,-1.7241,-2.6247
2008-12-01,-3.0848,3.6101,-9.3071,-1.7544,-4.8518
2009-01-01,-10.8753,-9.1463,-6.8035,8.9286,-3.3994
2009-02-01,10.7143,0.5273,5.4649,-13.9344,-4.3988
2009-03-01,-8.871,-2.1936,0.464,4.7619,-4.6012
2009-04-01,-0.59,6.8747,3.8491,-2.7273,-3.537
2009-05-01,11.5727,1.4142,1.7791,-13.0841,-3.0
2009-06-01,4.5213,-3.4188,0.0728,-8.6022,-3.7801
2009-07-01,4.5802,-0.2329,-1.3464,-7.0588,-3.5714
2009-08-01,1.7032,-3.3147,-4.9059,-5.0633,-3.3333
2009-09-01,-7.6555,4.5872,12.6067,4.0,-3.4483
2009-10-01,2.5907,-0.6925,-9.1285,-5.1282,-3.5714
2009-11-01,-5.303,1.7201,4.1319,2.7027,-2.4691
2009-12-01,-6.1333,1.7367,1.3105,5.2632,-1.2658
2010-01-01,-1.9886,-1.9766,1.8326,1.25,-0.4274
2010-02-01,-2.6087,1.6957,0.247,2.4691,-0.8584
2010-03-01,13.3929,1.3069,-7.4622,-14.4578,-1.7316
2010-04-01,10.7612,-7.3399,2.8908,-12.6761,-4.4053
2010-05-01,-33.6493,10.6577,3.9187,50.0,-0.4608
2010-06-01,8.9286,-4.7722,-8.6802,-10.7527,-1.8519
2010-07-01,-7.2131,-3.3713,-1.792,7.2289,-1.4151
2010-08-01,-0.3534,6.8364,6.6244,-1.1236,-1.4354
2010-09-01,12.4113,0.6178,0.744,-13.6364,-2.4272
2010-10-01,-8.2019,-10.4386,-6.0561,7.8947,-0.995
2010-11-01,-1.3746,7.5416,10.7311,0.0,-2.0101
2010-12-01,13.5889,9.8361,3.5499,-14.6341,-2.5641
2011-01-01,-5.8282,-0.4561,-5.4851,4.2857,-1.5789
2011-02-01,-12.0521,-8.3299,-4.679,10.9589,-2.139
2011-03-01,11.1111,0.1817,-0.761,-11.1111,-2.1858
2011-04-01,3.3333,1.9048,3.1058,-6.9444,-3.352
2011-05-01,-1.6129,-1.2016,-2.3057,-1.4925,-2.8902
2011-06-01,-1.3115,8.1982,3.9589,0.0,-1.1905
2011-07-01,-1.6611,-4.2881,-1.0253,1.5152,0.0
2011-08-01,1.0135,-4.4802,-4.0696,-2.9851,-2.4096
2011-09-01,1.6722,-1.184,-1.504,-3.0769,-1.2346
2011-10-01,3.9474,3.5945,1.1355,-4.7619,-1.25
2011-11-01,3.7975,-4.6708,-3.2133,-5.0,-1.8987
2011-12-01,3.9634,2.0065,5.16,-7.0175,-2.5806
2012-01-01,-1.7595,1.4181,1.065,0.0,-1.3245
2012-02-01,9.2537,8.2093,3.1238,-9.434,-1.3423
2012-03-01,-3.2787,-0.0417,3.5036,2.0833,-1.3605
2012-04-01,0.0,-1.4178,1.5162,0.0,-0.6897
2012-05-01,4.5198,1.1844,-2.4314,-4.0816,0.0
2012-06-01,-2.7027,-2.7592,-3.2396,2.1277,0.6944
2012-07-01,2.5,2.0636,3.8631,-4.1667,-2.069
2012-08-01,1.626,6.6554,8.2182,0.0,0.7042
2012-09-01,2.6667,0.5529,-2.5532,-2.1739,0.6993
2012-10-01,-7.013,-2.9065,-4.1317,8.8889,2.0833
2012-11-01,9.4972,-0.89,1.857,-6.1224,2.0408
2012-12-01,1.7857,5.4286,2.924,-2.1739,0.0
2013-01-01,11.7794,-2.6326,2.5735,-11.1111,-0.6667
2013-02-01,0.2242,5.4076,1.8247,2.5,2.0134
2013-03-01,-0.6711,-2.8668,-3.936,2.439,1.9737
2013-04-01,-0.6757,8.466,12.2585,4.7619,3.871
2013-05-01,-2.9478,-5.5854,-6.8249,4.5455,1.2422
2013-06-01,9.8131,-1.479,-2.5159,-10.8696,-1.227
2013-07-01,-20.2128,0.9238,7.7752,34.1463,6.2112
2013-08-01,1.6,-2.6316,-5.7896,0.0,2.3392
2013-09-01,5.7743,5.6796,3.4106,-1.8182,4.5714
2013-10-01,10.1737,-2.0385,4.4493,-9.2593,0.0
2013-11-01,0.4505,4.843,-0.0298,2.0408,0.5464
2013-12-01,-2.9148,-0.5774,-4.2908,4.0,1.087
2014-01-01,2.3095,-2.069,5.0125,-1.9231,1.6129
2014-02-01,-5.1919,-0.5189,-3.3798,3.9216,-1.0582
2014-03-01,-3.5714,5.1788,1.7183,5.6604,1.6043
2014-04-01,-0.4938,-2.763,-1.9306,1.7857,0.0
2014-05-01,11.9107,4.0437,-0.4922,-8.7719,2.1053
2014-06-01,-7.3171,0.4902,4.5131,9.6154,2.5773
2014-07-01,-3.8278,-2.2997,2.1,8.7719,4.0201
2014-08-01,13.4328,4.03,3.1866,-12.9032,0.0
2014-09-01,3.0702,-10.3531,-10.4155,0.0,1.4493
2014-10-01,1.2766,13.5755,18.3015,-1.8519,-0.4762
2014-11-01,-7.1429,0.4377,-7.5762,7.5472,0.9569
2014-12-01,12.4434,1.0727,6.9647,-10.5263,-0.4739
2015-01-01,3.6217,-3.1509,-6.672,-5.8824,-1.4286
2015-02-01,4.8544,-1.8493,-0.5742,-6.25,-1.9324
2015-03-01,-11.1111,0.0,0.8663,13.3333,0.4926
2015-04-01,4.5833,2.7565,-2.548,-3.9216,0.9804
2015-05-01,0.0,-2.3769,-1.2338,2.0408,2.4272
2015-06-01,-4.3825,-0.8348,-2.7662,8.0,2.3697
2015-07-01,5.4167,2.5254,4.3744,-3.7037,0.9259
2015-08-01,2.3715,0.2395,0.6155,-3.8462,-0.4587
2015-09-01,-11.9691,2.2184,4.0489,18.0,3.2258
2015-10-01,5.7018,-0.5008,3.2755,-5.0847,0.8929
2015-11-01,4.5643,4.8993,1.1656,-1.7857,1.3274
2015-12-01,8.3333,-4.9584,-5.5466,-7.2727,1.31
2016-01-01,-7.5092,-2.9283,2.4681,9.8039,1.7241
2016-02-01,2.3762,6.0333,-5.3987,-1.7857,1.2712
2016-03-01,2.9014,-0.8502,5.0629,0.0,1.2552
2016-04-01,8.2707,4.9802,2.8691,-9.0909,0.0
2016-05-01,-0.8681,-7.2573,-5.3073,2.0,-0.4132
2016-06-01,-2.4518,5.4201,2.3163,3.9216,1.2448
2016-07-01,12.7469,-4.4344,-1.3415,-15.0943,-2.459
2016-08-01,-8.4395,0.5044,0.5949,11.1111,0.8403
2016-09-01,-2.9565,5.3195,3.0977,4.0,1.25
2016-10-01,3.0466,-3.8119,-3.7968,0.0,2.4691
2016-11-01,-0.6957,4.0291,3.18,0.0,-0.4016
2016-12-01,-1.7513,3.8095,5.2559,3.8462,2.4194
2017-01-01,2.139,-3.6086,-6.4837,0.0,1.1811
2017-02-01,2.4433,-5.4569,3.5784,-1.8519,1.5564
2017-03-01,7.6661,7.953,3.7517,-5.6604,1.5326
2017-04-01,-5.3797,-3.295,-4.8387,8.0,1.1321
2017-05-01,6.1873,4.018,3.4445,-5.5556,1.1194
2017-06-01,-2.5197,-2.5958,-2.0613,3.9216,1.107
2017-07-01,-7.5929,2.4429,0.4857,9.434,1.0949
2017-08-01,-2.7972,-2.6943,-0.8593,5.1724,1.444
2017-09-01,14.5683,5.506,2.7356,-13.1148,0.3559
2017-10-01,-1.7268,-3.6199,3.8756,3.7736,1.4184
2017-11-01,13.5783,7.4804,-1.3959,-12.7273,0.3497
2017-12-01,-11.3924,-0.0291,3.7066,16.6667,2.0906
2018-01-01,-6.3492,-3.9907,-6.2298,7.1429,0.0
2018-02-01,4.7458,-0.7282,-1.1117,-5.0,1.0239
2018-03-01,9.8706,2.5061,-1.1777,-8.7719,0.3378
2018-04-01,-5.4492,-6.2612,4.3066,7.6923,1.0101
2018-05-01,3.1153,0.7316,-3.2459,-1.7857,0.3333
2018-06-01,-3.9275,-1.9577,-0.671,5.4545,2.99
2018-07-01,-1.2579,5.475,5.9984,3.4483,0.9677
2018-08-01,-5.5732,-1.8626,-2.9059,8.3333,1.9169
2018-09-01,0.3373,2.1469,1.4439,1.5385,1.8809
2018-10-01,-6.8908,0.0,2.1998,9.0909,1.8462
2018-11-01,12.8159,-6.0311,-7.0398,-11.1111,0.9063
2018-12-01,-12.64,6.872,4.0044,18.75,3.5928
2019-01-01,8.9744,-7.3703,-5.4217,-7.8947,0.0
2019-02-01,8.9076,5.0426,6.231,-10.0,-1.7341
2019-03-01,10.8025,-3.1796,-2.8415,-11.1111,-0.8824
2019-04-01,-2.2284,9.1436,3.4076,1.7857,-1.1869
2019-05-01,-11.9658,-7.7581,-1.6347,14.0351,0.9009
2019-06-01,17.9612,-0.2878,-4.5371,-16.9231,-1.4881
2019-07-01,-11.1111,-1.1225,3.2053,12.963,-0.9063
2019-08-01,9.8765,6.0655,5.1406,-9.8361,-0.6098
2019-09-01,0.0,-3.4557,-5.2457,-1.8182,-0.9202
2019-10-01,1.4045,2.1223,2.2037,-1.8519,-0.9288
2019-11-01,-1.2465,1.737,1.0781,1.8868,0.3125
2019-12-01,-1.8233,0.4573,-1.743,1.8519,0.0
2020-01-01,-1.5714,-0.1821,1.668,3.6364,1.2461
2020-02-01,2.6125,0.8817,0.5729,-1.7544,0.9231
2020-03-01,-11.4569,-1.085,-2.7965,14.2857,1.2195
2020-04-01,-7.9872,-5.6977,-4.3953,6.25,-2.4096
2020-05-01,22.7431,2.0679,2.229,-22.0588,-3.3951
2020-06-01,27.4399,3.0389,2.9981,-24.5283,-3.8339
2020-07-01,8.879,-1.5668,1.7465,-12.5,-3.9867
2020-08-01,3.5678,0.3121,1.5865,-2.8571,-1.7301
2020-09-01,-3.6417,3.3603,5.2995,2.9412,0.0
2020-10-01,5.3115,0.8429,-4.1089,-5.7143,-1.0563
2020-11-01,-14.937,-0.4179,0.786,18.1818,2.4911
2020-12-01,-0.3421,1.7086,-2.6918,5.1282,3.125
2021-01-01,2.746,4.5682,6.4891,0.0,2.3569
2021-02-01,-13.363,-0.9583,2.8648,17.0732,1.9737
2021-03-01,11.9537,-2.4758,-3.6819,-10.4167,-0.3226
2021-04-01,-4.9369,6.3321,4.6557,6.9767,2.9126
2021-05-01,-12.4396,2.2777,0.5151,19.5652,3.7736
2021-06-01,-4.1379,-3.1124,-1.6539,9.0909,5.4545
2021-07-01,4.4604,6.6187,3.5054,0.0,4.023
2021-08-01,-5.5096,4.5974,12.8375,10.0,4.1436
2021-09-01,6.1224,-1.043,-6.1245,-6.0606,-0.5305
2021-10-01,-6.044,4.5922,3.5861,9.6774,2.6667
2021-11-01,15.3509,0.6718,2.9614,-13.2353,1.2987
2021-12-01,4.5627,-2.1449,1.6609,-5.0847,-0.7692
2022-01-01,-2.1818,0.7306,-2.8093,3.5714,1.5504
2022-02-01,-2.3544,-2.7321,1.6195,3.4483,0.7634
2022-03-01,-8.6294,4.4246,-0.5043,13.3333,3.0303
2022-04-01,-13.3333,4.6179,9.0835,22.0588,6.1275
2022-05-01,3.2051,-2.2981,-5.4089,-1.2048,1.3857
2022-06-01,-14.7516,0.5356,-1.3755,18.2927,1.5945
2022-07-01,-5.4645,2.5944,7.8302,9.2784,3.139
2022-08-01,22.9287,-2.4836,-4.7302,-17.9245,0.6522
2022-09-01,-13.4796,0.5325,-3.7238,16.092,0.432
2022-10-01,4.8913,6.0111,5.9629,-3.9604,0.4301
2022-11-01,3.1088,-7.0823,-3.7833,-5.1546,-2.1413
2022-12-01,4.0201,0.0468,1.9759,-5.4348,-1.0941
2023-01-01,4.6699,-4.6039,-5.6578,-6.8966,-2.8761
2023-02-01,-2.1538,6.1489,2.5056,1.2346,-0.6834
2023-03-01,2.3585,1.2924,4.1074,-3.6585,-1.1468
2023-04-01,2.1505,-4.9442,-3.5989,-2.5316,-0.464
2023-05-01,11.1278,0.9588,-1.0182,-10.3896,-0.6993
2023-06-01,-8.7957,-0.8547,2.4203,11.5942,0.939
2023-07-01,4.1543,4.3582,-0.0394,-5.1948,-0.9302
2023-08-01,-8.1197,1.1703,4.4917,9.589,0.4695
2023-09-01,5.5814,-3.3568,-2.9035,-3.75,2.1028
2023-10-01,0.0,-2.0183,-3.1456,1.2987,1.1442
2023-11-01,-10.4258,2.8982,-1.9647,12.8205,1.3575
2023-12-01,5.4098,-2.6304,0.818,-4.5455,0.8929
2024-01-01,5.9098,2.8927,7.0588,-3.5714,1.5487
2024-02-01,-3.3774,-2.2072,-3.4293,3.7037,0.6536
2024-03-01,5.1672,3.6826,2.5113,-3.5714,0.6494
2024-04-01,3.9017,-4.835,-4.1914,-4.9383,-0.2151
2024-05-01,-7.5104,-0.2408,-0.2597,10.3896,1.0776
2024-06-01,0.9023,-0.0724,-0.7611,-1.1765,0.4264
2024-07-01,5.8122,3.6232,3.5721,-5.9524,-1.2739
2024-08-01,-2.3944,-5.4079,-7.3266,3.7975,1.2903
2024-09-01,3.4632,3.7703,6.3499,-3.6585,0.4246
2024-10-01,-13.3891,1.2349,3.1831,17.7215,1.4799
2024-11-01,8.6957,-6.7323,-7.4535,-6.4516,1.6667
2024-12-01,6.3704,6.3883,5.3623,-5.7471,0.2049
2025-01-01,-7.7994,1.5603,1.8275,9.7561,1.4315
2025-02-01,-3.0211,-3.3752,-3.6858,3.3333,0.6048
2025-03-01,2.8037,-0.53,2.0236,-1.0753,1.002
2025-04-01,6.9697,0.1695,1.0016,-7.6087,-0.7937
2025-05-01,-11.1898,2.7079,0.0972,12.9412,0.8
2025-06-01,5.5821,-3.6723,-1.1849,-5.2083,-0.3968
2025-07-01,-3.4743,-2.9081,-5.0914,2.1978,-1.1952
2025-08-01,10.4851,5.185,8.7614,-9.6774,-0.8065
2025-09-01,1.8414,-0.2632,-3.4851,-3.5714,-1.2195
2025-10-01,-8.7622,-3.263,2.8414,11.1111,0.6173
2025-11-01,15.5488,-1.3889,1.7268,-14.4444,-1.0225
2025-12-01,-1.715,4.2254,0.4527,-1.2987,-2.0661
2026-01-01,-21.2081,-3.3542,-6.2148,27.6316,0.4219
