date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1972-01-01,1.3062,-2.3715,,1.9608,3.1359
1972-02-01,1.8625,7.2874,,3.8462,3.3784
1972-03-01,-9.9859,3.3962,,12.963,3.9216
1972-04-01,6.875,-2.5547,,-4.918,2.2013
1972-05-01,-1.0234,1.1236,,5.1724,4.0
1972-06-01,1.4771,-0.7407,,3.2787,4.7337
1972-07-01,-0.8734,3.3582,,0.0,1.6949
1972-08-01,13.5095,1.444,,-4.7619,4.1667
1972-09-01,-0.7762,-0.3559,,3.3333,1.8667
1972-10-01,9.9087,3.2143,,-8.0645,2.6178
1972-11-01,-12.8114,0.692,,19.2982,2.0408
1972-12-01,5.034,2.0619,,-4.4118,2.25
1973-01-01,1.1658,0.6734,,0.0,1.2225
1973-02-01,-5.6338,-0.6689,,4.6154,0.7246
1973-03-01,-1.6282,5.7239,,2.9412,-0.4796
1973-04-01,-8.8276,4.4586,,10.0,0.4819
1973-05-01,-0.1513,-2.439,,-2.5974,0.0
1973-06-01,-1.5152,3.4375,,4.0,0.9592
1973-07-01,-7.5385,3.3233,,11.5385,1.9002
1973-08-01,-5.8236,-2.924,,8.046,0.6993
1973-09-01,-0.8834,0.0,,1.0638,-0.9259
1973-10-01,0.713,0.3012,,-1.0526,-1.1682
1973-11-01,-3.1858,2.1021,,2.1277,-1.4184
1973-12-01,-5.1188,5.0,,5.2083,0.2398
1974-01-01,0.7707,-4.2017,,-3.9604,-0.9569
1974-02-01,3.0593,2.0468,,-1.0309,1.4493
1974-03-01,6.1224,3.1519,,-8.3333,-2.381
1974-04-01,-4.8951,-0.8333,,3.4091,-0.7317
1974-05-01,8.4559,0.0,,-12.0879,-1.9656
1974-06-01,-9.4915,-1.6807,,11.25,-1.7544
1974-07-01,0.0,4.8433,,-1.1236,-3.0612
1974-08-01,-7.8652,-2.9891,,5.6818,-1.8421
1974-09-01,3.8618,1.4006,,-2.1505,-2.9491
1974-10-01,-12.3288,2.7624,,7.6923,-1.6575
1974-11-01,0.4464,0.2688,,-1.0204,-1.6854
1974-12-01,-7.3333,0.2681,,6.1856,-1.1429
1975-01-01,-0.2398,-0.5348,,-3.8835,0.289
1975-02-01,1.4423,1.8817,2.7848,5.0505,1.1527
