date,Civilian Labor Force Level (000s) Period %,Labor Force Participation Rate Period %,Employment-Population Ratio Period %,Total Nonfarm Payrolls (000s) Period %,Average Hourly Earnings - All Employees Period %,Average Weekly Hours - All Employees Period %,Average Hourly Earnings - Production Workers Period %
1954-05-01,-0.4051,-0.5068,-0.5386,-0.4351,,,
1954-06-01,-0.5214,-0.6791,-0.361,-0.143,,,
1954-07-01,-0.0647,-0.1709,-0.3623,-0.1227,,,
1954-08-01,0.6398,0.5137,0.3636,-0.0184,,,
1954-09-01,0.788,0.8518,0.5435,0.1229,,,
1954-10-01,-0.4252,-0.6757,0.0,0.1146,,,
1954-11-01,-0.2768,-0.3401,0.0,0.4863,,,
1954-12-01,-0.7011,-0.8532,-0.5405,0.307,,,
1955-01-01,0.9445,0.8606,0.9058,0.3345,,,
1955-02-01,-0.3348,-0.3413,0.0,0.299,,,
1955-03-01,0.292,0.1712,0.1795,0.6406,,,
1955-04-01,1.0676,0.8547,0.7168,0.5724,,,
1955-05-01,-0.2834,-0.339,0.1779,0.5254,,,
1955-06-01,0.1569,0.0,0.0,0.5504,,,
1955-07-01,1.0282,0.8503,1.0657,0.3879,,,
1955-08-01,0.6693,0.6745,0.3515,0.2432,,,
1955-09-01,0.0717,0.0,0.1751,0.3033,,,
1955-10-01,0.2941,0.1675,0.0,0.3179,,,
1955-11-01,0.3282,0.1672,0.3497,0.3169,,,
1955-12-01,0.6178,0.5008,0.5226,0.4129,,,
1956-01-01,-0.0391,0.0,0.1733,0.3282,,,
1956-02-01,-0.4442,-0.4983,-0.519,0.3694,,,
1956-03-01,0.0771,-0.1669,-0.3478,0.2434,,,
1956-04-01,0.1345,0.1672,0.349,0.1549,,,
1956-05-01,0.6912,0.5008,0.1739,0.2501,,,
1956-06-01,-0.03,-0.1661,-0.1736,0.1524,,,
1956-07-01,0.075,0.0,0.0,-1.1999,,,
1956-08-01,-0.1183,-0.1664,0.1739,1.3011,,,
1956-09-01,0.0615,0.0,0.0,-0.0513,,,
1956-10-01,-0.2518,-0.3333,-0.1736,0.3289,,,
1956-11-01,0.1668,0.0,-0.3478,0.0834,,,
1956-12-01,0.0645,0.0,0.0,0.2045,,,
1957-01-01,-0.4078,-0.5017,-0.5236,-0.0794,,,
1957-02-01,0.6789,0.6723,0.8772,0.3971,,,
1957-03-01,0.0508,-0.1669,0.1739,0.1111,,,
1957-04-01,-0.3975,-0.5017,-0.6944,0.1543,,,
1957-05-01,0.072,0.0,-0.1748,-0.1653,,,
1957-06-01,0.5353,0.5042,0.1751,-0.1562,,,
1957-07-01,0.4236,0.3344,0.5245,0.1055,,,
1957-08-01,-0.9356,-1.1667,-1.0435,0.0094,,,
1957-09-01,0.5367,0.5059,0.1757,-0.3652,,,
1957-10-01,0.003,-0.1678,-0.3509,-0.323,,,
1957-11-01,0.085,0.0,-0.7042,-0.3885,,,
1957-12-01,0.4097,0.1681,0.3546,-0.3311,,,
1958-01-01,-0.4496,-0.5034,-1.2367,-0.588,,,
1958-02-01,0.158,0.0,-0.7156,-0.9601,,,
1958-03-01,0.0327,0.0,-0.3604,-0.5371,,,
1958-04-01,0.6307,0.5059,-0.1808,-0.5302,,,
1958-05-01,0.3666,0.3356,0.3623,-0.2215,,,
1958-06-01,-0.3255,-0.5017,-0.361,0.0,,,
1958-07-01,0.2217,0.1681,0.0,0.2455,,,
1958-08-01,0.314,0.3356,0.3623,0.3801,,,
1958-09-01,-0.0514,-0.1672,0.0,0.5329,,,
1958-10-01,0.0632,-0.1675,0.361,-0.0408,,,
1958-11-01,-0.5687,-0.6711,-0.1799,0.8915,,,
1958-12-01,0.1212,0.0,0.0,0.2714,,,
1959-01-01,0.2893,0.1689,0.3604,0.7545,,,
1959-02-01,-0.4225,-0.5059,-0.3591,0.4002,,,
1959-03-01,0.6194,0.5085,0.9009,0.6187,,,
1959-04-01,0.3981,0.1686,0.5357,0.5791,,,
1959-05-01,-0.2356,-0.3367,-0.1776,0.4295,,,
1959-06-01,0.1467,0.0,0.1779,0.2446,,,
1959-07-01,0.3823,0.3378,0.0,0.2291,,,
1959-08-01,-0.1561,-0.3367,-0.3552,-0.8698,,,
1959-09-01,0.1651,0.1689,-0.1783,0.1725,,,
1959-10-01,0.4027,0.1686,0.1786,-0.131,,,
1959-11-01,-0.4185,-0.5051,-0.713,0.5173,,,
1959-12-01,0.6727,0.6768,1.0772,1.0068,,,
1960-01-01,-0.0464,-0.6723,-0.5329,0.1846,,,
1960-02-01,-0.0189,0.0,0.3571,0.4404,,,
1960-03-01,-0.7977,-1.0152,-1.4235,-0.1082,,,
1960-04-01,1.7252,1.7094,1.8051,0.6593,,,
1960-05-01,0.0675,0.0,0.0,-0.6166,,,
1960-06-01,0.4424,0.3361,0.1773,-0.2331,,,
1960-07-01,-0.2703,-0.335,-0.531,-0.0773,,,
1960-08-01,0.1376,0.0,-0.1779,-0.0626,,,
1960-09-01,0.4439,0.3361,0.5348,-0.0829,,,
1960-10-01,-0.3806,-0.5025,-1.0638,-0.1567,,,
1960-11-01,0.7942,0.6734,0.5376,-0.3343,,,
1960-12-01,-0.0625,-0.1672,-0.713,-0.4058,,,
1961-01-01,0.0739,-0.1675,0.0,-0.1098,,,
1961-02-01,-0.0383,0.0,-0.3591,-0.2347,,,
1961-03-01,0.4019,0.1678,0.1802,0.1905,,,
1961-04-01,-0.6167,-0.67,-0.7194,-0.0596,,,
1961-05-01,0.2633,0.1686,0.0,0.2965,,,
1961-06-01,0.6047,0.5051,0.7246,0.3551,,,
1961-07-01,-0.4825,-0.67,-0.7194,0.2705,,,
1961-08-01,-0.0028,0.0,0.1812,0.3233,,,
1961-09-01,-0.4494,-0.5059,-0.5425,0.1658,,,
1961-10-01,0.3916,0.1695,0.5455,0.2464,,,
1961-11-01,-0.1646,0.0,0.3617,0.4035,,,
1961-12-01,-0.4249,-0.5076,-0.3604,0.2375,,,
1962-01-01,0.1598,0.0,0.1808,0.0346,,,
1962-02-01,0.3134,0.3401,0.5415,0.5411,,,
1962-03-01,0.0071,-0.1695,0.0,0.1576,,,
1962-04-01,-0.1931,-0.3396,-0.5386,0.5916,,,
1962-05-01,0.3885,0.3407,0.5415,0.0468,,,
1962-06-01,-0.0524,-0.1698,-0.1795,0.0288,,,
1962-07-01,-0.3006,-0.5102,-0.5396,0.1833,,,
1962-08-01,0.9658,0.8547,0.7233,0.165,,,
1962-09-01,0.2423,0.0,0.0,0.2507,,,
1962-10-01,-0.3317,-0.5085,-0.3591,0.1125,,,
1962-11-01,-0.0649,-0.3407,-0.5405,0.0268,,,
1962-12-01,-0.024,-0.1709,0.0,-0.05,,,
1963-01-01,0.4121,0.3425,0.0,0.1553,,,
1963-02-01,0.163,0.0,-0.1812,0.2049,,,
1963-03-01,0.2259,0.0,0.363,0.1601,,,
1963-04-01,0.3836,0.3413,0.3617,0.4616,,,
1963-05-01,0.1883,0.0,-0.3604,0.0636,,,
1963-06-01,-0.2868,-0.5102,0.0,0.076,,,
1963-07-01,0.4607,0.3419,0.1808,0.2383,,,
1963-08-01,-0.2363,-0.3407,0.0,0.2042,,,
1963-09-01,0.4806,0.3419,0.1805,0.2952,,,
1963-10-01,0.208,0.1704,0.0,0.3592,,,
1963-11-01,0.1895,0.0,-0.1802,-0.0489,,,
1963-12-01,-0.3176,-0.5102,-0.1805,0.1851,,,
1964-01-01,0.2327,0.1709,0.0,0.2197,,,
1964-02-01,0.4519,0.3413,0.5425,0.4627,,,0.0
1964-03-01,0.0413,-0.1701,-0.1799,0.2493,,,0.4
1964-04-01,0.7715,0.6814,0.7207,0.0432,,,0.3984
1964-05-01,0.1651,0.0,0.3578,0.2883,,,0.0
1964-06-01,-0.4946,-0.6768,-0.8913,0.2238,,,0.3968
1964-07-01,-0.0342,-0.1704,0.1799,0.3315,,,0.3953
1964-08-01,0.152,0.0,0.0,0.3544,,,0.3937
1964-09-01,0.2352,0.1706,0.0,0.4845,,,0.3922
1964-10-01,0.0246,-0.1704,-0.1795,-0.1867,,,-0.3906
1964-11-01,-0.03,-0.1706,0.1799,0.7229,,,0.3922
1964-12-01,0.2442,0.1709,-0.1795,0.3428,,,0.7813
1965-01-01,0.1416,0.0,0.1799,0.2709,,,0.0
1965-02-01,0.3915,0.1706,0.0,0.3659,,,0.3876
1965-03-01,0.1246,0.0,0.3591,0.3395,,,0.7722
1965-04-01,0.3773,0.1704,0.1789,0.4266,,,-0.3831
1965-05-01,0.3206,0.3401,0.3571,0.385,,,0.7692
1965-06-01,-0.0725,-0.339,-0.1779,0.329,,,0.3817
1965-07-01,0.469,0.5102,0.713,0.4531,,,0.0
1965-08-01,-0.194,-0.3384,-0.354,0.4314,,,0.3802
1965-09-01,-0.1528,-0.3396,-0.1776,0.4279,,,0.3788
1965-10-01,0.451,0.3407,0.3559,0.3724,,,0.3774
1965-11-01,-0.0548,-0.1698,0.0,0.4488,,,0.3759
1965-12-01,0.3957,0.3401,0.3546,0.5258,,,0.0
1966-01-01,0.1238,0.0,0.1767,0.3321,,,0.3745
1966-02-01,-0.3086,-0.339,-0.1764,0.427,,,0.3731
1966-03-01,0.1614,0.0,0.0,0.6306,,,0.3717
1966-04-01,0.3503,0.3401,0.3534,0.3877,,,0.3704
1966-05-01,0.1447,0.0,-0.1761,0.4335,,,0.369
1966-06-01,0.2651,0.1695,0.3527,0.6263,,,0.3676
1966-07-01,0.1177,0.0,0.0,0.2964,,,0.3663
1966-08-01,0.4093,0.3384,0.1757,0.3204,,,0.365
1966-09-01,0.0131,0.0,0.1754,0.2108,,,0.3636
1966-10-01,0.188,0.0,0.0,0.3264,,,0.3623
1966-11-01,0.5394,0.5059,0.5254,0.2544,,,0.361
1966-12-01,0.0405,-0.1678,-0.1742,0.2768,,,0.0
1967-01-01,-0.0026,0.0,-0.349,0.319,,,0.7194
1967-02-01,-0.154,-0.3361,-0.1751,0.0336,,,0.3571
1967-03-01,-0.2522,-0.3373,-0.3509,0.1544,,,0.0
1967-04-01,0.5883,0.5076,0.5282,-0.0977,,,0.3559
1967-05-01,-0.0052,-0.1684,-0.1751,0.2352,,,0.3546
1967-06-01,0.6474,0.5059,0.5263,0.1981,,,0.7067
1967-07-01,0.2511,0.0,0.1745,0.2099,,,0.3509
1967-08-01,0.3201,0.1678,0.0,0.387,,,0.6993
1967-09-01,0.1287,0.0,0.0,0.0317,,,0.0
1967-10-01,0.4909,0.335,0.1742,0.0922,,,0.3472
1967-11-01,-0.0038,-0.1669,0.0,0.7218,,,0.692
1967-12-01,0.3837,0.1672,0.1739,0.2953,,,0.3436
1968-01-01,-1.1632,-1.1686,-1.0417,-0.1435,,,0.6849
1968-02-01,0.8404,0.6757,0.5263,0.6152,,,0.3401
1968-03-01,0.0332,0.0,0.1745,0.119,,,0.678
1968-04-01,0.0179,-0.1678,0.0,0.3878,,,0.6734
1968-05-01,0.7372,0.6723,0.6969,0.1421,,,0.3344
1968-06-01,0.3462,0.1669,0.0,0.374,,,0.3333
1968-07-01,-0.1896,-0.3333,-0.346,0.3255,,,0.6645
1968-08-01,-0.2013,-0.3344,-0.1736,0.2994,,,0.33
1968-09-01,0.0596,-0.1678,0.0,0.2254,,,0.9868
1968-10-01,0.0697,0.0,0.0,0.3461,,,0.3257
1968-11-01,0.3751,0.1681,0.1739,0.3827,,,0.6494
1968-12-01,0.3207,0.1678,0.1736,0.3827,,,0.3226
1969-01-01,0.0755,-0.1675,-0.1733,0.2758,,,0.3215
1969-02-01,0.6237,0.6711,0.5208,0.3744,,,0.641
1969-03-01,0.075,-0.1667,0.0,0.2956,,,0.6369
1969-04-01,0.2523,0.1669,0.0,0.2389,,,0.6329
1969-05-01,-0.1943,-0.3333,-0.1727,0.3653,,,0.3145
1969-06-01,0.7126,0.5017,0.346,0.4379,,,0.627
1969-07-01,0.1623,0.0,0.0,0.1317,,,0.3115
1969-08-01,0.3452,0.3328,0.1724,0.3945,,,0.6211
1969-09-01,0.2269,0.0,0.0,-0.1324,,,0.6173
1969-10-01,0.251,0.1658,0.0,0.2919,,,0.6135
1969-11-01,-0.119,-0.3311,0.0,-0.0492,,,0.6098
1969-12-01,0.2789,0.0,0.0,0.218,,,0.303
1970-01-01,0.4374,0.3322,-0.1721,-0.0912,,,0.0
1970-02-01,0.2074,0.0,-0.1724,0.1812,,,0.6042
1970-03-01,0.4224,0.3311,0.0,0.2048,,,0.9009
1970-04-01,0.2776,0.0,0.0,-0.1442,,,0.0
1970-05-01,-0.2949,-0.495,-0.6908,-0.314,,,0.2976
1970-06-01,0.0012,-0.1658,-0.3478,-0.1336,,,0.8902
1970-07-01,0.5056,0.3322,0.1745,0.0338,,,0.2941
1970-08-01,-0.0253,-0.1656,-0.3484,-0.1633,,,0.8798
1970-09-01,0.0893,-0.1658,-0.3497,0.0099,,,0.2907
1970-10-01,0.3882,0.3322,0.0,-0.5962,,,0.0
1970-11-01,0.3266,0.0,-0.1754,-0.1588,,,0.5797
1970-12-01,0.146,0.0,-0.3515,0.544,,,0.8646
1971-01-01,0.2151,0.0,0.1764,0.1031,,,0.8571
1971-02-01,-0.2946,-0.4967,-0.3521,-0.0818,,,0.5666
1971-03-01,-0.0335,-0.1664,-0.3534,0.0749,,,0.2817
1971-04-01,0.4439,0.1667,0.3546,0.2484,,,0.5618
1971-05-01,0.2251,0.1664,0.0,0.297,,,0.838
1971-06-01,-0.5099,-0.6645,-0.7067,0.0098,,,0.277
1971-07-01,0.7574,0.5017,0.5338,0.0856,,,0.2762
1971-08-01,0.3948,0.1664,0.177,0.0813,,,0.8264
1971-09-01,0.0685,-0.1661,0.0,0.3377,,,0.2732
1971-10-01,0.1664,0.0,0.0,0.0391,,,0.2725
1971-11-01,0.6905,0.4992,0.3534,0.2861,,,0.5435
1971-12-01,0.1954,0.0,0.0,0.3647,,,0.8108
1972-01-01,0.4123,-0.3311,-0.1761,0.4604,,,1.8767
1972-02-01,0.0675,0.0,0.0,0.2857,,,0.5263
1972-03-01,0.6683,0.4983,0.3527,0.4074,,,0.5236
1972-04-01,0.0035,-0.1653,0.0,0.2989,,,0.5208
1972-05-01,0.2251,0.0,0.1757,0.4196,,,0.5181
1972-06-01,0.2269,0.0,0.0,0.3934,,,0.0
1972-07-01,0.1575,0.0,0.0,-0.0664,,,0.5155
1972-08-01,0.4292,0.3311,0.1754,0.5861,,,0.5128
1972-09-01,-0.1428,-0.33,-0.1751,0.1659,,,0.5102
1972-10-01,0.1133,-0.1656,0.0,0.5521,,,0.7614
1972-11-01,0.1154,0.0,0.3509,0.4004,,,0.5038
1972-12-01,0.4007,0.3317,0.1748,0.3935,,,0.2506
1973-01-01,-0.5185,-0.8264,-0.349,0.4637,,,0.75
1973-02-01,1.0024,0.8333,0.7005,0.525,,,0.4963
1973-03-01,0.5455,0.4959,0.5217,0.3552,,,0.2469
1973-04-01,0.1936,0.0,-0.173,0.2242,,,0.7389
1973-05-01,-0.0461,-0.3289,0.0,0.2524,,,0.2445
1973-06-01,0.6417,0.495,0.5199,0.3118,,,0.4878
1973-07-01,0.0625,0.0,-0.1724,0.0338,,,0.7282
1973-08-01,-0.106,-0.3284,-0.1727,0.3315,,,0.241
1973-09-01,0.3676,0.1647,0.173,0.14,,,0.9615
1973-10-01,0.3261,0.1645,0.3454,0.4283,,,0.2381
1973-11-01,0.6491,0.4926,0.1721,0.4033,,,0.7126
1973-12-01,0.1918,0.0,0.0,0.1425,,,0.2358
1974-01-01,0.34,0.1634,0.0,0.0884,,,0.4706
1974-02-01,0.3136,0.1631,0.0,0.1972,,,0.4684
1974-03-01,-0.035,-0.1629,0.0,0.0537,,,0.6993
1974-04-01,-0.1815,-0.3263,-0.3436,0.1098,,,0.2315
1974-05-01,0.3385,0.1637,0.0,0.2131,,,1.6166
1974-06-01,0.297,0.0,0.0,0.07,,,0.9091
1974-07-01,0.3745,0.3268,0.0,0.0407,,,0.2252
1974-08-01,-0.1659,-0.3257,-0.3448,-0.0216,,,0.8989
1974-09-01,0.466,0.3268,-0.173,-0.0114,,,0.8909
1974-10-01,0.0324,-0.1629,-0.1733,0.0254,,,0.6623
1974-11-01,0.2681,0.0,-0.5208,-0.4642,,,0.2193
1974-12-01,0.0151,-0.1631,-0.6981,-0.7832,,,0.6565
1975-01-01,0.3751,0.3268,-0.8787,-0.4623,,,0.2174
1975-02-01,-0.378,-0.6515,-0.5319,-0.4852,,,0.6508
1975-03-01,0.4193,0.3279,-0.1783,-0.351,,,0.6466
1975-04-01,0.2512,0.1634,-0.1786,-0.2453,,,0.0
1975-05-01,0.5193,0.3263,0.1789,0.2145,,,0.4283
1975-06-01,-0.3291,-0.4878,-0.3571,-0.1344,,,0.6397
1975-07-01,0.4766,0.1634,0.3584,0.3254,,,0.4237
1975-08-01,0.15,0.0,0.1786,0.4989,,,0.8439
1975-09-01,0.0425,-0.1631,0.0,0.0972,,,0.2092
1975-10-01,0.069,0.0,0.0,0.404,,,0.6263
1975-11-01,-0.018,-0.1634,-0.1783,0.187,,,0.8299
1975-12-01,0.1687,0.0,0.1786,0.4274,,,0.2058
1976-01-01,0.5561,0.3273,0.5348,0.6229,,,0.616
1976-02-01,0.0674,0.0,0.1773,0.3987,,,0.6122
1976-03-01,0.2284,0.0,0.354,0.2944,,,0.4057
1976-04-01,0.5577,0.4894,0.1764,0.3087,,,0.6061
1976-05-01,0.1055,-0.1623,0.3521,0.0252,,,0.6024
1976-06-01,0.0396,0.0,-0.3509,0.0807,,,0.3992
1976-07-01,0.728,0.4878,0.3521,0.2154,,,0.5964
1976-08-01,0.1636,0.0,0.0,0.1974,,,0.9881
1976-09-01,-0.1943,-0.3236,-0.1754,0.2359,,,0.5871
1976-10-01,0.1564,0.0,0.0,0.0238,,,0.3891
1976-11-01,0.5687,0.487,0.1757,0.4117,,,0.969
1976-12-01,0.0967,-0.1616,0.0,0.2592,,,0.3839
1977-01-01,-0.1438,-0.3236,0.0,0.3008,,,0.5736
1977-02-01,0.5936,0.487,0.3509,0.3693,,,0.7605
1977-03-01,0.3375,0.1616,0.3497,0.4976,,,0.3774
1977-04-01,0.2191,0.1613,0.3484,0.4141,,,0.7519
1977-05-01,0.3407,0.161,0.3472,0.4405,,,0.7463
1977-06-01,0.4338,0.3215,0.173,0.4873,,,0.3704
1977-07-01,-0.1816,-0.4808,-0.1727,0.4195,,,0.738
1977-08-01,0.458,0.3221,0.346,0.2909,,,0.3663
1977-09-01,0.0876,0.0,0.1724,0.5501,,,0.5474
1977-10-01,0.364,0.1605,0.1721,0.3208,,,0.726
1977-11-01,0.7624,0.641,0.6873,0.4451,,,0.5405
1977-12-01,-0.0845,-0.1592,0.1706,0.2816,,,0.5376
1978-01-01,0.3801,0.1595,0.1704,0.218,,,0.8913
1978-02-01,-0.0357,-0.1592,0.0,0.4185,,,0.53
1978-03-01,0.2529,0.1595,0.0,0.6027,,,0.703
1978-04-01,0.4768,0.3185,0.6803,0.8214,,,1.0471
1978-05-01,0.317,0.1587,0.1689,0.4027,,,0.5181
