date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
1956-03-01,0.44,,
1956-04-01,1.13,,
1956-05-01,1.32,,
1956-06-01,4.2,,
1956-07-01,-2.65,,
1956-08-01,1.38,,
1956-09-01,-0.98,,
1956-10-01,-0.51,,
1956-11-01,-0.26,,
1956-12-01,0.03,,
1957-01-01,-3.54,,
1957-02-01,2.3,,
1957-03-01,0.26,,
1957-04-01,-0.81,,
1957-05-01,-0.43,,
1957-06-01,0.0,,
1957-07-01,-0.79,,
1957-08-01,-0.83,,
1957-09-01,-0.5,,
1957-10-01,-0.2,,
1957-11-01,-0.67,,
1957-12-01,-0.34,,
1958-01-01,-0.34,,
1958-02-01,-4.55,,
1958-03-01,2.18,,
1958-04-01,-1.05,,
1958-05-01,-0.28,,
1958-06-01,-0.67,,
1958-07-01,0.39,,
1958-08-01,0.93,,
1958-09-01,1.45,,
1958-10-01,1.5,,
1958-11-01,2.23,,
1958-12-01,-2.41,,
1959-01-01,2.85,,
1959-02-01,-0.43,,
1959-03-01,1.11,,
1959-04-01,2.39,,
1959-05-01,0.06,,
1959-06-01,0.42,,
1959-07-01,-0.42,,
1959-08-01,-0.06,,
1959-09-01,-1.1,,
1959-10-01,-1.15,,
1959-11-01,0.3,,
1959-12-01,1.09,,
1960-01-01,-1.21,,
1960-02-01,1.06,,
1960-03-01,-5.63,,
1960-04-01,4.27,,
1960-05-01,0.57,,
1960-06-01,-0.73,,
1960-07-01,0.1,,
1960-08-01,-0.97,,
1960-09-01,-0.47,,
1960-10-01,-0.1,,
1960-11-01,-0.68,,
1960-12-01,-2.52,,
1961-01-01,1.64,,
1961-02-01,-0.72,,
1961-03-01,0.76,,
1961-04-01,-0.93,,
1961-05-01,-0.59,,
1961-06-01,1.43,,
1961-07-01,-0.83,,
1961-08-01,0.66,,
1961-09-01,0.55,,
1961-10-01,0.58,,
1961-11-01,0.2,,
1961-12-01,0.34,,
1962-01-01,-2.0,,
1962-02-01,2.87,,
1962-03-01,-1.14,,
1962-04-01,2.62,,
1962-05-01,0.23,,
1962-06-01,-2.15,,
1962-07-01,2.2,,
1962-08-01,0.07,,
1962-09-01,0.2,,
1962-10-01,-0.07,,
1962-11-01,0.13,,
1962-12-01,-0.89,,
1963-01-01,0.43,,
1963-02-01,-0.79,,
1963-03-01,-0.6,,
1963-04-01,2.25,,
1963-05-01,0.49,,
1963-06-01,-0.03,,
1963-07-01,0.92,,
1963-08-01,0.36,,
1963-09-01,0.35,,
1963-10-01,-0.19,,
1963-11-01,-0.68,,
1963-12-01,-0.03,,
1964-01-01,-2.79,,
1964-02-01,4.54,,
1964-03-01,-0.22,,
1964-04-01,-0.38,,
1964-05-01,0.39,,
1964-06-01,0.7,,
1964-07-01,0.32,,
1964-08-01,0.29,,
1964-09-01,0.16,,
1964-10-01,0.91,,
1964-11-01,0.81,,
1964-12-01,0.22,,
1965-01-01,-0.06,,
1965-02-01,-0.19,,
1965-03-01,0.5,,
1965-04-01,-1.27,,
1965-05-01,2.16,,
1965-06-01,0.31,,
1965-07-01,-0.91,,
1965-08-01,1.66,,
1965-09-01,0.51,,
1965-10-01,0.6,,
1965-11-01,0.75,,
1965-12-01,1.22,,
1966-01-01,-0.79,,
1966-02-01,-1.27,,
1966-03-01,2.55,,
1966-04-01,-0.79,,
1966-05-01,-1.0,,
1966-06-01,1.85,,
1966-07-01,-0.06,,
1966-08-01,-0.76,,
1966-09-01,-0.8,,
1966-10-01,-0.8,,
1966-11-01,-0.78,,
1966-12-01,0.12,,
1967-01-01,0.33,,
1967-02-01,-0.36,,
1967-03-01,-0.81,,
1967-04-01,-0.4,,
1967-05-01,-0.46,,
1967-06-01,0.06,,
1967-07-01,1.19,,
1967-08-01,0.27,,
1967-09-01,0.06,,
1967-10-01,-0.03,,
1967-11-01,0.94,,
1967-12-01,0.03,,
1968-01-01,-4.01,,
1968-02-01,5.79,,
1968-03-01,-0.26,,
1968-04-01,0.38,,
1968-05-01,-0.32,,
1968-06-01,-0.8,,
1968-07-01,0.68,,
1968-08-01,0.92,,
1968-09-01,1.17,,
1968-10-01,0.95,,
1968-11-01,-0.11,,
1968-12-01,1.15,,
1969-01-01,0.23,,
1969-02-01,1.16,,
1969-03-01,0.11,,
1969-04-01,0.31,,
1969-05-01,1.25,,
1969-06-01,0.8,,
1969-07-01,0.0,,
1969-08-01,-0.27,,
1969-09-01,0.6,,
1969-10-01,-0.11,,
1969-11-01,0.3,,
1969-12-01,0.65,,
1970-01-01,-2.48,,
1970-02-01,2.43,,
1970-03-01,-0.16,,
1970-04-01,-0.76,,
1970-05-01,-0.95,,
1970-06-01,0.06,,
1970-07-01,0.25,,
1970-08-01,0.11,,
1970-09-01,-0.85,,
1970-10-01,0.22,,
1970-11-01,0.47,,
1970-12-01,1.24,,
1971-01-01,-1.22,,
1971-02-01,-0.27,,
1971-03-01,1.13,,
1971-04-01,1.66,,
1971-05-01,0.4,,
1971-06-01,0.24,,
1971-07-01,0.72,,
1971-08-01,0.0,,
1971-09-01,0.9,,
1971-10-01,1.23,,
1971-11-01,0.93,,
1971-12-01,-0.92,,
1972-01-01,1.16,,
1972-02-01,-0.61,,
1972-03-01,0.85,,
1972-04-01,0.26,,
1972-05-01,0.66,,
1972-06-01,0.3,,
1972-07-01,-0.76,,
1972-08-01,1.12,,
1972-09-01,0.43,,
1972-10-01,0.95,,
1972-11-01,-0.89,,
1972-12-01,-1.62,,
1973-01-01,1.7,,
1973-02-01,1.67,,
1973-03-01,0.44,,
1973-04-01,0.42,,
1973-05-01,0.75,,
1973-06-01,1.35,,
1973-07-01,0.93,,
1973-08-01,0.02,,
1973-09-01,0.09,,
1973-10-01,-0.12,,
1973-11-01,0.0,,
1973-12-01,0.17,,
1974-01-01,-1.01,,
1974-02-01,1.5,,
1974-03-01,-0.09,,
1974-04-01,-0.71,,
1974-05-01,-0.64,,
1974-06-01,-1.24,,
1974-07-01,-2.44,,
1974-08-01,0.35,,
1974-09-01,-1.23,,
1974-10-01,-0.92,,
1974-11-01,-1.54,,
1974-12-01,-1.3,,
1975-01-01,-0.49,,
1975-02-01,-3.2,,
1975-03-01,-2.42,,
1975-04-01,-1.74,,
1975-05-01,-0.36,,
1975-06-01,-0.73,,
1975-07-01,-0.71,,
1975-08-01,1.31,,
1975-09-01,0.73,,
1975-10-01,0.39,,
1975-11-01,0.47,,
1975-12-01,1.03,,
1976-01-01,1.29,,
1976-02-01,-0.03,,
1976-03-01,-0.05,,
1976-04-01,-0.03,,
1976-05-01,-0.95,,
1976-06-01,-0.47,,
1976-07-01,-0.14,,
1976-08-01,0.14,,
1976-09-01,0.06,,
1976-10-01,0.3,,
1976-11-01,0.91,,
1976-12-01,0.27,,
1977-01-01,-0.76,,
1977-02-01,3.14,,
1977-03-01,2.23,,
1977-04-01,1.17,,
1977-05-01,0.67,,
1977-06-01,0.81,,
1977-07-01,0.48,,
1977-08-01,0.35,,
1977-09-01,0.7,,
1977-10-01,0.27,,
1977-11-01,0.59,,
1977-12-01,0.71,,
1978-01-01,-1.42,,
1978-02-01,0.72,,
1978-03-01,2.96,,
