date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
2011-11-01,0.09,0.03,-0.71
2011-12-01,0.32,0.54,-0.65
2012-01-01,0.27,0.03,0.5
2012-02-01,0.05,0.28,-0.14
2012-03-01,-0.07,-0.66,-0.11
2012-04-01,-0.12,-0.17,0.05
2012-05-01,-0.25,0.35,0.15
2012-06-01,0.3,0.38,-0.35
2012-07-01,0.2,1.25,-0.24
2012-08-01,0.28,0.24,0.18
2012-09-01,0.23,0.29,0.21
2012-10-01,0.23,-0.65,0.59
2012-11-01,0.18,1.41,0.14
2012-12-01,0.7,0.64,0.84
2013-01-01,0.38,0.15,-0.07
2013-02-01,0.66,0.39,0.57
2013-03-01,0.31,0.67,0.16
2013-04-01,-0.1,0.95,-0.49
2013-05-01,0.57,0.46,0.31
2013-06-01,0.45,0.07,0.01
2013-07-01,0.07,-0.03,0.4
2013-08-01,0.32,0.52,-0.55
2013-09-01,0.54,0.21,1.33
2013-10-01,0.36,0.99,0.26
2013-11-01,0.54,0.74,0.68
2013-12-01,-0.52,0.45,-0.1
2014-01-01,0.89,0.6,0.63
2014-02-01,0.37,1.45,-0.22
2014-03-01,0.52,0.12,0.04
2014-04-01,0.76,1.26,0.57
2014-05-01,0.41,-0.08,0.35
2014-06-01,0.39,1.09,0.14
2014-07-01,0.73,1.22,0.75
2014-08-01,0.52,0.71,0.63
2014-09-01,0.52,1.12,0.35
2014-10-01,0.27,-0.47,0.28
2014-11-01,0.21,0.39,0.14
2014-12-01,0.33,-0.61,0.8
2015-01-01,0.43,1.12,0.33
2015-02-01,0.65,0.04,0.99
2015-03-01,-0.42,0.25,-0.21
2015-04-01,0.92,0.38,-0.65
2015-05-01,0.55,0.77,0.79
2015-06-01,0.22,-0.22,0.65
2015-07-01,0.48,1.34,-0.08
2015-08-01,0.28,0.07,0.16
2015-09-01,0.28,0.23,0.34
2015-10-01,0.6,0.4,0.49
2015-11-01,0.78,0.9,0.9
2015-12-01,0.48,0.56,0.36
2016-01-01,0.02,0.18,0.58
2016-02-01,0.14,0.39,0.77
2016-03-01,0.57,0.49,0.69
2016-04-01,0.36,0.79,0.24
2016-05-01,-0.19,0.08,-0.38
2016-06-01,0.18,0.08,0.17
2016-07-01,0.51,0.1,1.01
2016-08-01,0.01,0.85,-1.04
2016-09-01,0.48,1.44,-0.53
2016-10-01,0.46,-0.15,1.16
2016-11-01,0.35,0.03,0.13
2016-12-01,-0.07,-0.28,0.6
2017-01-01,0.32,0.32,0.61
2017-02-01,0.6,0.44,0.19
2017-03-01,0.31,-0.15,0.45
2017-04-01,0.2,-0.19,0.42
2017-05-01,0.22,0.28,0.8
2017-06-01,0.45,0.04,0.19
2017-07-01,0.09,0.76,-0.39
2017-08-01,0.49,-0.07,0.86
2017-09-01,0.16,-0.07,0.44
2017-10-01,0.26,1.0,-0.01
2017-11-01,0.53,0.47,0.56
2017-12-01,0.33,1.21,-0.11
2018-01-01,0.03,0.54,-0.22
2018-02-01,1.28,1.09,1.33
2018-03-01,0.14,0.34,0.6
2018-04-01,0.25,0.63,0.61
2018-05-01,0.86,0.66,0.27
2018-06-01,0.25,0.51,0.32
2018-07-01,0.36,0.1,0.57
2018-08-01,0.4,-0.11,0.4
2018-09-01,0.38,0.21,0.48
2018-10-01,0.19,-0.05,0.0
2018-11-01,-0.04,0.67,-0.1
2018-12-01,0.14,0.48,-0.11
2019-01-01,0.39,0.32,-0.11
2019-02-01,-0.4,-0.29,-0.01
2019-03-01,0.41,0.44,0.14
2019-04-01,0.58,-0.56,0.0
2019-05-01,0.13,0.16,0.06
2019-06-01,0.32,0.48,0.18
2019-07-01,0.32,0.22,0.49
2019-08-01,0.05,0.92,0.01
2019-09-01,0.23,0.08,-0.07
2019-10-01,0.08,0.18,0.17
2019-11-01,-0.16,0.22,-0.32
2019-12-01,-0.19,-0.41,0.62
2020-01-01,0.64,0.07,0.39
2020-02-01,0.46,0.95,0.14
2020-03-01,-0.91,-0.43,-0.95
2020-04-01,-13.51,-14.85,-11.75
2020-05-01,7.39,8.99,4.57
2020-06-01,2.21,2.88,0.67
2020-07-01,0.52,1.18,-0.11
2020-08-01,0.42,0.96,0.42
2020-09-01,0.37,1.1,0.01
2020-10-01,0.66,0.85,0.83
2020-11-01,0.27,0.17,-0.35
2020-12-01,0.49,0.91,-0.35
2021-01-01,0.07,0.67,-0.11
2021-02-01,-1.14,0.26,-0.95
2021-03-01,1.66,1.42,1.01
2021-04-01,0.01,-0.34,0.32
2021-05-01,-0.12,0.2,0.35
2021-06-01,0.03,0.53,-0.1
2021-07-01,0.43,1.05,0.71
2021-08-01,0.09,0.88,-0.72
2021-09-01,0.7,0.75,1.48
2021-10-01,0.45,0.09,-0.14
2021-11-01,0.59,0.79,0.77
2021-12-01,0.44,0.58,0.26
2022-01-01,0.0,0.66,0.38
2022-02-01,0.74,0.7,0.58
2022-03-01,0.54,0.35,1.08
2022-04-01,0.08,0.59,0.39
2022-05-01,0.52,0.81,0.14
2022-06-01,0.3,-0.21,0.06
2022-07-01,0.4,0.5,0.08
2022-08-01,0.12,-0.03,0.22
2022-09-01,0.4,-0.11,0.78
2022-10-01,0.19,0.25,0.48
2022-11-01,0.2,0.04,0.96
2022-12-01,0.28,0.28,0.63
2023-01-01,0.6,0.1,1.54
2023-02-01,0.14,-0.4,0.21
2023-03-01,-0.21,-0.33,-0.16
2023-04-01,0.37,-0.41,-0.05
2023-05-01,0.13,0.07,0.2
2023-06-01,0.51,0.74,0.44
2023-07-01,0.12,-1.02,0.47
2023-08-01,0.32,0.28,0.43
2023-09-01,0.14,0.56,0.27
2023-10-01,0.34,0.27,0.54
2023-11-01,0.1,-0.22,0.26
2023-12-01,0.15,0.18,0.23
2024-01-01,0.28,0.18,0.37
2024-02-01,0.11,-0.02,0.43
2024-03-01,0.39,1.0,0.23
2024-04-01,0.07,-0.14,0.22
2024-05-01,0.07,-0.11,-0.28
2024-06-01,0.24,0.02,1.13
2024-07-01,0.15,-0.35,0.2
2024-08-01,0.34,0.42,0.17
2024-09-01,0.22,0.17,-0.14
2024-10-01,0.1,-0.02,0.29
2024-11-01,0.06,-0.2,0.14
2024-12-01,0.11,0.03,0.08
2025-01-01,-0.14,-0.04,0.09
2025-02-01,0.04,-0.34,0.09
2025-03-01,0.07,0.15,0.15
2025-04-01,-0.02,-0.2,0.06
2025-05-01,-0.02,-0.07,0.09
2025-06-01,-0.02,-0.25,0.08
2025-07-01,-0.07,-0.27,-0.13
2025-08-01,-0.27,-0.57,-0.45
2025-09-01,0.19,0.42,-0.17
2025-10-01,-0.15,-0.15,-0.15
2025-11-01,0.44,0.34,0.79
2025-12-01,-0.08,-0.36,0.27
2026-01-01,0.58,0.21,0.52
2026-02-01,-0.13,0.26,0.44
